OBJECTID,All_Bridges_2008April_BDEPT,All_Bridges_2008April_BIN,All_Bridges_2008April_Health_Index,All_Bridges_2008April_Item_6A,All_Bridges_2008April_Item_7,All_Bridges_2008April_Item___8_Bridge_Cat,All_Bridges_2008April_Item___8_Owner,All_Bridges_2008April_Item__16A,All_Bridges_2008April_Item__16B,All_Bridges_2008April_Item__16C,All_Bridges_2008April_Item__17A,All_Bridges_2008April_Item__17B,All_Bridges_2008April_Item__17C,All_Bridges_2008April_Item__26,All_Bridges_2008April_Item__28A,All_Bridges_2008April_Item__29,All_Bridges_2008April_Item__49,All_Bridges_2008April_Item__52,All_Bridges_2008April_Item__58,All_Bridges_2008April_Item_104,All_Bridges_2008April_Posting_2_Axle,All_Bridges_2008April_Posting_3_Axle,All_Bridges_2008April_Posting_5_Axle,All_Bridges_2008April_Struct_Def,All_Bridges_2008April_Town_Name,All_Bridges_2008April_RPA
32,H23010,1UT,0.9846,ST135 WOOD ST,I 495 NB,NBI,MHD,42,13,46.61040115,71,32,59.5968,11,3,40000,18.6,16.9,7,TRUE,0,0,0,FALSE,Hopkinton,MAPC
33,H23010,1UU,0.9703,ST135 WOOD ST,I 495 SB,NBI,MHD,42,13,47.18280029,71,33,4.4676,11,3,40000,18.6,16.9,7,TRUE,0,0,0,FALSE,Hopkinton,MAPC
34,H23008,1UV,0.702,I  90,I 495 NB,NBI,MHD,42,15,59.64120102,71,33,53.7552,11,3,80000,65.5,17.7,6,TRUE,0,0,0,FALSE,Hopkinton,MAPC
35,L13025,1UW,0.6704,WATER MILL POND,I 495,NBI,MHD,42,32,5.161200047,71,29,51.8676,11,6,90000,10.7,0,N,TRUE,0,0,0,FALSE,Littleton,MAPC
36,B15004,1V2,0.8639,HWY   S BOLTON RD,I 495 NB,NBI,MHD,42,24,57.18239975,71,36,21.0672,1,4,35700,36.6,17.4,6,TRUE,0,0,0,FALSE,Bolton,MAPC
37,B15004,1V3,0.7883,HWY   S BOLTON RD,I 495 SB,NBI,MHD,42,24,57.78359985,71,36,21.7152,1,4,51800,45.1,17.4,6,TRUE,0,0,0,FALSE,Bolton,MAPC
38,B15002,1V4,0.8925,ST117 MAIN ST,I 495 NB,NBI,MHD,42,25,51.16799927,71,35,36.2184,11,4,98000,36.6,17.7,6,TRUE,0,0,0,FALSE,Bolton,MAPC
39,B15002,1V5,0.9036,ST117 MAIN ST,I 495 SB,NBI,MHD,42,25,51.1896019,71,35,37.2696,1,4,98000,36.6,17.7,7,TRUE,0,0,0,FALSE,Bolton,MAPC
40,F08021,1V8,0.9763,RR    CSX,I 495 SB,NBI,MHD,42,5,14.11800003,71,25,32.538,11,3,69400,34.1,16.7,6,TRUE,0,0,0,FALSE,Franklin,MAPC
41,F08021,1V9,0.9767,RR    CSX,I 495 NB,NBI,MHD,42,5,14.07839966,71,25,31.5372,12,3,69400,34.1,16.7,7,TRUE,0,0,0,FALSE,Franklin,MAPC
42,F08023,1VA,0.9737,HWY   KING ST,I 495 NB,NBI,MHD,42,3,53.90639877,71,24,4.9896,11,4,75000,27.1,16.7,7,TRUE,0,0,0,FALSE,Franklin,MAPC
43,F08023,1VB,0.779,HWY   KING ST,I 495 SB,NBI,MHD,42,3,53.31959915,71,24,5.4828,11,4,75000,27.1,16.7,7,TRUE,0,0,0,FALSE,Franklin,MAPC
44,F08024,1VC,0.9793,HWY   SUMMER ST,I 495 NB,NBI,MHD,42,3,30.03120041,71,23,2.0472,11,4,72800,28.3,16.6,7,TRUE,0,0,0,FALSE,Franklin,MAPC
45,F08024,1VD,0.8865,HWY   SUMMER ST,I 495 SB,NBI,MHD,42,3,27.38159943,71,23,1.608,11,4,72800,29,16.6,7,TRUE,0,0,0,FALSE,Franklin,MAPC
46,F08027,1VE,0.8786,RR    MBTA/CSX,I 495 NB,NBI,MHD,42,4,20.68320084,71,24,44.3088,11,4,70000,12.8,16.8,5,TRUE,0,0,0,FALSE,Franklin,MAPC
47,F08027,1VF,0.8188,RR    MBTA/CSX,I 495 SB,NBI,MHD,42,4,20.22960091,71,24,45.0108,11,4,35000,12.8,16.8,6,TRUE,0,0,0,FALSE,Franklin,MAPC
48,F08029,1VG,0.7762,HWY   BEAVER ST,I 495 NB,NBI,MHD,42,4,51.2364006,71,25,18.4332,11,4,70000,23.8,16.7,7,TRUE,0,0,0,FALSE,Franklin,MAPC
49,F08029,1VH,0.7749,HWY   BEAVER ST,I 495 SB,NBI,MHD,42,4,50.77560043,71,25,19.1532,11,4,70000,23.8,16.7,7,TRUE,0,0,0,FALSE,Franklin,MAPC
50,H23012,20Q,0.7883,I 495,I  90 RAMP ON&OFF,NBI,MHD,42,15,45.82799911,71,33,50.9868,11,2,35000,76.2,18.3,7,TRUE,0,0,0,FALSE,Hopkinton,MAPC
51,F07067,A4L,0.9629,COMB  ST 9 & CSX,HWY   CROSSNG BLVD,NBI,MHD,42,17,12,71,35,48,19,4,6700,64.9,19.7,7,TRUE,0,0,0,FALSE,Framingham,MAPC
52,W11007,24Y,0.6766,WATER SUDBURY RIVER,ST 27 OLD SUDBURY,NBI,MUN,42,22,27.19199944,71,22,57.2124,14,2,30000,33.2,12,5,TRUE,0,0,0,FALSE,Wayland,MAPC
53,S31004,26Q,0.947,WATER HOP BROOK,US 20 BSTN POST RD,NBI,MHD,42,21,42.83639908,71,25,6.5064,14,2,32000,7.3,11.6,6,TRUE,0,0,0,FALSE,Sudbury,MAPC
54,W11001,26R,0.8303,WATER SUDBURY RIVER,US 20 BOSTN PST RD,NBI,MHD,42,21,47.44079971,71,22,30.7884,14,2,21000,27.1,10.6,6,TRUE,0,0,0,TRUE,Wayland,MAPC
55,F07006,274,0.6067,WATER SUDBURY RIVER,ST  9 /ST30/WRCSTR,NBI,MHD,42,17,58,71,25,34,14,4,52200,22.3,27.5,5,TRUE,20,23,36,TRUE,Framingham,MAPC
56,F07001,276,0.3879,WATER RESERVOIR OUTLET,ST  9 WORCESTER RD,NBI,MHD,42,17,37.93199921,71,27,32.1264,14,4,58800,16.5,27.4,4,TRUE,0,0,0,TRUE,Framingham,MAPC
57,N03032,278,0.6001,ST  9 & RAMP A,HWY   RAMP B,NBI,MHD,42,17,54,71,22,42,14,1,8200,41.8,10.6,4,TRUE,0,0,0,TRUE,Natick,MAPC
58,B18001,27B,0.7651,HWY   CENTRAL ST,ST  2,NBI,MHD,42,30,2.653199911,71,28,33.3264,12,4,42800,20.1,27.2,7,TRUE,0,0,0,FALSE,Boxborough,MAPC
59,L13018,27C,0.9656,RR    MBTA/BMRR,ST  2,NBI,MHD,42,31,3.745199919,71,30,7.4088,12,4,38500,53,27,7,TRUE,0,0,0,FALSE,Littleton,MAPC
60,L13017,27D,0.7842,HWY   FOSTER ST,ST  2,NBI,MHD,42,31,6.837600231,71,30,13.9752,12,4,40000,16.2,27.8,7,TRUE,0,0,0,FALSE,Littleton,MAPC
61,M06019,27E,0.7616,HWY   WB CONNECTOR,I 290 RAMP H,NBI,MHD,42,21,52.14599991,71,35,13.5744,12,2,42500,24.4,10.1,6,TRUE,0,0,0,FALSE,Marlborough,MAPC
62,H25016,27F,0.9668,WATER ASSABET RIVER,I 495 NB,NBI,MHD,42,22,7.269599915,71,35,43.566,11,3,98655,25.9,17.1,6,TRUE,0,0,0,FALSE,Hudson,MAPC
63,H25016,27G,0.7547,WATER ASSABET RIVER,I 495 SB,NBI,MHD,42,22,6.85559988,71,35,44.3472,11,3,98655,25.3,17.1,5,TRUE,0,0,0,FALSE,Hudson,MAPC
64,H25017,27H,0.9544,HWY   RIVER RD,I 495 NB,NBI,MHD,42,22,17.72400093,71,35,49.326,11,3,48000,40.8,17.1,7,TRUE,0,0,0,FALSE,Hudson,MAPC
65,H25017,27J,0.9728,HWY   RIVER RD,I 495 SB,NBI,MHD,42,22,17.15880013,71,35,49.9956,11,3,48000,43,17.1,6,TRUE,0,0,0,FALSE,Hudson,MAPC
66,L13022,27K,0.5768,ST  2,I 495 NB,NBI,MHD,42,31,15.40559959,71,30,31.4388,11,3,75000,50.9,18.3,4,TRUE,0,0,0,TRUE,Littleton,MAPC
67,L13022,27L,0.5836,ST  2,I 495 SB,NBI,MHD,42,31,15.76920033,71,30,32.2344,11,3,75000,50.9,18.3,4,TRUE,0,0,0,TRUE,Littleton,MAPC
68,L13023,27M,0.8696,RR    MBTA/BMRR,I 495 NB,NBI,MHD,42,31,29.54640007,71,30,20.1096,11,3,42200,54.9,18.3,5,TRUE,0,0,0,FALSE,Littleton,MAPC
69,L13023,27N,0.8711,RR    MBTA/BMRR,I 495 SB,NBI,MHD,42,31,30.32040024,71,30,20.5848,11,3,84400,54.9,17.4,5,TRUE,0,0,0,FALSE,Littleton,MAPC
70,L13027,27P,0.9908,WATER BEAVER BROOK,I 495 NB,NBI,MHD,42,32,35.55239868,71,29,23,11,3,100000,14.9,19.5,N,TRUE,0,0,0,FALSE,Littleton,MAPC
71,L13027,27Q,0.9597,WATER BEAVER BROOK,I 495 SB,NBI,MHD,42,32,36.2723999,71,29,13,11,3,100000,14.9,19.5,N,TRUE,0,0,0,FALSE,Littleton,MAPC
72,M06012,27Y,0.7578,HWY   BERLIN RD,I 495 NB,NBI,MHD,42,21,31.83480072,71,35,10.014,11,3,84600,44.2,17.1,7,TRUE,0,0,0,FALSE,Marlborough,MAPC
73,M06012,280,0.8051,HWY   BERLIN RD,I 495 SB,NBI,MHD,42,21,32.06880188,71,35,11.4396,11,3,84600,44.2,17.1,7,TRUE,0,0,0,FALSE,Marlborough,MAPC
74,M06007,281,0.9095,HWY   N ROBIN HILL ST,I 495 NB,NBI,MHD,42,22,1.923599958,71,35,39.8868,11,3,98000,42.2,17.1,6,TRUE,0,0,0,FALSE,Marlborough,MAPC
75,M06007,282,0.9009,HWY   N ROBIN HILL ST,I 495 SB,NBI,MHD,42,22,0.998399973,71,35,40.4268,11,3,98000,38.3,17.1,7,TRUE,0,0,0,FALSE,Marlborough,MAPC
76,A02012,286,0.9072,WATER FORT POND BROOK,ST 27 MAIN ST,NBI,MHD,42,27,33.31079865,71,27,17.8776,14,2,11300,6.7,15.2,N,TRUE,0,0,0,FALSE,Acton,MAPC
77,M10007,288,0.7609,WATER ASSABET RIVER,ST 27 /ST62/WALTHM,NBI,MHD,42,25,57.17639923,71,27,0.1008,14,2,13000,27.7,17.6,5,TRUE,0,0,0,TRUE,Maynard,MAPC
78,N03020,28Q,0.8162,ST  9 WORCESTER ST,ST 27 N MAIN ST,NBI,MHD,42,17,59.80559921,71,21,37.8504,14,2,28000,30.2,16,4,TRUE,0,0,0,TRUE,Natick,MAPC
79,N03034,292,0.712,HWY   RAMPS D & G,HWY   SPEEN ST NB,NBI,MHD,42,17,54,71,22,36,14,2,15000,29.1,12.8,6,TRUE,0,0,0,FALSE,Natick,MAPC
80,A02004,29A,0.9982,RR    MBTA/BMRR,ST 27 MAIN ST,634,MHD,42,27,36.09719849,71,27,19.1664,14,2,13600,24.4,15.2,7,TRUE,0,0,0,FALSE,Acton,MAPC
81,B06020,2AF,0.6884,I 495 NB,ST126 HARTFORD AVE,NBI,MHD,42,6,50.22359848,71,27,59.3604,14,4,15000,36.6,15.9,7,TRUE,0,0,0,FALSE,Bellingham,MAPC
82,B06020,2AG,0.6803,I 495 SB,ST126 HARTFORD AVE,NBI,MHD,42,6,50.16239929,71,28,0.3756,14,4,15000,36.9,16.2,7,TRUE,0,0,0,FALSE,Bellingham,MAPC
83,M11003,2AJ,0.9145,WATER CHARLES RIVER,ST109 MAIN ST,NBI,MHD,42,10,51.55680084,71,19,22.728,14,2,24700,20.1,15.4,6,TRUE,0,0,0,FALSE,Medfield,MAPC
84,B06021,2AL,0.9987,WATER CHARLES RIVER,I 495,NBI,MHD,42,6,25,71,27,29,11,3,60000,10.1,0,N,TRUE,0,0,0,FALSE,Bellingham,MAPC
85,B04012,734,1,WATER SHAWSHEEN RIVER,US  3 NB,NBI,MHD,42,30,32.56999969,71,15,2.97,12,3,59000,30.4,23.9,7,TRUE,0,0,0,FALSE,Bedford,MAPC
86,B04012,737,1,WATER SHAWSHEEN RIVER,US  3 SB,NBI,MHD,42,30,32.56000137,71,15,2.95,12,3,59900,30.4,23.896,7,TRUE,0,0,0,FALSE,Bedford,MAPC
87,B16003,381,0.943,WATER NEPONSET RIVER,HWY   ADAMS ST,NBI,MUN,42,16,15.0923996,71,4,6.6324,14,2,20160,36.3,18.2,7,TRUE,0,0,0,FALSE,Boston,MAPC
88,R01004,AAY,0.9146,HWY   CANTON ST,ST 24 NB,NBI,MHD,42,11,7.14839983,71,4,36.03,12,3,68000,20.1,18.3,5,TRUE,0,0,0,FALSE,Randolph,MAPC
89,R01004,343,0.7092,HWY   CANTON ST,ST 24 SB,NBI,MHD,42,11,7.14839983,71,4,36.03,12,3,68000,20.1,18.3,5,TRUE,0,0,0,FALSE,Randolph,MAPC
90,A10021,2DM,0.6467,HWY   LAKE ST,ST  2,NBI,MHD,42,24,8.769599915,71,9,24.444,12,8,75000,52.7,42.7,7,TRUE,20,25,38,FALSE,Arlington,MAPC
91,A10023,2DP,0.7211,HWY   DOW AVE,ST  2,NBI,MHD,42,24,54.44279861,71,11,41.1324,12,8,76000,26.2,42.7,6,TRUE,0,0,0,FALSE,Arlington,MAPC
92,A10025,2DQ,0.6668,WATER ALEWIFE BROOK,ST  2 EB RAMP,NBI,MHD,42,23,52.20240021,71,8,35.088,14,2,5300,16.5,12.2,6,TRUE,0,0,0,FALSE,Arlington,MAPC
93,C19020,2DR,1,RR    MBTA/BMRR,ST  2 CONCORD TPK,NBI,MHD,42,27,28.48679924,71,22,54.6276,14,4,48800,22.6,23.5,6,TRUE,0,0,0,FALSE,Concord,MAPC
94,C19021,2DT,0.6608,WATER SUDBURY RIVER,ST  2 CONCORD TPK,NBI,MHD,42,27,5.749199867,71,22,19.002,14,4,89100,26.8,20.1,N,TRUE,0,0,0,TRUE,Concord,MAPC
95,C19022,2DU,1,RR    MBTA/BMRR,ST  2 CONCORD TPK,NBI,MHD,42,26,42.71640015,71,21,4.0608,14,4,55000,21,23.6,6,TRUE,0,0,0,FALSE,Concord,MAPC
96,C19007,2DV,0.6839,WATER ASSABET RIVER,ST  2 ELM ST,NBI,MHD,42,27,56.82600021,71,23,30.6672,14,4,73900,23.2,19.8,N,TRUE,0,0,0,FALSE,Concord,MAPC
97,L10019,2DW,0.5731,HWY   PLEASANT ST,ST  2 WB,NBI,MHD,42,25,5.72879982,71,12,55.53,12,3,36400,50,20.3,6,TRUE,0,0,0,FALSE,Lexington,MAPC
98,L10019,2DX,0.5812,HWY   PLEASANT ST,ST  2 EB,NBI,MHD,42,25,5.72879982,71,12,55.53,12,3,36400,50,20.3,7,TRUE,0,0,0,FALSE,Lexington,MAPC
99,L10018,2DY,0.7724,HWY   WALTHAM ST,ST  2 EB,NBI,MHD,42,25,18.14159966,71,13,56.0712,12,3,78000,43.9,21.4,8,TRUE,0,0,0,FALSE,Lexington,MAPC
100,L10018,2.00E+00,0.774,HWY   WALTHAM ST,ST  2 WB,NBI,MHD,42,25,18.14159966,71,13,56.0712,12,3,78000,43.9,21.4,8,TRUE,0,0,0,FALSE,Lexington,MAPC
101,L10009,2.00E+01,0.7039,I  95 /ST128,ST  2 WB,NBI,MHD,42,25,40.42200089,71,15,32.8104,12,3,42000,99.7,18.3,5,TRUE,0,0,0,FALSE,Lexington,MAPC
102,L10009,2.00E+02,0.6943,I  95 /ST128,ST  2 EB,NBI,MHD,42,25,40.42200089,71,15,32.8104,12,3,42000,99.7,18.3,4,TRUE,0,0,0,TRUE,Lexington,MAPC
103,W04033,2.00E+04,1,I  95 /ST128,US 20 EB/WESTON ST,NBI,MHD,42,22,11.43840027,71,16,11.28,14,2,24700,75.6,15.3,6,TRUE,0,0,0,FALSE,Waltham,MAPC
104,W10005,2.00E+05,0.8593,RR    BMRR (ABANDONED),US 20 MAIN ST,NBI,MHD,42,22,12.09720039,71,11,38.7564,14,2,29200,17.1,18.7,6,TRUE,0,0,0,FALSE,Watertown,MAPC
105,W29011,2.00E+06,0.6788,RR    MBTA/BMRR,US 20 EB,NBI,MHD,42,22,9.076800346,71,16,17.058,14,1,24900,42.7,11.1,6,TRUE,0,0,0,FALSE,Weston,MAPC
106,W29028,2.00E+07,0.7262,RR    MBTA/BMRR,US 20 WB,NBI,MHD,42,22,11.44559956,71,16,18.7824,14,1,21400,12.2,11.7,6,TRUE,0,0,0,FALSE,Weston,MAPC
107,W38034,2.00E+08,0.6797,I  93,ST125 BALLRDVLE ST,NBI,MHD,42,35,2.266799927,71,9,28.8216,14,2,26500,97.5,15.2,5,TRUE,0,0,0,FALSE,Wilmington,MAPC
108,N12004,2EB,0.3416,WATER CHARLES RIVER,ST  9 BOYLSTON ST,NBI,MHD,42,19,0.418799996,71,13,42.9312,19,6,131000,23.2,49.1,N,TRUE,0,0,0,FALSE,Newton,MAPC
109,N12052,2EC,0.3331,HWY   HAMMOND POND PKWY,ST  9 BOYLSTON ST,NBI,MHD,42,19,15.67920017,71,10,22.656,14,4,48700,39.6,17.7,N,TRUE,0,0,0,FALSE,Newton,MAPC
110,N12051,2ED,0.7455,HWY   CENTRE ST,ST  9 BOYLSTON ST,NBI,MHD,42,19,8.515199661,71,12,24.9624,14,4,53000,29,18.9,6,TRUE,0,0,0,FALSE,Newton,MAPC
111,N12040,2EE,0.6525,TR    GREEN LINE D,ST  9 BOYLSTON ST,NBI,MHD,42,19,8.43239975,71,12,32.8644,14,4,110000,17.1,27.4,5,TRUE,0,0,0,FALSE,Newton,MAPC
112,N12049,2EF,0.5377,HWY   CHESTNUT ST,ST  9 BOYLSTON ST,NBI,MHD,42,19,1.235999942,71,13,35.0292,14,4,57200,17.7,17.7,N,TRUE,0,0,0,FALSE,Newton,MAPC
113,N12048,2EG,0.8703,HWY   QUINOBEQUIN RD,ST  9 BOYLSTON ST,NBI,MHD,42,19,0.80400002,71,13,39.2052,14,4,55800,18,17.7,N,TRUE,0,0,0,FALSE,Newton,MAPC
114,N12005,2EH,0.6647,WATER HEMLOCK GORGE,ST  9 BOYLSTON ST,NBI,MHD,42,19,0.681599975,71,13,40.3752,14,6,85000,7,56.6,N,TRUE,0,0,0,FALSE,Newton,MAPC
115,W13016,2EJ,0.9707,HWY   CLIFF RD,ST  9 WORCESTER ST,NBI,MHD,42,18,42.74639893,71,16,39.2556,14,4,53700,15.2,23.8,7,TRUE,0,0,0,FALSE,Wellesley,MAPC
116,W13013,2EK,0.6655,HWY   WESTON RD,ST  9 WORCESTER ST,NBI,MHD,42,18,19.28160095,71,18,48.1104,16,4,66500,15.2,28.9,N,TRUE,0,0,0,FALSE,Wellesley,MAPC
117,B29007,2EP,0.9573,HWY   MIDDLESEX TPK,I  95 NB/ST128 NB,NBI,MHD,42,28,40.42200089,71,12,56.4084,12,6,90000,49.2,29.9,5,TRUE,0,0,0,FALSE,Burlington,MAPC
118,B29007,2EQ,0.9638,HWY   MIDDLESEX TPK,I  95 SB/ST128 SB,NBI,MHD,42,28,41.09519958,71,12,56.6496,11,6,90000,49.2,29.9,5,TRUE,0,0,0,FALSE,Burlington,MAPC
119,B29009,2ER,0.5582,HWY   S BEDFORD ST,I  95 NB/ST128 NB,NBI,MHD,42,29,6.799200058,71,11,48.0372,11,4,178500,40.5,20.9,5,TRUE,0,0,0,FALSE,Burlington,MAPC
120,B29009,2ET,0.653,HWY   S BEDFORD ST,I  95 SB/ST128 SB,NBI,MHD,42,29,7.346399784,71,11,48.8148,11,4,178500,40.5,21.5,5,TRUE,0,0,0,FALSE,Burlington,MAPC
121,B29010,2EU,0.5927,ST  3 A/CAMBRIDGE ST,I  95 NB/ST128 NB,NBI,MHD,42,29,19.05360031,71,11,31.1352,11,4,172300,62.5,22.6,5,TRUE,0,0,0,FALSE,Burlington,MAPC
122,B29010,2EV,0.7178,ST  3 A/CAMBRIDGE ST,I  95 SB/ST128 SB,NBI,MHD,42,29,19.76639938,71,11,31.4808,12,4,172300,62.5,22.6,6,TRUE,0,0,0,FALSE,Burlington,MAPC
123,B29011,2EW,0.657,HWY   WINN ST,I  95 NB/ST128 NB,NBI,MHD,42,29,44.73960114,71,10,43.2048,16,4,179000,18.3,24.7,N,TRUE,0,0,0,FALSE,Burlington,MAPC
124,B29011,2EX,0.6636,HWY   WINN ST,I  95 SB/ST128 SB,NBI,MHD,42,29,45.39120102,71,10,43.5504,16,4,179000,18.3,24.7,N,TRUE,0,0,0,FALSE,Burlington,MAPC
