OBJECTID,All_Bridges_2009April_BIN,AllBridges_2009April_Boat,All_Bridges_2009April_Health_Index,All_Bridges_2009April_Item_6A,All_Bridges_2009April_Item_7,AllBridges_2009April_Item___8_Bridge_Cat,AllBridges_2009April_Item___8_Owner,AllBridges_2009April_Item__16A,AllBridges_2009April_Item__16B,AllBridges_2009April_Item__16C,AllBridges_2009April_Item__17A,AllBridges_2009April_Item__17B,AllBridges_2009April_Item__17C,All_Bridges_2009April_Item_26,AllBridges_2009April_Item__28A,All_Bridges_2009April_Item_29,AllBridges_2009April_Item__49,AllBridges_2009April_Item__52,AllBridges_2009April_Item__58,AllBridges_2009April_Item_104,AllBridges_2009April_Posting_2_Axle,All_Bridges_2009April_Posting_3_Axle,AllBridges_2009April_Posting_5_Axle,All_Bridges_2009April_Struct_Def,All_Bridges_2009April_Town_Name,AllBridges_2009April_RPA
27,1UM,NN,0.785,HWY   HAVEN ST,I 495 NB,NBI,MHD,42,10,53.8788,71,31,41.0304,11,3,34000,26.2,17.1,6,TRUE,0,0,0,FALSE,Milford,MAPC
28,1UN,NN,0.7892,HWY   HAVEN ST,I 495 SB,NBI,MHD,42,10,50.304,71,31,44.2704,11,3,35000,27.1,17.1,6,TRUE,0,0,0,FALSE,Milford,MAPC
29,1UP,NN,0.6435,I  90,I 495 SB,NBI,MHD,42,15,59.3784,71,33,54.6408,11,3,80000,65.5,17.7,7,TRUE,0,0,0,FALSE,Hopkinton,MAPC
30,1UQ,NN,0.7468,HWY   W MAIN ST,I 495 NB,NBI,MHD,42,12,52.3476,71,32,44.7684,11,4,77000,42.7,18.1,6,TRUE,0,0,0,FALSE,Hopkinton,MAPC
31,1UR,NN,0.7618,HWY   W MAIN ST,I 495 SB,NBI,MHD,42,12,49.8924,71,32,48.7572,11,4,98909,40.5,18.1,6,TRUE,0,0,0,FALSE,Hopkinton,MAPC
32,1UT,NN,0.9846,ST135 WOOD ST,I 495 NB,NBI,MHD,42,13,46.6104,71,32,59.5968,11,3,40000,18.6,16.9,7,TRUE,0,0,0,FALSE,Hopkinton,MAPC
33,1UU,NN,0.9703,ST135 WOOD ST,I 495 SB,NBI,MHD,42,13,47.1828,71,33,4.4676,11,3,40000,18.6,16.9,7,TRUE,0,0,0,FALSE,Hopkinton,MAPC
34,1UV,NN,0.702,I  90,I 495 NB,NBI,MHD,42,15,59.6412,71,33,53.7552,11,3,80000,65.5,17.7,6,TRUE,0,0,0,FALSE,Hopkinton,MAPC
35,1UW,NN,0.6704,WATER MILL POND,I 495,NBI,MHD,42,32,5.1612,71,29,51.8676,11,6,100000,10.7,0,N,TRUE,0,0,0,FALSE,Littleton,MAPC
36,1V2,NN,0.8639,HWY   S BOLTON RD,I 495 NB,NBI,MHD,42,24,57.1824,71,36,21.0672,1,4,47000,36.6,17.4,6,TRUE,0,0,0,FALSE,Bolton,MAPC
37,1V3,NN,0.7883,HWY   S BOLTON RD,I 495 SB,NBI,MHD,42,24,57.7836,71,36,21.7152,1,4,51800,45.1,17.4,6,TRUE,0,0,0,FALSE,Bolton,MAPC
38,1V4,NN,0.8925,ST117 MAIN ST,I 495 NB,NBI,MHD,42,25,51.168,71,35,36.2184,11,4,98000,36.6,17.7,6,TRUE,0,0,0,FALSE,Bolton,MAPC
39,1V5,NN,0.9036,ST117 MAIN ST,I 495 SB,NBI,MHD,42,25,51.1896,71,35,37.2696,1,4,98000,36.6,17.7,6,TRUE,0,0,0,FALSE,Bolton,MAPC
40,1V8,NN,0.9929,RR    CSX,I 495 SB,NBI,MHD,42,5,14.118,71,25,32.538,11,3,69400,34.1,16.7,6,TRUE,0,0,0,FALSE,Franklin,MAPC
41,1V9,NN,0.9616,RR    CSX,I 495 NB,NBI,MHD,42,5,14.0784,71,25,31.5372,12,3,69400,34.1,16.7,7,TRUE,0,0,0,FALSE,Franklin,MAPC
42,1VA,NN,0.9737,HWY   KING ST,I 495 NB,NBI,MHD,42,3,53.9064,71,24,4.9896,11,4,75000,27.1,16.7,7,TRUE,0,0,0,FALSE,Franklin,MAPC
43,1VB,NN,0.779,HWY   KING ST,I 495 SB,NBI,MHD,42,3,53.3196,71,24,5.4828,11,4,75000,27.1,16.7,7,TRUE,0,0,0,FALSE,Franklin,MAPC
44,1VC,NN,0.9793,HWY   SUMMER ST,I 495 NB,NBI,MHD,42,3,30.0312,71,23,2.0472,11,4,72800,28.3,16.6,7,TRUE,0,0,0,FALSE,Franklin,MAPC
45,1VD,NN,0.8865,HWY   SUMMER ST,I 495 SB,NBI,MHD,42,3,27.3816,71,23,1.608,11,4,72800,29,16.6,7,TRUE,0,0,0,FALSE,Franklin,MAPC
46,1VE,NN,0.879,RR    MBTA/CSX,I 495 NB,NBI,MHD,42,4,20.6832,71,24,44.3088,11,4,70000,12.8,16.8,5,TRUE,0,0,0,FALSE,Franklin,MAPC
47,1VF,NN,0.8447,RR    MBTA/CSX,I 495 SB,NBI,MHD,42,4,20.2296,71,24,45.0108,11,4,70000,12.8,16.8,6,TRUE,0,0,0,FALSE,Franklin,MAPC
48,1VG,NN,0.7762,HWY   BEAVER ST,I 495 NB,NBI,MHD,42,4,51.2364,71,25,18.4332,11,4,70000,23.8,16.7,7,TRUE,0,0,0,FALSE,Franklin,MAPC
49,1VH,NN,0.7749,HWY   BEAVER ST,I 495 SB,NBI,MHD,42,4,50.7756,71,25,19.1532,11,4,70000,23.8,16.7,7,TRUE,0,0,0,FALSE,Franklin,MAPC
50,20Q,NN,0.775,I 495,I  90 RAMP ON&OFF,NBI,MHD,42,15,45.828,71,33,50.9868,11,2,35000,76.2,18.3,6,TRUE,0,0,0,TRUE,Hopkinton,MAPC
51,A4L,NN,0.9629,COMB  ST 9 & CSX,HWY   CROSSNG BLVD,NBI,MHD,42,17,12,71,35,48,19,4,6700,64.9,19.7,7,TRUE,0,0,0,FALSE,Framingham,MAPC
52,24Y,NN,0.6766,WATER SUDBURY RIVER,ST 27 OLD SUDBURY,NBI,MUN,42,22,27.192,71,22,57.2124,14,2,30000,33.2,12,5,TRUE,0,0,0,FALSE,Wayland,MAPC
53,26Q,NN,0.947,WATER HOP BROOK,US 20 BSTN POST RD,NBI,MHD,42,21,42.8364,71,25,6.5064,14,2,32000,7.3,11.6,6,TRUE,0,0,0,FALSE,Sudbury,MAPC
54,26R,NN,0.8303,WATER SUDBURY RIVER,US 20 BOSTN PST RD,NBI,MHD,42,21,47.4408,71,22,30.7884,14,2,21000,27.1,10.6,0,TRUE,0,0,0,TRUE,Wayland,MAPC
55,276,YY,0.3879,WATER RESERVOIR OUTLET,ST  9 WORCESTER RD,NBI,MHD,42,17,37.932,71,27,32.1264,14,4,58800,16.5,27.4,4,TRUE,20,25,40,TRUE,Framingham,MAPC
56,278,NN,0.6001,ST  9 & RAMP A,HWY   RAMP B,NBI,MHD,42,17,54,71,22,42,14,1,8200,41.8,10.6,5,TRUE,0,0,0,TRUE,Natick,MAPC
57,27B,NN,0.7651,HWY   CENTRAL ST,ST  2,NBI,MHD,42,30,2.6532,71,28,33.3264,12,4,42800,20.1,27.2,7,TRUE,0,0,0,FALSE,Boxborough,MAPC
58,27C,NN,0.9656,RR    MBTA/BMRR,ST  2,NBI,MHD,42,31,3.7452,71,30,7.4088,12,4,38500,53,27,7,TRUE,0,0,0,FALSE,Littleton,MAPC
59,27D,NN,0.7842,HWY   FOSTER ST,ST  2,NBI,MHD,42,31,6.8376,71,30,13.9752,12,4,40000,16.2,27.8,7,TRUE,0,0,0,FALSE,Littleton,MAPC
60,27E,NN,0.7616,HWY   WB CONNECTOR,I 290 RAMP H,NBI,MHD,42,21,52.146,71,35,13.5744,12,2,42500,24.4,10.1,6,TRUE,0,0,0,FALSE,Marlborough,MAPC
61,27F,NN,0.9668,WATER ASSABET RIVER,I 495 NB,NBI,MHD,42,22,7.2696,71,35,43.566,11,3,98655,25.9,17.1,6,TRUE,0,0,0,FALSE,Hudson,MAPC
62,27G,NN,0.7547,WATER ASSABET RIVER,I 495 SB,NBI,MHD,42,22,6.8556,71,35,44.3472,11,3,98655,25.3,17.1,5,TRUE,0,0,0,FALSE,Hudson,MAPC
63,27H,NN,0.9544,HWY   RIVER RD,I 495 NB,NBI,MHD,42,22,17.724,71,35,49.326,11,3,48000,40.8,17.1,7,TRUE,0,0,0,FALSE,Hudson,MAPC
64,27J,NN,0.9478,HWY   RIVER RD,I 495 SB,NBI,MHD,42,22,17.1588,71,35,49.9956,11,3,49726,43,17.1,6,TRUE,0,0,0,FALSE,Hudson,MAPC
65,27K,NN,0.5768,ST  2,I 495 NB,NBI,MHD,42,31,15.4056,71,30,31.4388,11,4,75000,50.9,18.3,3,TRUE,0,0,0,TRUE,Littleton,MAPC
66,27L,NN,0.4948,ST  2,I 495 SB,NBI,MHD,42,31,15.7692,71,30,32.2344,11,4,75000,50.9,18.3,3,TRUE,0,0,0,TRUE,Littleton,MAPC
67,27M,NN,0.8696,RR    MBTA/BMRR,I 495 NB,NBI,MHD,42,31,29.5464,71,30,20.1096,11,3,55000,54.9,18.3,5,TRUE,0,0,0,FALSE,Littleton,MAPC
68,27N,NN,0.8636,RR    MBTA/BMRR,I 495 SB,NBI,MHD,42,31,30.3204,71,30,20.5848,11,3,55000,54.9,17.4,5,TRUE,0,0,0,FALSE,Littleton,MAPC
69,27P,NN,0.9908,WATER BEAVER BROOK,I 495 NB,NBI,MHD,42,32,35.5524,71,29,23,11,3,50000,14.9,19.5,N,TRUE,0,0,0,FALSE,Littleton,MAPC
70,27Q,NN,0.9421,WATER BEAVER BROOK,I 495 SB,NBI,MHD,42,32,36.2724,71,29,13,11,3,50000,14.9,19.5,N,TRUE,0,0,0,FALSE,Littleton,MAPC
71,27Y,NN,0.7521,HWY   BERLIN RD,I 495 NB,NBI,MHD,42,21,31.8348,71,35,10.014,11,3,45000,44.2,17.1,6,TRUE,0,0,0,FALSE,Marlborough,MAPC
72,280,NN,0.8051,HWY   BERLIN RD,I 495 SB,NBI,MHD,42,21,32.0688,71,35,11.4396,11,3,45000,44.2,17.1,6,TRUE,0,0,0,FALSE,Marlborough,MAPC
73,281,NN,0.9095,HWY   N ROBIN HILL ST,I 495 NB,NBI,MHD,42,22,1.9236,71,35,39.8868,11,3,98000,42.2,17.1,6,TRUE,0,0,0,FALSE,Marlborough,MAPC
74,282,NN,0.9009,HWY   N ROBIN HILL ST,I 495 SB,NBI,MHD,42,22,0.9984,71,35,40.4268,11,3,98000,38.3,17.1,5,TRUE,0,0,0,FALSE,Marlborough,MAPC
75,286,YN,0.9072,WATER FORT POND BROOK,ST 27 MAIN ST,NBI,MHD,42,27,33.3108,71,27,17.8776,14,2,11300,6.7,15.2,N,TRUE,0,0,0,FALSE,Acton,MAPC
76,288,NN,0.7609,WATER ASSABET RIVER,ST 27 /ST62/WALTHM,NBI,MHD,42,25,57.1764,71,27,0.1008,14,2,13000,27.7,17.6,4,TRUE,20,25,40,TRUE,Maynard,MAPC
77,28Q,NN,0.8162,ST  9 WORCESTER ST,ST 27 N MAIN ST,NBI,MHD,42,17,59.8056,71,21,37.8504,14,2,28000,30.2,16,4,TRUE,0,0,0,TRUE,Natick,MAPC
78,292,NN,0.712,HWY   RAMPS D & G,HWY   SPEEN ST NB,NBI,MHD,42,17,54,71,22,36,14,2,15000,29.1,12.8,6,TRUE,0,0,0,FALSE,Natick,MAPC
79,29A,NN,0.9982,RR    MBTA/BMRR,ST 27 MAIN ST,634,MHD,42,27,36.0972,71,27,19.1664,14,2,13600,24.4,15.2,7,TRUE,0,0,0,FALSE,Acton,MAPC
80,2AF,NN,0.6884,I 495 NB,ST126 HARTFORD AVE,NBI,MHD,42,6,50.2236,71,27,59.3604,14,4,15000,36.6,15.9,7,TRUE,0,0,0,FALSE,Bellingham,MAPC
81,2AG,NN,0.6803,I 495 SB,ST126 HARTFORD AVE,NBI,MHD,42,6,50.1624,71,28,0.3756,14,4,15000,36.9,16.2,7,TRUE,0,0,0,FALSE,Bellingham,MAPC
82,2AJ,NN,0.9375,WATER CHARLES RIVER,ST109 MAIN ST,NBI,MHD,42,10,51.5568,71,19,22.728,14,2,24700,20.1,15.4,6,TRUE,0,0,0,FALSE,Medfield,MAPC
83,2AL,YN,0.9987,WATER CHARLES RIVER,I 495,NBI,MHD,42,6,25,71,27,29,11,3,60000,10.1,0,N,TRUE,0,0,0,FALSE,Bellingham,MAPC
84,734,NN,1,WATER SHAWSHEEN RIVER,US  3 NB,NBI,MHD,42,30,32.57,71,15,2.97,12,3,59000,30.4,23.9,7,TRUE,0,0,0,FALSE,Bedford,MAPC
85,737,NN,1,WATER SHAWSHEEN RIVER,US  3 SB,NBI,MHD,42,30,32.56,71,15,2.95,12,3,59900,30.4,23.896,7,TRUE,0,0,0,FALSE,Bedford,MAPC
86,381,NN,0.943,WATER NEPONSET RIVER,HWY   ADAMS ST,NBI,MUN,42,16,15.0924,71,4,6.6324,14,2,20160,36.3,18.2,7,TRUE,0,0,0,FALSE,Boston,MAPC
87,AAY,NN,0.9146,HWY   CANTON ST,ST 24 NB,NBI,MHD,42,11,7.1484,71,4,36.03,12,3,69000,20.1,18.3,5,TRUE,0,0,0,FALSE,Randolph,MAPC
88,343,NN,0.7092,HWY   CANTON ST,ST 24 SB,NBI,MHD,42,11,7.1484,71,4,36.03,12,3,69000,20.1,18.3,5,TRUE,0,0,0,FALSE,Randolph,MAPC
89,2DM,NN,0.6467,HWY   LAKE ST,ST  2,NBI,MHD,42,24,8.7696,71,9,24.444,12,8,75000,52.7,42.7,7,TRUE,20,25,38,FALSE,Arlington,MAPC
90,2DP,NN,0.7211,HWY   DOW AVE,ST  2,NBI,MHD,42,24,54.4428,71,11,41.1324,12,8,76000,26.2,42.7,6,TRUE,0,0,0,FALSE,Arlington,MAPC
91,2DQ,YY,0.6668,WATER ALEWIFE BROOK,ST  2 EB RAMP,NBI,MHD,42,23,52.2024,71,8,35.088,14,2,18600,16.5,12.2,6,TRUE,0,0,0,FALSE,Arlington,MAPC
92,2DR,NN,1,RR    MBTA/BMRR,ST  2 CONCORD TPK,NBI,MHD,42,27,28.4868,71,22,54.6276,14,4,48800,22.6,23.5,6,TRUE,0,0,0,FALSE,Concord,MAPC
93,2DT,YY,0.6608,WATER SUDBURY RIVER,ST  2 CONCORD TPK,NBI,MHD,42,27,5.7492,71,22,19.002,14,4,89100,26.8,20.1,N,TRUE,0,0,0,TRUE,Concord,MAPC
94,2DU,NN,1,RR    MBTA/BMRR,ST  2 CONCORD TPK,NBI,MHD,42,26,42.7164,71,21,4.0608,14,4,55000,21,23.6,6,TRUE,0,0,0,FALSE,Concord,MAPC
95,2DV,YY,0.6839,WATER ASSABET RIVER,ST  2 ELM ST,NBI,MHD,42,27,56.826,71,23,30.6672,14,4,75000,23.2,19.8,N,TRUE,0,0,0,FALSE,Concord,MAPC
96,2DW,NN,0.5731,HWY   PLEASANT ST,ST  2 WB,NBI,MHD,42,25,5.7288,71,12,55.53,12,3,36400,50,20.3,6,TRUE,0,0,0,FALSE,Lexington,MAPC
97,2DX,NN,0.5812,HWY   PLEASANT ST,ST  2 EB,NBI,MHD,42,25,5.7288,71,12,55.53,12,3,36400,50,20.3,7,TRUE,0,0,0,FALSE,Lexington,MAPC
98,2DY,NN,0.7724,HWY   WALTHAM ST,ST  2 EB,NBI,MHD,42,25,18.1416,71,13,56.0712,12,3,78000,43.9,21.4,8,TRUE,0,0,0,FALSE,Lexington,MAPC
99,2.00E+00,NN,0.774,HWY   WALTHAM ST,ST  2 WB,NBI,MHD,42,25,18.1416,71,13,56.0712,12,3,78000,43.9,21.4,8,TRUE,0,0,0,FALSE,Lexington,MAPC
100,2.00E+01,NN,0.7039,I  95 /ST128,ST  2 WB,NBI,MHD,42,25,40.422,71,15,32.8104,12,3,42000,99.7,18.3,5,TRUE,0,0,0,FALSE,Lexington,MAPC
101,2.00E+02,NN,0.6943,I  95 /ST128,ST  2 EB,NBI,MHD,42,25,40.422,71,15,32.8104,12,3,42000,99.7,18.3,3,TRUE,0,0,0,TRUE,Lexington,MAPC
102,2.00E+04,NN,0.631,I  95 /ST128,US 20 EB/WESTON ST,NBI,MHD,42,22,11.4384,71,16,11.28,14,2,26900,75.6,15.3,5,TRUE,0,0,0,FALSE,Waltham,MAPC
103,2.00E+05,NN,0.8593,RR    BMRR (ABANDONED),US 20 MAIN ST,NBI,MHD,42,22,12.0972,71,11,38.7564,14,2,24200,17.1,18.7,6,TRUE,0,0,0,FALSE,Watertown,MAPC
104,2.00E+06,NN,0.6788,RR    MBTA/BMRR,US 20 EB,NBI,MHD,42,22,9.0768,71,16,17.058,14,1,25300,42.7,11.1,6,TRUE,0,0,0,FALSE,Weston,MAPC
105,2.00E+07,NN,0.7262,RR    MBTA/BMRR,US 20 WB,NBI,MHD,42,22,11.4456,71,16,18.7824,14,1,22200,12.2,11.7,6,TRUE,0,0,0,FALSE,Weston,MAPC
106,2.00E+08,NN,0.6797,I  93,ST125 BALLRDVLE ST,NBI,MHD,42,35,2.2668,71,9,28.8216,14,2,26500,97.5,15.2,5,TRUE,0,0,0,FALSE,Wilmington,MAPC
107,2EB,YY,0.3416,WATER CHARLES RIVER,ST  9 BOYLSTON ST,NBI,MHD,42,19,0.4188,71,13,42.9312,19,6,131000,23.2,49.1,N,TRUE,0,0,0,FALSE,Newton,MAPC
108,2EC,NN,0.3331,HWY   HAMMOND POND PKWY,ST  9 BOYLSTON ST,NBI,MHD,42,19,15.6792,71,10,22.656,14,4,49500,39.6,17.7,N,TRUE,0,0,0,FALSE,Newton,MAPC
109,2ED,NN,0.7455,HWY   CENTRE ST,ST  9 BOYLSTON ST,NBI,MHD,42,19,8.5152,71,12,24.9624,14,4,54000,29,18.9,6,TRUE,0,0,0,FALSE,Newton,MAPC
110,2EE,NN,0.6525,TR    GREEN LINE D,ST  9 BOYLSTON ST,NBI,MHD,42,19,8.4324,71,12,32.8644,14,4,110000,17.1,27.4,5,TRUE,0,0,0,FALSE,Newton,MAPC
111,2EF,NN,0.5377,HWY   CHESTNUT ST,ST  9 BOYLSTON ST,NBI,MHD,42,19,1.236,71,13,35.0292,14,4,59000,17.7,17.7,N,TRUE,0,0,0,FALSE,Newton,MAPC
112,2EG,NN,0.8703,HWY   QUINOBEQUIN RD,ST  9 BOYLSTON ST,NBI,MHD,42,19,0.804,71,13,39.2052,14,4,57000,18,17.7,N,TRUE,0,0,0,FALSE,Newton,MAPC
113,2EH,NN,0.6647,WATER HEMLOCK GORGE,ST  9 BOYLSTON ST,NBI,MHD,42,19,0.6816,71,13,40.3752,14,6,86000,7,56.6,N,TRUE,0,0,0,FALSE,Newton,MAPC
114,2EJ,NN,0.9707,HWY   CLIFF RD,ST  9 WORCESTER ST,NBI,MHD,42,18,42.7464,71,16,39.2556,14,4,53400,15.2,23.8,7,TRUE,0,0,0,FALSE,Wellesley,MAPC
115,2EK,NN,0.6655,HWY   WESTON RD,ST  9 WORCESTER ST,NBI,MHD,42,18,19.2816,71,18,48.1104,16,4,66500,15.2,28.9,N,TRUE,0,0,0,FALSE,Wellesley,MAPC
116,2EP,NN,0.9573,HWY   MIDDLESEX TPK,I  95 NB/ST128 NB,NBI,MHD,42,28,40.422,71,12,56.4084,12,6,90000,49.2,29.9,5,TRUE,0,0,0,FALSE,Burlington,MAPC
117,2EQ,NN,0.9638,HWY   MIDDLESEX TPK,I  95 SB/ST128 SB,NBI,MHD,42,28,41.0952,71,12,56.6496,11,6,90000,49.2,29.9,5,TRUE,0,0,0,FALSE,Burlington,MAPC
118,2ER,NN,0.5582,HWY   S BEDFORD ST,I  95 NB/ST128 NB,NBI,MHD,42,29,6.7992,71,11,48.0372,11,4,178500,40.5,20.9,5,TRUE,0,0,0,FALSE,Burlington,MAPC
119,2ET,NN,0.653,HWY   S BEDFORD ST,I  95 SB/ST128 SB,NBI,MHD,42,29,7.3464,71,11,48.8148,11,4,178500,40.5,21.5,5,TRUE,0,0,0,FALSE,Burlington,MAPC
120,2EU,NN,0.5927,ST  3 A/CAMBRIDGE ST,I  95 NB/ST128 NB,NBI,MHD,42,29,19.0536,71,11,31.1352,11,4,172300,62.5,22.6,5,TRUE,0,0,0,FALSE,Burlington,MAPC
121,2EV,NN,0.7178,ST  3 A/CAMBRIDGE ST,I  95 SB/ST128 SB,NBI,MHD,42,29,19.7664,71,11,31.4808,12,4,172300,62.5,22.6,6,TRUE,0,0,0,FALSE,Burlington,MAPC
122,2EW,NN,0.6703,HWY   WINN ST,I  95 NB/ST128 NB,NBI,MHD,42,29,44.7396,71,10,43.2048,16,4,179000,18.3,24.7,N,TRUE,0,0,0,FALSE,Burlington,MAPC
123,2EX,NN,0.6636,HWY   WINN ST,I  95 SB/ST128 SB,NBI,MHD,42,29,45.3912,71,10,43.5504,16,4,179000,18.3,24.7,N,TRUE,0,0,0,FALSE,Burlington,MAPC
124,2EY,NN,0.5668,HWY   LINCOLN ST,I  95 /ST128,NBI,MHD,42,26,8.0808,71,15,35.8956,11,8,181000,41.8,43,5,TRUE,0,0,0,FALSE,Lexington,MAPC
125,2F0,NN,0.7425,ST 28 MAIN ST,I  95 /ST128,NBI,MHD,42,30,12.8448,71,6,9.5688,12,8,153000,28,46.4,6,TRUE,0,0,0,FALSE,Reading,MAPC
126,2F1,NN,0.670000076,WATER STONY BROOK,I  95 /ST128,NBI,MHD,42,21,49.0464,71,16,15.1788,11,8,185000,8.8,43.3,N,TRUE,0,0,0,FALSE,Waltham,MAPC
127,2F2,NN,0.9736,RR    MBTA/BMRR,I  95 /ST128,NBI,MHD,42,22,2.7732,71,16,12.8028,12,9,186000,69.2,45.5,5,TRUE,0,0,0,FALSE,Waltham,MAPC
