OBJECTID,AllBridges_2011April_BDEPT,AllBridges_2011April_BIN,AllBridges_2011April_Health_Index,AllBridges_2011April_Item_6A,AllBridges_2011April_Item_7,AllBridges_2011April_Item___8_Bridge_Cat,AllBridges_2011April_Item___8_Owner,AllBridges_2011April_Item__16A,AllBridges_2011April_Item__16B,AllBridges_2011April_Item__16C,AllBridges_2011April_Item__17A,AllBridges_2011April_Item__17B,AllBridges_2011April_Item__17C,AllBridges_2011April_Item_26,AllBridges_2011April_Item__28A,AllBridges_2011April_Item_29,AllBridges_2011April_Item__49,AllBridges_2011April_Item__52,AllBridges_2011April_Item__58,AllBridges_2011April_Item_104,AllBridges_2011April_Posting_2_Axle,AllBridges_2011April_Posting_3_Axle,AllBridges_2011April_Posting_5_Axle,AllBridges_2011April_Struct_Def,AllBridges_2011April_Town_Name,AllBridges_2011April_RPA
23,S20017,1U7,0.9305,ST 30 MAIN ST,I 495 NB,NBI,DOT,42,18,26.23320007,71,33,58.3092,11,3,50000,36,17.1,6,True,0,0,0,False,Southborough,MAPC
24,S20017,1U8,0.9201,ST 30 MAIN ST,I 495 SB,NBI,DOT,42,18,26.07480049,71,33,59.22,11,3,50000,34.7,17.1,7,True,0,0,0,False,Southborough,MAPC
25,S20018,1U9,0.7162,COMB  MDC AQUEDUCT & CSX,I 495 NB,NBI,DOT,42,18,49.2947998,71,34,3,11,3,50000,97.5,17.1,5,True,0,0,0,False,Southborough,MAPC
26,S20018,1UA,0.7331,COMB  MDC AQUEDUCT & CSX,I 495 SB,NBI,DOT,42,18,49.1867981,71,34,10,11,3,50000,102.1,17.1,5,True,0,0,0,True,Southborough,MAPC
27,S20019,1UB,0.9288,HWY   NORTHBORO RD,I 495 NB,NBI,DOT,42,18,53.96039963,71,34,9.5124,11,3,50000,35.4,17.1,7,True,0,0,0,False,Southborough,MAPC
28,S20019,1UC,0.9487,HWY   NORTHBORO RD,I 495 SB,NBI,DOT,42,18,53.62559891,71,34,10.344,11,3,50000,33.5,16.2,7,True,0,0,0,False,Southborough,MAPC
29,M21022,1UD,0.7957,ST109 MEDWAY RD,I 495 NB,NBI,DOT,42,8,50.67240143,71,29,5.442,11,3,40200,43,17.1,6,True,0,0,0,False,Milford,MAPC
30,M21022,1UE,0.9361,ST109 MEDWAY RD,I 495 SB,NBI,DOT,42,8,50.77320099,71,29,6.432,11,3,40200,43,17.1,6,True,0,0,0,False,Milford,MAPC
31,M21017,1UF,0.8089,RR    CSX (ABANDONED),I 495 SB,NBI,DOT,42,9,9.475199699,71,29,14.4348,11,3,38700,23.8,17.1,7,True,0,0,0,False,Milford,MAPC
32,M21017,1UG,0.8013,RR    CSX (ABANDONED),I 495 NB,NBI,DOT,42,9,9.849599838,71,29,13.6428,11,3,38700,23.8,17.1,7,True,0,0,0,False,Milford,MAPC
33,M21021,1UH,0.8053,ST 16 E MAIN ST,I 495 SB,NBI,DOT,42,9,15.93360043,71,29,19.6836,11,3,35000,29.3,17.4,6,True,0,0,0,False,Milford,MAPC
34,M21021,1UJ,0.7887,ST 16 E MAIN ST,I 495 NB,NBI,DOT,42,9,16.50600052,71,29,19.0644,11,3,56000,29.3,17.4,7,True,0,0,0,False,Milford,MAPC
35,M21020,1UK,0.7928,ST 85 CEDAR ST,I 495 NB,NBI,DOT,42,9,58.40639877,71,30,33.3756,11,3,65000,33.5,17.4,6,True,0,0,0,False,Milford,MAPC
36,M21020,1UL,0.7725,ST 85 CEDAR ST,I 495 SB,NBI,DOT,42,9,57.4776001,71,30,33.2208,11,3,65000,32.9,17.4,7,True,0,0,0,False,Milford,MAPC
37,M21018,1UM,0.7745,HWY   HAVEN ST,I 495 NB,NBI,DOT,42,10,53.87879944,71,31,41.0304,11,3,40000,26.2,17.1,6,True,0,0,0,False,Milford,MAPC
38,M21018,1UN,0.7855,HWY   HAVEN ST,I 495 SB,NBI,DOT,42,10,50.30400085,71,31,44.2704,11,3,40000,27.1,17.1,6,True,0,0,0,False,Milford,MAPC
39,H23008,1UP,0.6236,I  90,I 495 SB,NBI,DOT,42,15,59.3783989,71,33,54.6408,11,3,80000,65.5,17.7,6,True,0,0,0,False,Hopkinton,MAPC
40,H23011,1UQ,0.7618,HWY   W MAIN ST,I 495 NB,NBI,DOT,42,12,52.34759903,71,32,44.7684,11,4,98909,42.7,18.1,5,True,0,0,0,False,Hopkinton,MAPC
41,H23011,1UR,0.79,HWY   W MAIN ST,I 495 SB,NBI,DOT,42,12,49.89239883,71,32,48.7572,11,4,98909,40.5,18.1,5,True,0,0,0,False,Hopkinton,MAPC
42,H23010,1UT,0.9943,ST135 WOOD ST,I 495 NB,NBI,DOT,42,13,46.61040115,71,32,59.5968,11,3,50000,18.6,16.9,7,True,0,0,0,False,Hopkinton,MAPC
43,H23010,1UU,0.972,ST135 WOOD ST,I 495 SB,NBI,DOT,42,13,47.18280029,71,33,4.4676,11,3,50000,18.6,16.9,7,True,0,0,0,False,Hopkinton,MAPC
44,H23008,1UV,0.5632,I  90,I 495 NB,NBI,DOT,42,15,59.64120102,71,33,53.7552,11,3,80000,65.5,17.7,6,True,0,0,0,False,Hopkinton,MAPC
45,L13025,1UW,0.6704,WATER MILL POND,I 495,NBI,DOT,42,32,5.161200047,71,29,51.8676,11,6,100000,10.7,0,N,True,0,0,0,False,Littleton,MAPC
46,B15004,1V2,0.8586,HWY   S BOLTON RD,I 495 NB,NBI,DOT,42,24,57.18239975,71,36,21.0672,01,4,47000,36.6,17.4,6,True,0,0,0,False,Bolton,MAPC
47,B15004,1V3,0.9638,HWY   S BOLTON RD,I 495 SB,NBI,DOT,42,24,57.78359985,71,36,21.7152,01,4,51800,45.1,17.4,5,True,0,0,0,False,Bolton,MAPC
48,B15002,1V4,0.928,ST117 MAIN ST,I 495 NB,NBI,DOT,42,25,51.16799927,71,35,36.2184,11,4,98000,36.6,17.7,6,True,0,0,0,False,Bolton,MAPC
49,B15002,1V5,0.9619,ST117 MAIN ST,I 495 SB,NBI,DOT,42,25,51.1896019,71,35,37.2696,01,4,98000,36.6,17.7,6,True,0,0,0,False,Bolton,MAPC
50,F08021,1V8,0.9926,RR    CSX,I 495 SB,NBI,DOT,42,5,14.11800003,71,25,32.538,11,3,69400,34.1,16.7,6,True,0,0,0,False,Franklin,MAPC
51,F08021,1V9,0.9727,RR    CSX,I 495 NB,NBI,DOT,42,5,14.07839966,71,25,31.5372,12,3,69400,34.1,16.7,6,True,0,0,0,False,Franklin,MAPC
52,F08023,1VA,0.9557,HWY   KING ST,I 495 NB,NBI,DOT,42,3,53.90639877,71,24,4.9896,11,4,40000,27.1,16.7,7,True,0,0,0,False,Franklin,MAPC
53,F08023,1VB,0.7875,HWY   KING ST,I 495 SB,NBI,DOT,42,3,53.31959915,71,24,5.4828,11,4,45000,27.1,16.7,7,True,0,0,0,False,Franklin,MAPC
54,F08024,1VC,0.7833,HWY   SUMMER ST,I 495 NB,NBI,DOT,42,3,30.03120041,71,23,2.0472,11,4,38000,28.3,16.6,7,True,0,0,0,False,Franklin,MAPC
55,F08024,1VD,0.8897,HWY   SUMMER ST,I 495 SB,NBI,DOT,42,3,27.38159943,71,23,1.608,11,4,72800,29,16.6,7,True,0,0,0,False,Franklin,MAPC
56,F08027,1VE,0.879,RR    MBTA/CSX,I 495 NB,NBI,DOT,42,4,20.68320084,71,24,44.3088,11,4,36000,12.8,16.8,5,True,0,0,0,False,Franklin,MAPC
57,F08027,1VF,0.8545,RR    MBTA/CSX,I 495 SB,NBI,DOT,42,4,20.22960091,71,24,45.0108,11,4,40000,12.8,16.8,6,True,0,0,0,False,Franklin,MAPC
58,F08029,1VG,0.7762,HWY   BEAVER ST,I 495 NB,NBI,DOT,42,4,51.2364006,71,25,18.4332,11,4,38000,23.8,16.7,7,True,0,0,0,False,Franklin,MAPC
59,F08029,1VH,0.7678,HWY   BEAVER ST,I 495 SB,NBI,DOT,42,4,50.77560043,71,25,19.1532,11,4,38000,23.8,16.7,7,True,0,0,0,False,Franklin,MAPC
60,H23012,20Q,0.777,I 495,I  90 RAMP ON&OFF,NBI,DOT,42,15,45.82799911,71,33,50.9868,11,2,35000,76.2,18.3,6,True,0,0,0,True,Hopkinton,MAPC
61,F07067,A4L,0.9634,COMB  ST 9 & CSX,HWY   CROSSNG BLVD,NBI,DOT,42,17,12,71,35,48,19,4,6700,64.9,19.7,7,True,0,0,0,False,Framingham,MAPC
62,W11007,24Y,0.6712,WATER SUDBURY RIVER,ST 27 OLD SUDBURY,NBI,MUN,42,22,27.19199944,71,22,57.2124,14,2,30000,33.2,12,5,True,0,0,0,False,Wayland,MAPC
63,S31004,26Q,0.947,WATER HOP BROOK,US 20 BSTN POST RD,NBI,DOT,42,21,42.83639908,71,25,6.5064,14,2,32000,7.3,11.6,6,True,0,0,0,False,Sudbury,MAPC
64,F07001,276,0.4168,WATER RESERVOIR OUTLET,ST  9 WORCESTER RD,NBI,DOT,42,17,37.93199921,71,27,32.1264,14,4,58800,16.5,27.4,4,True,20,25,40,True,Framingham,MAPC
65,N03032,278,0.6331,ST  9 & RAMP A,HWY   RAMP B,NBI,DOT,42,17,54,71,22,42,14,1,8200,41.8,10.6,5,True,0,0,0,False,Natick,MAPC
66,B18001,27B,0.7834,HWY   CENTRAL ST,ST  2,NBI,DOT,42,30,2.653199911,71,28,33.3264,12,4,44000,20.1,27.2,7,True,0,0,0,False,Boxborough,MAPC
67,L13018,27C,0.9656,RR    MBTA/BMRR,ST  2,NBI,DOT,42,31,3.745199919,71,30,7.4088,12,4,38500,53,27,7,True,0,0,0,False,Littleton,MAPC
68,L13017,27D,0.7842,HWY   FOSTER ST,ST  2,NBI,DOT,42,31,6.837600231,71,30,13.9752,12,4,40000,16.2,27.8,7,True,0,0,0,False,Littleton,MAPC
69,M06019,27E,0.7616,HWY   85 CONNECTOR,I 290 RAMP H,NBI,DOT,42,21,52.14599991,71,35,13.5744,12,2,42500,24.4,10.1,5,True,0,0,0,False,Marlborough,MAPC
70,H25016,27F,0.9468,WATER ASSABET RIVER,I 495 NB,NBI,DOT,42,22,7.269599915,71,35,43.566,11,3,50000,25.9,17.1,5,True,0,0,0,False,Hudson,MAPC
71,H25016,27G,0.7547,WATER ASSABET RIVER,I 495 SB,NBI,DOT,42,22,6.85559988,71,35,44.3472,11,3,50000,25.3,17.1,5,True,0,0,0,False,Hudson,MAPC
72,H25017,27H,0.9544,HWY   RIVER RD,I 495 NB,NBI,DOT,42,22,17.72400093,71,35,49.326,11,3,48000,40.8,17.1,6,True,0,0,0,False,Hudson,MAPC
73,H25017,27J,0.7865,HWY   RIVER RD,I 495 SB,NBI,DOT,42,22,17.15880013,71,35,49.9956,11,3,49726,43,17.1,6,True,0,0,0,False,Hudson,MAPC
74,L13022,27K,0.585,ST  2,I 495 NB,NBI,DOT,42,31,15.40559959,71,30,31.4388,11,4,75000,50.9,18.3,3,True,0,0,0,True,Littleton,MAPC
75,L13022,27L,0.4942,ST  2,I 495 SB,NBI,DOT,42,31,15.76920033,71,30,32.2344,11,4,75000,50.9,18.3,3,True,0,0,0,True,Littleton,MAPC
76,L13023,27M,0.823,RR    MBTA/BMRR,I 495 NB,NBI,DOT,42,31,29.54640007,71,30,20.1096,11,4,55000,54.9,18.3,5,True,0,0,0,False,Littleton,MAPC
77,L13023,27N,0.8636,RR    MBTA/BMRR,I 495 SB,NBI,DOT,42,31,30.32040024,71,30,20.5848,11,4,55000,54.9,17.4,5,True,0,0,0,False,Littleton,MAPC
78,L13027,27P,0.9908,WATER BEAVER BROOK,I 495 NB,NBI,DOT,42,32,35.55239868,71,29,23,11,3,50000,14.9,19.5,N,True,0,0,0,False,Littleton,MAPC
79,L13027,27Q,0.9421,WATER BEAVER BROOK,I 495 SB,NBI,DOT,42,32,36.2723999,71,29,13,11,3,50000,14.9,19.5,N,True,0,0,0,False,Littleton,MAPC
80,M06012,27Y,0.8595,HWY   BERLIN RD,I 495 NB,NBI,DOT,42,21,31.83480072,71,35,10.014,11,3,45000,44.2,17.1,6,True,0,0,0,False,Marlborough,MAPC
81,M06012,280,0.7851,HWY   BERLIN RD,I 495 SB,NBI,DOT,42,21,32.06880188,71,35,11.4396,11,3,45000,44.2,17.1,6,True,0,0,0,False,Marlborough,MAPC
82,M06007,281,0.8704,HWY   DONALD LYNCH BLVD,I 495 NB,NBI,DOT,42,22,1.923599958,71,35,39.8868,11,3,50000,42.2,17.1,6,True,0,0,0,False,Marlborough,MAPC
83,M06007,282,0.9009,HWY   DONALD LYNCH BLVD,I 495 SB,NBI,DOT,42,22,0.998399973,71,35,40.4268,11,3,98000,38.3,17.1,5,True,0,0,0,False,Marlborough,MAPC
84,A02012,286,0.9045,WATER FORT POND BROOK,ST 27 MAIN ST,NBI,DOT,42,27,33.31079865,71,27,17.8776,14,2,11300,6.7,15.2,N,True,0,0,0,False,Acton,MAPC
85,M10007,288,0.7609,WATER ASSABET RIVER,ST 27 /ST62/WALTHM,NBI,DOT,42,25,57.17639923,71,27,0.1008,14,2,13000,27.7,17.6,4,True,20,25,40,True,Maynard,MAPC
86,N03020,28Q,0.8162,ST  9 WORCESTER ST,ST 27 N MAIN ST,NBI,DOT,42,17,59.80559921,71,21,37.8504,14,2,28000,30.2,16,5,True,0,0,0,True,Natick,MAPC
87,N03034,292,0.712,HWY   RAMPS D & G,HWY   SPEEN ST NB,NBI,DOT,42,17,54,71,22,36,14,2,15000,29.1,12.8,6,True,0,0,0,False,Natick,MAPC
88,A02004,29A,0.9982,RR    MBTA/BMRR,ST 27 MAIN ST,634,DOT,42,27,36.09719849,71,27,19.1664,14,2,13600,24.4,15.2,7,True,0,0,0,False,Acton,MAPC
89,B06020,2AF,0.6884,I 495 NB,ST126 HARTFORD AVE,NBI,DOT,42,6,50.22359848,71,27,59.3604,14,4,16200,36.6,15.9,7,True,0,0,0,False,Bellingham,MAPC
90,B06020,2AG,0.6543,I 495 SB,ST126 HARTFORD AVE,NBI,DOT,42,6,50.16239929,71,28,0.3756,14,4,16200,36.9,16.2,7,True,0,0,0,False,Bellingham,MAPC
91,M11003,2AJ,0.9027,WATER CHARLES RIVER,ST109 MAIN ST,NBI,DOT,42,10,51.55680084,71,19,22.728,14,2,24700,20.1,15.4,6,True,0,0,0,False,Medfield,MAPC
92,B06021,2AL,0.9987,WATER CHARLES RIVER,I 495,NBI,DOT,42,6,25,71,27,29,11,3,80000,10.1,0,N,True,0,0,0,False,Bellingham,MAPC
93,B04012,734,1,WATER SHAWSHEEN RIVER,US  3 NB,NBI,DOT,42,30,32.56999969,71,15,2.97,12,3,60000,30.4,23.9,7,True,0,0,0,False,Bedford,MAPC
94,B04012,737,1,WATER SHAWSHEEN RIVER,US  3 SB,NBI,DOT,42,30,32.56000137,71,15,2.95,12,3,60000,30.4,23.896,7,True,0,0,0,False,Bedford,MAPC
95,W31013,7RD,1,RR    MBTA/CSX,I  95 SB/US1NB,NBI,DOT,42,13,31.77000046,71,10,39.97,11,3,155000,49.42,23.91,7,True,0,0,0,False,Westwood,MAPC
96,B16003,381,0.943,WATER NEPONSET RIVER,HWY   ADAMS ST,NBI,MUN,42,16,15.0923996,71,4,6.6324,14,2,21600,36.3,18.2,7,True,0,0,0,False,Boston,MAPC
97,R01004,AAY,0.9146,HWY   CANTON ST,ST 24 NB,NBI,DOT,42,11,7.14839983,71,4,36.03,12,3,69000,20.1,18.3,5,True,0,0,0,False,Randolph,MAPC
98,R01004,343,0.7092,HWY   CANTON ST,ST 24 SB,NBI,DOT,42,11,7.14839983,71,4,36.03,12,3,69000,20.1,18.3,5,True,0,0,0,False,Randolph,MAPC
99,A10021,2DM,0.6578,HWY   LAKE ST,ST  2,NBI,DOT,42,24,8.769599915,71,9,24.444,12,8,76000,52.7,42.7,7,True,20,25,38,False,Arlington,MAPC
100,A10023,2DP,0.7211,HWY   DOW AVE,ST  2,NBI,DOT,42,24,54.44279861,71,11,41.1324,12,8,77000,26.2,42.7,6,True,0,0,0,False,Arlington,MAPC
101,A10025,2DQ,0.6737,WATER ALEWIFE BROOK,ST  2 EB RAMP,NBI,DOT,42,23,52.20240021,71,8,35.088,14,2,18600,16.5,12.2,6,True,0,0,0,False,Arlington,MAPC
102,C19020,2DR,1,RR    MBTA/BMRR,ST  2 CONCORD TPK,NBI,DOT,42,27,28.48679924,71,22,54.6276,14,4,49500,22.6,23.5,6,True,0,0,0,False,Concord,MAPC
103,C19021,2DT,0.6608,WATER SUDBURY RIVER,ST  2 CONCORD TPK,NBI,DOT,42,27,5.749199867,71,22,19.002,14,4,69300,26.8,20.1,N,True,0,0,0,True,Concord,MAPC
104,C19022,2DU,1,RR    MBTA/BMRR,ST  2 CONCORD TPK,NBI,DOT,42,26,42.71640015,71,21,4.0608,14,4,56000,21,23.6,6,True,0,0,0,False,Concord,MAPC
105,C19007,2DV,0.6839,WATER ASSABET RIVER,ST  2 ELM ST,NBI,DOT,42,27,56.82600021,71,23,30.6672,14,4,76000,23.2,19.8,N,True,0,0,0,False,Concord,MAPC
106,L10019,2DW,0.5653,HWY   PLEASANT ST,ST  2 WB,NBI,DOT,42,25,5.72879982,71,12,55.53,12,3,37000,50,20.3,6,True,0,0,0,False,Lexington,MAPC
107,L10019,2DX,0.5813,HWY   PLEASANT ST,ST  2 EB,NBI,DOT,42,25,5.72879982,71,12,55.53,12,3,38600,50,20.3,7,True,0,0,0,False,Lexington,MAPC
108,L10018,2DY,0.7724,HWY   WALTHAM ST,ST  2 EB,NBI,DOT,42,25,18.14159966,71,13,56.0712,12,3,79000,43.9,21.4,8,True,0,0,0,False,Lexington,MAPC
109,L10018,2E0,0.774,HWY   WALTHAM ST,ST  2 WB,NBI,DOT,42,25,18.14159966,71,13,56.0712,12,3,79000,43.9,21.4,7,True,0,0,0,False,Lexington,MAPC
110,L10009,2E1,0.7039,I  95 /ST128,ST  2 WB,NBI,DOT,42,25,40.42200089,71,15,32.8104,12,3,39400,99.7,18.3,5,True,0,0,0,False,Lexington,MAPC
111,L10009,2E2,0.6943,I  95 /ST128,ST  2 EB,NBI,DOT,42,25,40.42200089,71,15,32.8104,12,3,45800,99.7,18.3,5,True,0,0,0,False,Lexington,MAPC
112,W04033,2E4,0.631,I  95 /ST128,US 20 EB/WESTON ST,NBI,DOT,42,22,11.43840027,71,16,11.28,14,2,27900,75.6,15.3,5,True,0,0,0,False,Waltham,MAPC
113,W10005,2E5,0.8593,RR    BMRR (ABANDONED),US 20 MAIN ST,NBI,DOT,42,22,12.09720039,71,11,38.7564,14,2,19700,17.1,18.7,6,True,0,0,0,False,Watertown,MAPC
114,W29011,2E6,0.6788,RR    MBTA/BMRR,US 20 EB,NBI,DOT,42,22,9.076800346,71,16,17.058,14,1,23000,42.7,11.1,6,True,0,0,0,False,Weston,MAPC
115,W29028,2E7,0.7262,RR    MBTA/BMRR,US 20 WB,NBI,DOT,42,22,11.44559956,71,16,18.7824,14,1,22500,12.2,11.7,6,True,0,0,0,False,Weston,MAPC
116,W38034,2E8,0.6797,I  93,ST125 BALLRDVLE ST,NBI,DOT,42,35,2.266799927,71,9,28.8216,14,2,27500,97.5,15.2,5,True,0,0,0,False,Wilmington,MAPC
117,N12004,2EB,0.3416,WATER CHARLES RIVER,ST  9 BOYLSTON ST,NBI,DOT,42,19,0.418799996,71,13,42.9312,19,6,132000,23.2,49.1,N,True,0,0,0,False,Newton,MAPC
118,N12052,2EC,0.3331,HWY   HAMMOND POND PKWY,ST  9 BOYLSTON ST,NBI,DOT,42,19,15.67920017,71,10,22.656,14,4,49500,39.6,17.7,N,True,0,0,0,False,Newton,MAPC
119,N12051,2ED,0.729,HWY   CENTRE ST,ST  9 BOYLSTON ST,NBI,DOT,42,19,8.515199661,71,12,24.9624,14,4,54000,29,18.9,5,True,0,0,0,False,Newton,MAPC
120,N12040,2EE,0.6525,TR    GREEN LINE D,ST  9 BOYLSTON ST,NBI,DOT,42,19,8.43239975,71,12,32.8644,14,4,86500,17.1,27.4,5,True,0,0,0,False,Newton,MAPC
121,N12049,2EF,0.5377,HWY   CHESTNUT ST,ST  9 BOYLSTON ST,NBI,DOT,42,19,1.235999942,71,13,35.0292,14,4,59000,17.7,17.7,N,True,0,0,0,False,Newton,MAPC
122,N12048,2EG,0.8703,HWY   QUINOBEQUIN RD,ST  9 BOYLSTON ST,NBI,DOT,42,19,0.80400002,71,13,39.2052,14,4,57000,18,17.7,N,True,0,0,0,False,Newton,MAPC
123,N12005,2EH,0.6647,WATER HEMLOCK GORGE,ST  9 BOYLSTON ST,NBI,DOT,42,19,0.681599975,71,13,40.3752,14,6,86200,7,56.6,N,True,0,0,0,False,Newton,MAPC
124,W13016,2EJ,0.9707,HWY   CLIFF RD,ST  9 WORCESTER ST,NBI,DOT,42,18,42.74639893,71,16,39.2556,14,4,53600,15.2,23.8,N,True,0,0,0,False,Wellesley,MAPC
125,W13013,2EK,0.6655,HWY   WESTON RD,ST  9 WORCESTER ST,NBI,DOT,42,18,19.28160095,71,18,48.1104,16,4,66700,15.2,28.9,N,True,0,0,0,False,Wellesley,MAPC
126,B29007,2EP,0.9573,HWY   MIDDLESEX TPK,I  95 NB/ST128 NB,NBI,DOT,42,28,40.42200089,71,12,56.4084,12,6,91000,49.2,29.9,5,True,0,0,0,False,Burlington,MAPC
127,B29007,2EQ,0.9638,HWY   MIDDLESEX TPK,I  95 SB/ST128 SB,NBI,DOT,42,28,41.09519958,71,12,56.6496,11,6,91000,49.2,29.9,5,True,0,0,0,False,Burlington,MAPC
128,B29009,2ER,0.5582,HWY   S BEDFORD ST,I  95 NB/ST128 NB,NBI,DOT,42,29,6.799200058,71,11,48.0372,11,4,178700,40.5,20.9,5,True,0,0,0,False,Burlington,MAPC
129,B29009,2ET,0.653,HWY   S BEDFORD ST,I  95 SB/ST128 SB,NBI,DOT,42,29,7.346399784,71,11,48.8148,11,4,178700,40.5,21.5,5,True,0,0,0,False,Burlington,MAPC
130,B29010,2EU,0.5927,ST  3 A/CAMBRIDGE ST,I  95 NB/ST128 NB,NBI,DOT,42,29,19.05360031,71,11,31.1352,11,4,172500,62.5,22.6,5,True,0,0,0,False,Burlington,MAPC
131,B29010,2EV,0.7178,ST  3 A/CAMBRIDGE ST,I  95 SB/ST128 SB,NBI,DOT,42,29,19.76639938,71,11,31.4808,12,4,172500,62.5,22.6,6,True,0,0,0,False,Burlington,MAPC
132,B29011,2EW,0.6703,HWY   WINN ST,I  95 NB/ST128 NB,NBI,DOT,42,29,44.73960114,71,10,43.2048,16,4,179200,18.3,24.7,N,True,0,0,0,False,Burlington,MAPC
