OBJECTID,AllBridges_2013April_BDEPT,AllBridges_2013April_BIN,AllBridges_2013April_FHWA_Record,AllBridges_2013April_Health_Index,AllBridges_2013April_Item___6A,AllBridges_2013April_Item___7,AllBridges_2013April_Item___8_Bridge_Cat,AllBridges_2013April_Item___8_Owner,AllBridges_2013April_Item__16A,AllBridges_2013April_Item__16B,AllBridges_2013April_Item__16C,AllBridges_2013April_Item__17A,AllBridges_2013April_Item__17B,AllBridges_2013April_Item__17C,AllBridges_2013April_Item__26,AllBridges_2013April_Item__28A,AllBridges_2013April_Item__29,AllBridges_2013April_Item__30,AllBridges_2013April_Item__32,AllBridges_2013April_Item__34,AllBridges_2013April_Item__49,AllBridges_2013April_Item__52,AllBridges_2013April_Item__58,AllBridges_2013April_Item_104,AllBridges_2013April_Posting_2_Axle,AllBridges_2013April_Posting_3_Axle,AllBridges_2013April_Posting_5_Axle,AllBridges_2013April_Struct_Def,AllBridges_2013April_Town_Name,AllBridges_2013April_RPA
11,A10011,AE2,True,1,COMB  MNUTMN BP & RED LN,ST  2,NBI,DOT,42,23,53.25,71,8,39.17,14,4,61800,2013,26.48,42,38.02,26.48,8,True,0,0,0,False,Arlington,MAPC
12,A10012,2DN,True,0.7389,ST  2,ST 60 PLEASANT ST,NBI,DOT,42,24,20.4372,71,9,51.2784,14,4,30400,2012,23.8,25,58.5,28.3,7,False,0,0,0,False,Arlington,MAPC
13,A10013,9WP,True,0.7252,WATER ALEWIFE BROOK,HWY   HENDERSON ST,NBI,DOT,42,24,12,71,8,12,19,1,500,2011,7.6,0,9.1,9.6,N,False,0,0,0,False,Arlington,MAPC
14,A10014,4D1,True,0.5027,WATER ALEWIFE BROOK,HWY   MYST VAL PKY,NBI,DOT,42,24,51.7716,71,7,58.5156,16,2,20800,2011,11,0,12.2,17,N,False,10,10,10,True,Arlington,MAPC
15,A10020,2LK,True,0.7604,ST  2,HWY   PARK AVE,NBI,DOT,42,24,38.8296,71,10,55.686,16,2,19500,2012,18.9,12,53.9,23.4,5,False,0,0,0,False,Arlington,MAPC
16,A10021,2DM,True,0.6578,HWY   LAKE ST,ST  2,NBI,DOT,42,24,8.7696,71,9,24.444,12,8,78000,2012,40.8,43,52.7,42.7,7,True,20,25,38,False,Arlington,MAPC
17,A10023,2DP,True,0.7211,HWY   DOW AVE,ST  2,NBI,DOT,42,24,54.4428,71,11,41.1324,12,8,67100,2012,40.8,0,26.2,42.7,6,True,0,0,0,False,Arlington,MAPC
18,A10025,2DQ,True,0.6469,WATER ALEWIFE BROOK,ST  2 EB RAMP,NBI,DOT,42,23,52.2024,71,8,35.088,14,2,7700,2013,6.7,0,16.5,12.2,5,True,0,0,0,False,Arlington,MAPC
19,A14001,28A,True,0.9434,WATER SUDBURY RIVER,ST135 UNION ST,NBI,DOT,42,15,34.5816,71,27,9.0972,14,2,22800,2011,12.2,21,28,14.6,5,False,0,0,0,False,Ashland,MAPC
20,A14003,241,True,0.7823,WATER SUDBURY RIVER,HWY   FRONT ST,NBI,MUN,42,15,36.3996,71,27,25.1244,17,2,7430,2011,7,0,12.5,9.8,6,False,0,0,0,False,Ashland,MAPC
21,A14004,25H,True,0.5041,WATER SUDBURY RIVER,HWY   CONCORD ST,NBI,MUN,42,15,43.1208,71,27,50.7564,19,2,1030,2009,7.9,11,9.4,12.8,N,False,18,22,34,False,Ashland,MAPC
22,A14005,242,True,0.9147,WATER SUDBURY RIVER,HWY   MYRTLE ST,NBI,MUN,42,15,48.8196,71,28,3.6876,17,2,12000,2011,7.6,0,8.8,9.3,6,False,0,0,0,False,Ashland,MAPC
23,A14006,243,True,0.6764,WATER SUDBURY RIVER,HWY   CORDAVLLE RD,NBI,MUN,42,15,44.3556,71,28,49.476,16,2,13000,2012,6.7,8,8.2,9.3,5,False,0,0,0,False,Ashland,MAPC
24,A14008,25K,True,0.9025,WATER SUDBURY RIVER,HWY   HOWE ST,NBI,MUN,42,15,56.8686,71,29,48.8358,19,2,1300,2012,10.4,29,32,13,7,False,0,0,0,False,Ashland,MAPC
25,A14011,AE1,True,1,RR    CSX,HWY   FOUNTAIN ST,634,DOT,42,15,39,71,27,12,19,2,5330,2011,8.5,20,39.6,10.7,7,False,0,0,0,False,Ashland,MAPC
26,A14013,29C,True,0.9952,RR    CSX,HWY   HOWE ST,634,DOT,42,15,53.9892,71,29,53.232,19,2,600,2012,10.7,24,27.7,13,6,False,0,0,0,False,Ashland,MAPC
27,A14020,4NY,True,0.8102,I  90,HWY   OAK ST,NBI,DOT,42,17,6.612,71,29,54.6936,16,2,3000,2011,7.3,21,63.4,10.5,7,True,0,0,0,False,Ashland,MAPC
28,A14022,AGP,True,0.9985,RR    CSX,HWY   HIGH ST,634,DOT,42,15,41.19,71,29,2.83,19,2,1750,2012,8.5,45,83.6,11.2,7,False,0,0,0,False,Ashland,MAPC
29,B04001,2K5,True,0.4054,WATER SHAWSHEEN RIVER,ST 4  GREAT RD,NBI,DOT,42,29,10.4388,71,15,43.9092,19,2,25600,2012,11,0,10.4,14.3,6,False,13,17,25,False,Bedford,MAPC
30,B04002,2K4,True,0.597,WATER CONCORD RIVER,ST225 BEDFORD RD,NBI,DOT,42,30,32.8572,71,18,53.6976,16,2,9828,2011,9.1,0,57.9,11.8,5,False,17,20,36,False,Bedford,MAPC
31,B04003,2B4,True,0.6226,WATER SHAWSHEEN RIVER,ST 62 BURLINGTN RD,NBI,MUN,42,29,52.2384,71,15,22.9212,16,2,15900,2012,9.1,20,10.7,11,6,False,0,0,0,False,Bedford,MAPC
32,B04006,2B5,True,0.3056,WATER SHAWSHEEN RIVER,HWY   MDDLSEX TPK,NBI,MUN,42,31,2.4996,71,14,42.5832,16,2,16700,2012,9.1,0,11.6,12.2,N,False,0,0,0,False,Bedford,MAPC
33,B04008,B3F,True,1,WATER SHAWSHEEN RIVER,HWY   PAGE RD,NBI,MUN,42,29,34.45,71,15,24.76,16,2,10900,2011,7.3,10,11.5,11.3792,8,False,0,0,0,False,Bedford,MAPC
34,B04010,2B7,True,0.3662,WATER ELM BROOK,HWY   SOUTH RD,NBI,MUN,42,29,5.0532,71,16,40.4472,16,2,4300,2012,9.4,0,6.7,15.7,N,False,20,25,36,False,Bedford,MAPC
35,B04011,AY9,True,1,ST 62 BURLINGTON RD,US  3 SB,NBI,DOT,42,30,7.0596,71,14,37.2012,12,4,60000,2011,23.43,23,40.25,24.51,7,True,0,0,0,False,Bedford,MAPC
36,B04011,AYA,True,1,ST 62 BURLINGTON RD,US  3 NB,NBI,DOT,42,30,7.0596,71,14,37.2012,12,4,60000,2011,23.98,23,40.25,25.06,7,True,0,0,0,False,Bedford,MAPC
37,B04012,734,True,1,WATER SHAWSHEEN RIVER,US  3 NB,NBI,DOT,42,30,32.57,71,15,2.97,12,3,60000,2011,22.8,43,30.4,23.9,7,True,0,0,0,False,Bedford,MAPC
38,B04012,737,True,1,WATER SHAWSHEEN RIVER,US  3 SB,NBI,DOT,42,30,32.56,71,15,2.95,12,3,60000,2011,22.816,43,30.4,23.896,7,True,0,0,0,False,Bedford,MAPC
39,A02001,28R,True,0.7318,WATER ASSABET RIVER,ST 62 PWDR MILL RD,NBI,DOT,42,26,26.592,71,25,48.4572,14,3,27800,2012,12.2,10,23.7,15,6,False,0,0,0,False,Acton,MAPC
40,A02004,29A,True,0.9983,RR    MBTA/BMRR,ST 27 MAIN ST,634,DOT,42,27,36.0972,71,27,19.1664,14,3,13600,2012,12.2,20,24.4,15.2,7,True,0,0,0,False,Acton,MAPC
41,A02006,28K,True,0.7649,WATER FORT POND BROOK,ST111 MASS AVE,NBI,DOT,42,28,33.459,71,28,4.2528,16,2,7700,2012,7.9,16,6.7,11,6,False,0,0,0,False,Acton,MAPC
42,A02007,23X,True,0.8986,WATER FORT POND BROOK,HWY   LAWSBROOK RD,NBI,MUN,42,27,49.5,71,25,22.8072,17,2,3300,2011,7.3,0,7.9,8.7,6,False,0,0,0,False,Acton,MAPC
43,A02008,255,True,0.6456,WATER FORT POND BROOK,HWY   RIVER ST,NBI,MUN,42,27,24.732,71,26,14.0172,19,2,2000,2011,5.8,30,15.8,7.6,N,False,0,0,0,False,Acton,MAPC
44,A02009,23Y,True,0.5222,WATER NASHOBA BROOK,HWY   BROOK ST,NBI,MUN,42,29,38.346,71,25,15.2508,17,2,8060,2011,7.9,0,7.9,10.9,N,False,0,0,0,False,Acton,MAPC
45,A02010,256,True,0.1805,WATER FORT POND BROOK,HWY   PARKER ST,NBI,MUN,42,27,28.8498,71,26,1.1682,17,2,1600,2012,7.3,30,6.2,7.9,5,False,0,0,0,True,Acton,MAPC
46,A02011,257,True,0.9905,WATER NASHOBA BROOK,HWY   WETHERBEE ST,NBI,MUN,42,28,30.054,71,24,41.3136,19,2,1040,2010,7.5,45,14.6,9.8,N,False,0,0,0,False,Acton,MAPC
47,A02012,286,True,0.9072,WATER FORT POND BROOK,ST 27 MAIN ST,NBI,DOT,42,27,33.3108,71,27,17.8776,14,3,12300,2012,10.4,0,6.7,15.2,N,True,0,0,0,False,Acton,MAPC
48,A02013,26K,True,0.9268,WATER NASHOBA BROOK,ST119 /ST2 A,NBI,DOT,42,29,56.7852,71,25,8.148,14,2,20000,2011,12.2,16,8.8,13.4,5,False,0,0,0,False,Acton,MAPC
49,A02018,240,True,1,WATER NASHOBA BROOK,HWY   CONCORD RD,NBI,MUN,42,28,40.7496,71,24,53.8554,16,2,7700,2013,7.3,6,6.1,10.8,N,False,0,0,0,False,Acton,MAPC
50,A02020,258,True,1,WATER FORT POND BROOK,HWY   RIVER ST,NBI,MUN,42,27,30.1212,71,26,27.006,19,2,500,2012,8.2,0,7.6,15.2,N,False,0,0,0,False,Acton,MAPC
51,A02021,259,True,1,WATER FORT POND BROOK,HWY   RIVER ST,NBI,MUN,42,27,33.5844,71,26,34.5768,19,2,600,2012,5.2,41,8.8,11,N,False,0,0,0,False,Acton,MAPC
52,A02022,25A,True,0.615,WATER FORT POND BROOK,HWY   STOW ST,NBI,MUN,42,27,29.5524,71,27,36.972,17,2,860,2011,7.3,20,9.1,8.3,6,False,0,0,0,False,Acton,MAPC
53,A02023,25B,True,0.6856,WATER FORT POND BROOK,HWY   MARTIN ST,NBI,MUN,42,27,31.698,71,27,45.0036,19,2,3300,2012,7.9,12,6.4,0,N,False,0,0,0,False,Acton,MAPC
54,A02029,28J,True,0.7669,ST  2 EB,ST111 NB/MASS AVE,NBI,DOT,42,28,26.58,71,26,44,16,2,35000,2012,10.7,42,14.3,13.7,6,False,0,0,0,False,Acton,MAPC
55,A02035,295,True,0.3942,ST  2,HWY   ARLINGTON ST,NBI,DOT,42,29,27.7368,71,27,37.5192,17,2,550,2011,10.4,6,34.1,13.3,7,False,0,0,0,False,Acton,MAPC
56,A02036,294,True,0.55,ST  2,HWY   HAYWARD RD,NBI,DOT,42,28,52.1004,71,27,4.8168,17,2,3000,2011,10.4,9,47.9,13.3,7,False,0,0,0,False,Acton,MAPC
57,A02037,287,True,0.6694,ST  2,ST 27 MAIN ST,NBI,DOT,42,28,40.5798,71,26,54.675,14,2,16600,2012,13.4,12,31.1,16.7,6,False,0,0,0,False,Acton,MAPC
58,B04013,761,True,0.9972,US  3,HWY   OLD BILLERIC,NBI,DOT,42,31,4.28,71,15,34.44,17,2,3000,2011,10.4,46,95.6,12.8,7,False,0,0,0,False,Bedford,MAPC
59,B04017,2B8,True,0.9198,WATER SHAWSHEEN RIVER,HWY   SUMMER ST,NBI,MUN,42,28,25.1652,71,15,51.8076,17,2,5100,2012,10.4,6,8.5,13.4,7,False,0,0,0,False,Bedford,MAPC
60,B06001,B22,True,1,WATER CHARLES RIVER,HWY   PEARL ST,NBI,MUN,42,7,51.459,71,26,39,19,2,4150,2012,8,6,20.5,10.7,8,False,0,0,0,False,Bellingham,MAPC
61,B06002,2A7,True,0.9927,WATER CHARLES RIVER,HWY   MAPLE ST,NBI,MUN,42,7,10.437,71,27,12.3654,16,2,8320,2012,6.7,0,12.2,11,7,False,0,0,0,False,Bellingham,MAPC
62,B06003,AVR,True,1,WATER CHARLES RIVER,HWY   HIGH ST,NBI,MUN,42,5,50.733,71,27,33.2352,17,2,260,2013,6,0,10.7,6.1,8,False,0,0,0,False,Bellingham,MAPC
63,B06005,2AH,True,0.8417,WATER CHARLES RIVER,ST126 N MAIN ST,NBI,DOT,42,5,39.4598,71,28,33.2904,14,2,18000,2013,13.4,0,9.4,18.1,7,False,0,0,0,False,Bellingham,MAPC
64,B06006,2A1,True,0.9753,WATER PETERS RIVER,HWY   WRENTHAM RD,NBI,MUN,42,1,32.052,71,29,11.3706,16,2,4000,2012,10.4,50,12.2,15.2,6,False,0,0,0,False,Bellingham,MAPC
65,B06007,1EV,True,0.5965,WATER PETERS RIVER,HWY   PAINE ST,NBI,MUN,42,1,26.7816,71,29,15.036,16,2,3400,2012,9.1,0,7.6,0,N,False,0,0,0,False,Bellingham,MAPC
66,B06008,2AX,True,0.9751,RR    MBTA/CSX,HWY   MAPLE ST,634,DOT,42,5,12.8076,71,27,6.2208,16,2,3300,2013,10.4,23,14.6,13,6,False,0,0,0,False,Bellingham,MAPC
67,B06009,2AV,True,0.8067,RR    MBTA/CSX,ST126 N MAIN ST,634,DOT,42,5,26.7216,71,28,36.6096,14,2,16000,2013,13.4,35,21.9,18.1,7,False,0,0,0,False,Bellingham,MAPC
68,B06011,2AW,True,0.7655,RR    CSX (ABANDONED),ST126 S MAIN ST,634,DOT,42,2,2.6334,71,29,35.5482,14,2,20000,2012,14,21,33.8,18.7,5,False,17,23,27,True,Bellingham,MAPC
69,B06019,2AT,True,0.9981,I 495 NB,HWY   FARM ST,NBI,DOT,42,7,36.1992,71,28,27.7968,19,2,900,2011,11,40,42.4,13.7,6,True,0,0,0,False,Bellingham,MAPC
70,B06019,2AU,True,1,I 495 SB,HWY   FARM ST,NBI,DOT,42,7,35.3496,71,28,28.29,19,2,900,2011,11,39,41.5,13.7,7,True,0,0,0,False,Bellingham,MAPC
71,B06020,2AF,True,0.9972,I 495 NB,ST126 HARTFORD AVE,NBI,DOT,42,6,50.2236,71,27,59.3604,14,4,16200,2012,13.4,29,36.6,15.9,7,True,0,0,0,False,Bellingham,MAPC
72,B06020,2AG,True,1,I 495 SB,ST126 HARTFORD AVE,NBI,DOT,42,6,50.1624,71,28,0.3756,14,4,16200,2012,13.4,29,36.9,16.2,7,True,0,0,0,False,Bellingham,MAPC
73,B06021,2AL,True,0.9961,WATER CHARLES RIVER,I 495,NBI,DOT,42,6,26.9562,71,27,29.6742,11,6,80000,2012,15.2,40,10.1,0,N,True,0,0,0,False,Bellingham,MAPC
74,B06022,2AR,True,0.5326,I 495,HWY   MAPLE ST,NBI,DOT,42,6,13.4886,71,26,55.2222,16,2,1170,2013,11,12,68.3,13.8,7,True,0,0,0,True,Bellingham,MAPC
75,B06023,2A8,True,0.9984,WATER CHARLES RIVER,HWY   PLYMOUTH RD,NBI,MUN,42,7,22.2168,71,26,51.6762,19,2,900,2012,8.8,0,12.5,10.3,7,False,0,0,0,False,Bellingham,MAPC
76,B06024,7K4,True,0.9972,WATER CHARLES RIVER,HWY   DEPOT ST,NBI,MUN,42,5,38.4504,71,28,55.6176,17,2,1300,2013,9.1,35,16.5,11.8,6,False,0,0,0,False,Bellingham,MAPC
77,B07004,2MP,True,0.648,RR    MBTA/BMRR,HWY   TRAPELO RD,634,DOT,42,23,15.5652,71,11,27.1824,14,4,17400,2012,17.1,50,21,23.2,5,False,0,0,0,False,Belmont,MAPC
78,B07006,2MN,True,0.6467,RR    MBTA/BMRR,HWY   LEXINGTON ST,634,DOT,42,23,14.766,71,11,30.3072,17,4,11140,2012,17.1,10,17.4,23.5,6,False,0,0,0,False,Belmont,MAPC
79,B11001,306,True,0.3765,WATER BASS RIVER,HWY   BRIDGE ST,NBI,DOT,42,32,57.9984,70,53,17.8908,16,2,16200,2010,9.4,0,82,16.5,5,False,8,13,19,True,Beverly,MAPC
80,B11002,324,True,0.8333,RR    MBTA,HWY   SCHOOL ST,634,DOT,42,32,35.4444,70,53,13.0164,17,2,3000,2012,10.4,0,19.5,12.2,5,False,12,20,32,False,Beverly,MAPC
81,B11004,2TN,True,0.9534,WATER DANVERS RIVER,ST  1 A/CABOT ST,NBI,DOT,42,32,20.8356,70,53,15.3924,14,4,32000,2011,12.8,0,680.6,27,7,True,0,0,0,False,Beverly,MAPC
82,B11005,307,True,0.4577,WATER DANVERS RIVER,HWY   KERNWOOD AVE,NBI,DOT,42,32,34.4724,70,53,56.0832,16,2,7700,2012,9.1,0,56.7,11.9,4,False,11,16,22,True,Beverly,MAPC
83,B11005,308,True,0.8928,WATER DANVERS RIVER,HWY   KERNWOOD AVE,NBI,DOT,42,32,34.4724,70,53,56.0832,16,2,7700,2012,9.1,0,230.1,12,6,False,11,16,22,True,Beverly,MAPC
84,B11009,2TW,True,0.9978,ST 97 CABOT ST,ST128,NBI,DOT,42,34,26.3856,70,53,45.3912,12,5,45860,2011,13.4,11,18.9,26.3,N,True,0,0,0,False,Beverly,MAPC
85,B11010,2TX,True,0.9905,ST  1 A/DODGE ST,ST128,NBI,DOT,42,34,28.0416,70,53,33.468,12,5,45860,2011,28,30,25.3,26.8,N,True,0,0,0,False,Beverly,MAPC
86,B11011,2TY,True,0.906,COMB  MBTA & TOZER RD,ST128,NBI,DOT,42,34,30.8532,70,53,6.5508,12,6,45860,2011,26.5,6,36.3,31.1,5,True,0,0,0,False,Beverly,MAPC
87,B11012,31X,True,0.9859,ST128,HWY   BRIMBAL AVE,NBI,DOT,42,34,29.7372,70,52,46.0056,16,2,14400,2010,9.1,40,41.5,14.4,6,False,0,0,0,False,Beverly,MAPC
88,B11013,309,True,0.5348,ST128,ST 22 ESSEX ST,NBI,DOT,42,34,22.5336,70,51,22.4208,16,3,8900,2011,12.2,24,58.5,15.6,6,False,0,0,0,False,Beverly,MAPC
89,B11014,30A,True,0.8094,ST128,HWY   STANDLEY ST,NBI,DOT,42,34,21.0576,70,50,49.4448,17,2,2000,2011,9.1,4,57.9,12.3,N,False,0,0,0,False,Beverly,MAPC
90,B15001,206,True,0.9123,WATER STILL RIVER,ST117  MAIN ST,NBI,DOT,42,27,21.0096,71,38,45.8592,6,2,11700,2011,9.1,0,30.5,10.4,7,False,0,0,0,False,Bolton,MAPC
91,B15002,1V4,True,0.8864,ST117 MAIN ST,I 495 NB,NBI,DOT,42,25,50.8074,71,35,32.9748,11,4,98000,2013,15.8,13,36.6,17.7,6,True,0,0,0,False,Bolton,MAPC
92,B15002,1V5,True,0.9619,ST117 MAIN ST,I 495 SB,NBI,DOT,42,25,51.1896,71,35,35.2068,1,4,98000,2013,15.8,13,36.6,17.7,6,True,0,0,0,False,Bolton,MAPC
93,B15003,21A,True,0.8112,I 495,HWY   SUGAR RD,NBI,DOT,42,27,1.2306,71,34,54.2058,19,2,400,2012,9.8,0,95.7,12.5,5,True,0,0,0,False,Bolton,MAPC
94,B15004,1V2,True,0.954,HWY   S BOLTON RD,I 495 NB,NBI,DOT,42,24,56.5122,71,36,18.4716,1,3,47000,2013,15.2,19,36.6,17.4,6,True,0,0,0,False,Bolton,MAPC
95,B15004,1V3,True,0.9408,HWY   S BOLTON RD,I 495 SB,NBI,DOT,42,24,58.9896,71,36,20.649,1,3,51800,2013,15.2,38,45.1,17.4,5,True,0,0,0,False,Bolton,MAPC
96,B16003,381,True,0.943,WATER NEPONSET RIVER,HWY   ADAMS ST,NBI,MUN,42,16,15.0924,71,4,6.6324,14,2,23000,2012,13.1,22,36.3,18.2,7,True,0,0,0,False,Boston,MAPC
97,B16004,382,True,0.6094,WATER BELLE ISLE INLET,ST145 SARATOGA ST,NBI,MUN,42,22,57.8064,70,59,42.486,16,2,15300,2010,13.4,0,61,18.4,5,False,16,17,20,False,Boston,MAPC
98,B16006,4F3,True,0.5482,WATER CHARLES RIVER,HWY   CAMBRIDGE ST,NBI,DOT,42,21,40.0536,71,7,2.4888,14,4,32100,2011,12.2,21,64,18.7,N,False,0,0,0,True,Boston,MAPC
99,B16007,4EG,True,0.6814,COMB  SOL FLD RD & RIV,ST  2 BROOKLINE ST,NBI,DOT,42,21,8.6328,71,6,40.122,14,4,41000,2005,12.2,0,220.7,19.2,6,True,0,0,0,False,Boston,MAPC
100,B16009,4F0,True,0.513,COMB  ST3 & CHARLES RIV,ST  3 CAMBRIDGE ST,NBI,DOT,42,21,40.4892,71,4,21.7488,14,6,22600,2010,17.1,0,650.7,32.5,4,True,20,25,40,True,Boston,MAPC
101,B16010,4EP,True,0.496,WATER CHARLES RIVER,HWY   WESTERN AVE,NBI,DOT,42,21,51.0516,71,7,3.2628,14,3,30000,2011,12.2,0,85.3,18.3,N,False,0,0,0,False,Boston,MAPC
102,B16011,4F2,True,0.5179,WATER CHARLES RIVER,HWY   N HARVARD ST,NBI,DOT,42,22,7.8888,71,7,25.5864,14,4,29000,2005,12.2,0,70.7,19.3,N,True,0,0,0,True,Boston,MAPC
103,B16012,4EY,True,0.9699,COMB  STRW DR & CHAS RIV,ST  2 A/MASS AVE,NBI,DOT,42,21,14.6052,71,5,29.832,14,4,49000,2005,15.8,0,659.9,22.6,7,True,0,0,0,False,Boston,MAPC
104,B16013,4EM,True,0.9953,WATER CHARLES RIVER,ST 28 CHAS R DM RD,NBI,DOT,42,22,3.9828,71,4,16.4388,14,5,44000,2010,18.4,0,27.7,25.7,8,True,0,0,0,False,Boston,MAPC
105,B16013,4ET,True,0.7667,WATER CHARLES RIVER,ST 28 CHAS R DM RD,NBI,DOT,42,21,41.3316,71,4,33.708,14,6,52000,2012,20.1,0,35.4,26.2,6,True,0,0,0,True,Boston,MAPC
106,B16014,4F8,True,0.6764,WATER CHARLES RIVER,US 20 N BEACON ST,NBI,DOT,42,21,31.7448,71,9,43.002,14,4,30500,2011,16.8,20,62.5,24.1,N,False,0,0,0,False,Boston,MAPC
107,B16015,4EF,True,0.7151,WATER CHARLES RIVER,HWY   ARSENAL ST,NBI,DOT,42,21,41.5908,71,8,51.216,16,4,40000,2011,15.8,40,61.9,19.5,N,False,0,0,0,False,Boston,MAPC
108,B16016,37H,True,0.4274,WATER CHARLES RIVER,HWY   N WSHNGTN ST,NBI,MUN,42,22,10.8012,71,3,39.6828,14,6,32100,2012,24.4,0,129.2,30.8,6,True,0,0,0,True,Boston,MAPC
109,B16016,37K,True,0.5328,WATER CHARLES RIVER,HWY   N WSHNGTN ST,NBI,MUN,42,22,8.5512,71,3,37.9008,14,6,32100,2012,24.4,0,73.5,30.8,6,True,0,0,0,True,Boston,MAPC
110,B16016,37M,True,0.4031,WATER CHARLES RIVER,HWY   N WSHNGTN ST,NBI,MUN,42,22,6.0636,71,3,35.928,14,6,32100,2012,24.4,0,129.2,30.8,6,True,0,0,0,True,Boston,MAPC
111,B16016,37P,True,0.9939,OTHER WAREHOUSE,HWY   N WSHNGTN ST,NBI,MUN,42,22,4.0368,71,3,34.3224,14,6,66200,2012,24.4,10,82.9,31.2,7,True,0,0,0,False,Boston,MAPC
112,B16016,37R,True,0.9843,HWY   WATER ST,HWY   N WSHNGTN ST,NBI,MUN,42,22,13.728,71,3,42.4512,14,6,64400,2012,32.3,15,18.3,42.1,7,True,0,0,0,False,Boston,MAPC
113,B16017,4WU,True,0.99,US  1 NB/BOS LOWR B11-32,US  1 SB/BS U11-32,NBI,DOT,42,22,29.9388,71,3,26.5284,12,3,45400,2011,11,0,627.9,12.7,7,True,0,0,0,False,Boston,MAPC
114,B16017,4WV,True,0.9712,HWY   C'TOWN LOCAL STS,US  1 NB/BOST LOWR,NBI,DOT,42,22,38.9568,71,3,17.0316,12,3,63100,2011,11,0,576.7,12.7,7,True,0,0,0,False,Boston,MAPC
115,B16017,4WW,True,0.9466,HWY   WATER ST/L MYSTIC,US  1 NB/L MYSTC L,NBI,DOT,42,22,48.5724,71,3,7.56,12,3,63100,2011,11,0,133.8,12.7,6,True,0,0,0,False,Boston,MAPC
116,B16017,4WX,True,0.9538,US  1 NB/LIT MYSTIC LOWR,US  1 SB/L MYSTC U,NBI,DOT,42,22,48.5724,71,3,7.56,12,3,45400,2011,11,0,133.8,12.7,7,True,0,0,0,False,Boston,MAPC
117,B16017,4WY,True,0.9098,HWY   CHELSEA LOCAL STS,US  1 NB/CHLSEA LW,NBI,DOT,42,23,15.936,71,2,42.7668,12,3,63100,2011,11,0,862.3,12.7,5,True,0,0,0,False,Boston,MAPC
