OBJECTID,BDEPT,BIN,AllBridges_2015April_FHWA_Record,AllBridges_2015April_Health_Index,Item___6A,Item___7,Item___8_Bridge_Cat,Item___8_Owner,AllBridges_2015April_Item__16A,AllBridges_2015April_Item__16B,AllBridges_2015April_Item__16C,AllBridges_2015April_Item__17A,AllBridges_2015April_Item__17B,AllBridges_2015April_Item__17C,AllBridges_2015April_Item__26,AllBridges_2015April_Item__28A,AllBridges_2015April_Item__29,AllBridges_2015April_Item__30,AllBridges_2015April_Item__32,AllBridges_2015April_Item__34,AllBridges_2015April_Item__49,AllBridges_2015April_Item__52,AllBridges_2015April_Item__58,AllBridges_2015April_Item_104,AllBridges_2015April_Posting_2_Axle,AllBridges_2015April_Posting_3_Axle,AllBridges_2015April_Posting_5_Axle,AllBridges_2015April_Struct_Def,AllBridges_2015April_Town_Name,AllBridges_2015April_RPA
32,M11013,2AN,True,0.8322,RR    BCRR,ST 27 N MEADOWS RD,NBI,DOT,42,11,41.2764,71,19,42.4662,14,2,8068,2013,13.4,5,20.1,17.3,7,True,0,0,0,False,Medfield,MAPC
33,M11012,2AP,True,0.9534,WATER CHARLES RIVER,ST 27 N MEADOWS RD,NBI,DOT,42,12,35.8418,71,21,6.1884,14,2,8068,2013,12.2,0,21.9,14.9,7,True,0,0,0,False,Medfield,MAPC
34,F08022,2AQ,True,0.999,I 495,HWY   WASHNGTON ST,NBI,DOT,42,4,13.8828,71,24,33.7824,16,2,1300,2013,12.2,7,73.8,16.7,7,False,0,0,0,False,Franklin,MAPC
35,B06022,2AR,True,0.5004,I 495,HWY   MAPLE ST,NBI,DOT,42,6,13.4891,71,26,55.0283,16,2,4200,2002,11,12,68.3,13.8,7,False,0,0,0,True,Bellingham,MAPC
36,B06019,2AT,True,0.9981,I 495 NB,HWY   FARM ST,NBI,DOT,42,7,38.5068,71,28,25.6116,19,2,900,2013,11,40,42.4,13.7,6,False,0,0,0,False,Bellingham,MAPC
37,B06019,2AU,True,1,I 495 SB,HWY   FARM ST,NBI,DOT,42,7,36.0623,71,28,27.1488,19,2,900,2013,11,39,41.5,13.7,7,False,0,0,0,False,Bellingham,MAPC
38,B06009,2AV,True,0.7676,RR    MBTA/CSX,ST126 N MAIN ST,634,DOT,42,5,27.5027,71,28,35.3639,14,2,16000,2015,13.4,35,21.9,18.1,7,True,0,0,0,False,Bellingham,MAPC
39,B06011,2AW,True,0.7329,RR    CSX (ABANDONED),ST126 S MAIN ST,634,DOT,42,2,2.6334,71,29,35.5482,14,2,20000,2013,14,21,33.8,18.7,5,True,17,23,27,True,Bellingham,MAPC
40,B06008,2AX,True,0.9712,RR    MBTA/CSX,HWY   MAPLE ST,634,DOT,42,5,12.7499,71,27,6.1883,16,2,3300,2013,10.4,23,14.6,13,6,False,0,0,0,False,Bellingham,MAPC
41,F08006,2AY,True,0.9462,RR    MBTA/CSX,HWY   CHESTNUT ST,634,DOT,42,5,53.8326,71,22,23.2284,16,2,4000,2013,12.2,57,24.7,14.7,8,False,0,0,0,False,Franklin,MAPC
42,F08007,2B0,True,0.936,RR    MBTA/CSX,ST140 E CENTRAL ST,634,DOT,42,4,57.2736,71,23,49.4916,14,2,31200,2012,14,36,8.5,35.7,6,True,0,0,0,False,Franklin,MAPC
43,M11007,2B2,True,0.9016,RR    CSX,HWY   CURVE ST,634,DOT,42,10,47.4708,71,18,1.7316,19,2,1300,2014,6.1,18,11.6,8.1,7,False,0,0,0,False,Medfield,MAPC
44,M11019,AAA,True,1,WATER STOP RIVER,HWY   SOUTH ST,NBI,MUN,42,9,2.7216,71,18,16.8084,16,2,3500,2014,9.1,0,6.4,13,N,False,0,0,0,False,Medfield,MAPC
45,B04012,734,True,1,WATER SHAWSHEEN RIVER,US  3 NB,NBI,DOT,42,30,33,71,15,0.5,12,3,60000,2011,22.8,43,30.4,23.9,7,True,0,0,0,False,Bedford,MAPC
46,B04012,737,True,1,WATER SHAWSHEEN RIVER,US  3 SB,NBI,DOT,42,32,52.25,71,17,15.5,12,3,60000,2011,22.816,43,30.4,23.896,7,True,0,0,0,False,Bedford,MAPC
47,B16592,57T,True,0.777777778,COMB  SR 14 & BLUE L,ST  1 A/RP 1ANB,NBI,MPA,42,22,25.8132,71,1,49.9763,17,1,0,0,8.5,0,144,8.5,7,False,0,0,0,False,Boston,MAPC
48,B16590,57U,True,0.777777778,COMB  ST 1A NB & BLUE L,ST  1 A/RP E-1ASB,NBI,MPA,42,22,26.4071,71,1,51.5604,17,1,0,0,11.8,99,101.8,13,7,False,0,0,0,False,Boston,MAPC
49,B16590,57V,True,0.777777778,I  90 WB & SR-14,ST  1 A/RP E-1ASB,NBI,MPA,42,22,25.3488,71,1,47.5427,14,2,0,0,8.5,0,98.2,9.8,7,True,0,0,0,False,Boston,MAPC
50,B16590,580,True,0.777777778,ST  1 A/& RP E-1ANB,ST  1 A/RP E-1AS,NBI,MPA,42,22,22.854,71,1,44.3928,11,2,0,0,8.5,0,141.6,9.8,7,False,0,0,0,False,Boston,MAPC
51,B16589,583,True,0.8598,OTHER RELIEF,ST  1 A/SB,NBI,DOT,42,22,27.9335,71,1,51.6575,14,1,7660,2014,6.7,0,141.7,7.9,7,True,0,0,0,False,Boston,MAPC
52,B16589,584,True,1,OTHER RELIEF,ST  1 A/SB,NBI,DOT,42,22,31.476,71,1,48.0251,14,1,7660,2014,6.7,0,141.7,7.9,7,True,0,0,0,False,Boston,MAPC
53,B16588,585,True,0.9974,OTHER RELIEF,I  90 WB & RP1ASB,NBI,DOT,42,22,33.6324,71,1,44.994,11,3,12000,2013,16.4,0,45.6,17.7,7,True,0,0,0,False,Boston,MAPC
54,B16588,586,True,0.8398,ST  1 A/NB & RP1ANB,I  90 WB,NBI,DOT,42,22,31.5552,71,1,46.3655,11,3,12000,2013,18.6,0,94.2,18.6,7,True,0,0,0,False,Boston,MAPC
55,B16588,587,True,0.777777778,COMB  SR-14 & BLUE LINE,I  90 WB & RP1ASB,NBI,MPA,42,22,27.9479,71,1,47.37,11,3,0,0,0,0,139.8,16.2,7,False,0,0,0,False,Boston,MAPC
56,B16586,588,True,0.777777778,COMB  ST 1A NB & BLUE L,I  90 EB & RP1ANB,NBI,MPA,42,22,32.6748,71,1,44.7815,11,2,0,0,0,0,133.2,15.2,7,False,0,0,0,False,Boston,MAPC
57,B16586,58K,True,0.777777778,HWY   SR-14,I  90 EB & RP1ANB,NBI,MPA,42,22,27.048,71,1,46.2108,17,3,0,0,14,0,135,15.2,7,False,0,0,0,False,Boston,MAPC
58,B16585,58N,True,0.777777778,I  90 EB,ST  1 A/& RP E-1AN,NBI,MPA,42,22,13.3355,71,1,35.0472,17,3,0,0,17,0,159.4,17,7,True,0,0,0,False,Boston,MAPC
59,R01012,597,True,1,ST 24,HWY   MDC ACCSS RD,NBI,DOT,42,11,35.1131,71,4,39.9252,19,2,1,2013,6,0,76.5,9.1,8,False,0,0,0,False,Randolph,MAPC
60,B16235,5JK,True,1,OTHER RELIEF,ST  1 A/SB,NBI,DOT,42,22,26.2884,71,1,53.7995,14,2,49100,2014,12.6,0,10.9,13.9,8,True,0,0,0,False,Boston,MAPC
61,B16596,5VR,True,0.9951,COMB  HAUL RD & CSX,HWY   D ST,NBI,DOT,42,20,48.6852,71,2,29.1803,17,4,23100,2014,31.7,8,45.2,31.7,7,True,0,0,0,False,Boston,MAPC
62,B16595,5VT,True,0.967,OTHER RELIEF,HWY   RAMP DB,NBI,DOT,42,20,49.0668,71,2,28.968,17,1,9200,2014,0,4,34.973,9.525,7,False,0,0,0,False,Boston,MAPC
63,B16583,5VU,True,0.978,HWY   W SERVICE RD EXT,HWY   SUMMER ST,NBI,DOT,42,20,56.7348,71,2,51.2915,14,4,19320,2015,21.9,0,69,30.5,7,True,0,0,0,False,Boston,MAPC
64,N04029,5W4,True,1,I  95 /ST 128 NB & SB,HWY   GRT PLN AVE,NBI,DOT,42,16,10.47,71,12,1.58,2,2,24000,2014,12.2,0,64.9,15.1,8,True,0,0,0,False,Needham,MAPC
65,B16620,630,True,0.9993,OTHER RELIEF,I  93 RAMP N-S,NBI,DOT,42,21,58.6979,71,3,52.7615,11,2,54300,2014,11.3,99,58.5,12.6,7,True,0,0,0,False,Boston,MAPC
66,B16606,633,True,0.9904,COMB  MGH PKNG & MBTA,I  93 RAMP N-S,NBI,DOT,42,22,2.8344,71,3,47.1996,11,2,45981,1997,13.4,99,180.7,14.6,7,True,0,0,0,False,Boston,MAPC
67,B16606,634,True,1,COMB  NASHUA ST&MGH PKNG,I  93 RAMP N-S,NBI,DOT,42,21,59.2127,71,3,49.7879,11,2,54300,2012,10.9,99,70.3,13.4,7,True,0,0,0,False,Boston,MAPC
68,B16619,68U,True,0.968,OTHER RELIEF,I  93 RAMP S-N,NBI,DOT,42,21,57.7835,71,3,53.1071,11,1,20000,2011,0,99,62.2,10.1,7,True,0,0,0,False,Boston,MAPC
69,B16691,68V,True,1,HWY   NASHUA ST,I  93 RAMP LC-N,NBI,DOT,42,21,57.4415,71,3,51.678,11,1,9830,2012,6.7,0,135.5,7.9,7,True,0,0,0,False,Boston,MAPC
70,W04025,6G1,True,1,I  95 /ST128,HWY   WINTER ST,NBI,DOT,42,23,50.4312,71,15,40.6763,17,7,39100,2014,26.6,7,83.7,30.7,8,True,0,0,0,False,Waltham,MAPC
71,W11001,6G2,True,1,WATER SUDBURY RIVER,US 20 BOSTN PST RD,NBI,DOT,42,21,47.79,71,22,28.689,14,2,15800,2007,11,0,34.2,12,7,True,0,0,0,False,Wayland,MAPC
72,B16620,6JL,True,0.9967,I  93 RAMP LC-S TUNNEL,I  93 RAMP N-S,NBI,DOT,42,21,58.9823,71,3,54.7307,11,3,54300,2012,11.3,23,29.6,12.2,7,True,0,0,0,False,Boston,MAPC
73,B16607,6JN,True,1,RR    MBTA,I  93 RAMP S-N,NBI,DOT,42,22,2.2512,71,3,46.4832,11,2,61800,2010,9.7,99,203,11,7,True,0,0,0,False,Boston,MAPC
74,B16607,6JT,True,0.9872,HWY   NASHUA ST,I  93 NB RAMP S-N,NBI,DOT,42,21,58.6404,71,3,49.3631,11,3,28249,2010,0,99,81.2,13.5,7,True,0,0,0,False,Boston,MAPC
75,B16691,6K2,True,0.9999,I  93 RAMP S-N BOAT,I  93 RAMP LC-N,NBI,DOT,42,21,58.6116,71,3,57.7836,11,1,8756,2013,7.9,0,120.7,9.1,7,True,0,0,0,False,Boston,MAPC
76,M21015,1EF,True,0.824,WATER LOUISA LAKE OTLT,HWY   DILLA ST,NBI,MUN,42,9,20.9052,71,31,14.2535,16,2,20000,2014,9.8,0,7.9,14.3,5,False,0,0,0,False,Milford,MAPC
77,B06007,1EV,True,0.5965,WATER PETERS RIVER,HWY   PAINE ST,NBI,MUN,42,1,26.9364,71,29,15.1475,16,2,3400,2012,9.1,0,7.6,0,N,False,0,0,0,False,Bellingham,MAPC
78,M21005,1JP,True,0.7309,WATER MILL RIVER,HWY   FISK MILL RD,NBI,MUN,42,9,56.181,71,33,51.6456,17,2,5200,2013,6.1,20,7.3,7.3,5,False,18,25,40,False,Milford,MAPC
79,S29006,7Q8,True,0.716,WATER ELIZABETH BROOK,HWY   WHEELER RD,NBI,MUN,42,25,47.64,71,30,54.5903,8,2,800,2013,6.4,0,6.1,9.3,N,False,8,13,19,False,Stow,MAPC
80,M06006,1K9,True,0.98,WATER MILLHAM BROOK,HWY   MILLHAM ST,NBI,MUN,42,20,25.8323,71,36,23.9723,17,2,650,2013,7.6,45,9.1,0,N,False,0,0,0,False,Marlborough,MAPC
81,M06009,1L4,True,0.6214,I 495,US 20 EB/BSTN PST,NBI,DOT,42,20,27.996,71,34,31.008,14,2,36400,2014,11,0,86.9,15,5,True,0,0,0,False,Marlborough,MAPC
82,M06009,1L5,True,0.6455,I 495,US 20 WB/BSTN PST,NBI,DOT,42,20,28.4208,71,34,30.99,14,2,36400,2014,11,0,86.9,15,5,True,0,0,0,False,Marlborough,MAPC
83,F07068,A4K,True,0.8559,ST  9 EB,ST  9 RAMP E,NBI,DOT,42,17,49.7076,71,29,10.9283,19,1,2700,2014,7.9,99,101.2,9,7,False,0,0,0,False,Framingham,MAPC
84,M06014,1TU,True,0.9741,WATER ASSABET RIVER,I 290,NBI,DOT,42,21,8.9927,71,36,50.2703,11,6,72627,2013,58.8,0,9.1,0,N,True,0,0,0,False,Marlborough,MAPC
85,M06015,1TV,True,0.7862,HWY   BIGELOW ST,I 290 EB,NBI,DOT,42,21,39.6216,71,35,48.5267,11,3,37329,2013,15.5,0,23.5,17.1,6,True,0,0,0,False,Marlborough,MAPC
86,M06015,1TW,True,0.7845,HWY   BIGELOW ST,I 290 WB,NBI,DOT,42,21,40.8342,71,35,49.383,11,3,35967,2013,15.5,0,23.5,17.1,7,True,0,0,0,False,Marlborough,MAPC
87,M06016,1TX,True,0.9758,I 495,I 290 EB,NBI,DOT,42,21,45.8495,71,35,24.1331,12,2,40000,2013,16.5,17,82.9,17.8,6,True,0,0,0,False,Marlborough,MAPC
88,M06016,1TY,True,0.9936,I 495,I 290 WB,NBI,DOT,42,21,47.0771,71,35,25.4148,12,2,72000,2013,16.5,17,82.9,17.8,6,True,0,0,0,False,Marlborough,MAPC
89,S20017,1U7,True,0.989,ST 30 MAIN ST,I 495 NB,NBI,DOT,42,18,25.833,71,33,55.3104,11,3,50000,2013,15.2,0,36,17.1,7,True,0,0,0,False,Southborough,MAPC
90,S20017,1U8,True,0.9884,ST 30 MAIN ST,I 495 SB,NBI,DOT,42,18,25.6248,71,33,57.2646,11,3,50000,2013,15.2,0,34.7,17.1,7,True,0,0,0,False,Southborough,MAPC
91,S20018,1U9,True,0.9986,COMB  MDC AQUEDUCT & CSX,I 495 NB,NBI,DOT,42,18,48.6324,71,34,3.8495,11,3,34758,2014,15.2,0,97.5,17.1,5,True,0,0,0,False,Southborough,MAPC
92,S20018,1UA,True,0.9937,COMB  MDC AQUEDUCT & CSX,I 495 SB,NBI,DOT,42,18,48.2327,71,34,5.7036,11,3,37000,2014,15.2,0,102.1,17.1,5,True,0,0,0,False,Southborough,MAPC
93,S20019,1UB,True,0.9574,HWY   NORTHBORO RD,I 495 NB,NBI,DOT,42,18,54.216,71,34,6.2214,11,3,50000,2013,15.2,0,35.4,17.1,6,True,0,0,0,False,Southborough,MAPC
94,S20019,1UC,True,0.9571,HWY   NORTHBORO RD,I 495 SB,NBI,DOT,42,18,53.8086,71,34,8.0214,11,3,50000,2013,15.2,0,33.5,16.2,6,True,0,0,0,False,Southborough,MAPC
95,M21022,1UD,True,0.765,ST109 MEDWAY RD,I 495 NB,NBI,DOT,42,8,51.0504,71,29,3.2604,11,3,32000,2009,15.5,66,43,17.1,6,True,0,0,0,False,Milford,MAPC
96,M21022,1UE,True,0.9222,ST109 MEDWAY RD,I 495 SB,NBI,DOT,42,8,51.1542,71,29,5.0274,11,3,40200,2014,15.5,66,43,17.1,6,True,0,0,0,False,Milford,MAPC
97,M21017,1UF,True,0.7994,OTHER BIKE TRAIL,I 495 SB,NBI,DOT,42,9,9.8856,71,29,12.8291,11,3,38700,2013,15.5,99,23.8,17.1,7,True,0,0,0,False,Milford,MAPC
98,M21017,1UG,True,0.7993,OTHER BIKE TRAIL,I 495 NB,NBI,DOT,42,9,10.854,71,29,10.7838,11,3,38700,2013,15.5,99,23.8,17.1,6,True,0,0,0,False,Milford,MAPC
99,M21021,1UH,True,0.7005,ST 16 E MAIN ST,I 495 SB,NBI,DOT,42,9,16.6139,71,29,17.4155,11,3,35000,2014,15.8,14,29.3,17.4,6,True,0,0,0,False,Milford,MAPC
100,M21021,1UJ,True,0.5981,ST 16 E MAIN ST,I 495 NB,NBI,DOT,42,9,18.2478,71,29,15.543,11,3,56000,2014,15.8,19,29.3,17.4,7,True,0,0,0,False,Milford,MAPC
101,M21020,1UK,True,0.786,ST 85 CEDAR ST,I 495 NB,NBI,DOT,42,10,0.01482,71,30,31.5828,11,3,65000,2013,15.2,99,33.5,17.4,6,True,0,0,0,False,Milford,MAPC
102,M21020,1UL,True,0.7547,ST 85 CEDAR ST,I 495 SB,NBI,DOT,42,9,58.3308,71,30,31.4778,11,3,65000,2013,15.2,99,32.9,17.4,5,True,0,0,0,False,Milford,MAPC
103,M21018,1UM,True,0.7837,HWY   HAVEN ST,I 495 NB,NBI,DOT,42,10,53.49,71,31,40.0043,11,3,40000,2014,15.2,17,26.2,17.1,5,True,0,0,0,False,Milford,MAPC
104,M21018,1UN,True,0.7738,HWY   HAVEN ST,I 495 SB,NBI,DOT,42,10,49.8462,71,31,43.0572,11,3,40000,2014,15.2,11,27.1,17.1,5,True,0,0,0,False,Milford,MAPC
105,H23008,1UP,True,0.6214,I  90,I 495 SB,NBI,DOT,42,15,59.9868,71,33,52.3979,11,3,46000,2006,15.8,21,65.5,17.7,6,True,0,0,0,False,Hopkinton,MAPC
106,H23011,1UQ,True,0.7858,HWY   W MAIN ST,I 495 NB,NBI,DOT,42,12,51.9372,71,32,44.7684,11,4,49454,2004,16.2,24,42.7,18.1,5,True,0,0,0,False,Hopkinton,MAPC
107,H23011,1UR,True,0.7354,HWY   W MAIN ST,I 495 SB,NBI,DOT,42,12,50.097,71,32,47.4324,11,4,98909,2014,16.2,19,40.5,18.1,5,True,0,0,0,False,Hopkinton,MAPC
108,H23010,1UT,True,0.9943,ST135 WOOD ST,I 495 NB,NBI,DOT,42,13,47.2367,71,32,59.9855,11,3,50000,2013,15.2,27,18.6,16.9,7,True,0,0,0,False,Hopkinton,MAPC
109,H23010,1UU,True,0.972,ST135 WOOD ST,I 495 SB,NBI,DOT,42,13,48.0252,71,33,4.0139,11,3,50000,2013,15.2,27,18.6,16.9,6,True,0,0,0,False,Hopkinton,MAPC
110,H23008,1UV,True,0.5774,I  90,I 495 NB,NBI,DOT,42,16,0.858,71,33,50.7852,11,3,80000,2014,15.8,21,65.5,17.7,6,True,0,0,0,False,Hopkinton,MAPC
111,L13025,1UW,True,0.6701,WATER MILL POND,I 495,NBI,DOT,42,32,4.686,71,29,49.6463,11,6,117000,2014,29.3,6,10.7,0,N,True,0,0,0,False,Littleton,MAPC
112,B15004,1V2,True,0.937,HWY   S BOLTON RD,I 495 NB,NBI,DOT,42,24,56.7863,71,36,18.4751,1,3,47000,2013,15.2,19,36.6,17.4,5,True,0,0,0,False,Bolton,MAPC
113,B15004,1V3,True,0.8921,HWY   S BOLTON RD,I 495 SB,NBI,DOT,42,24,58.9896,71,36,20.649,1,3,51800,2013,15.2,38,45.1,17.4,5,True,0,0,0,False,Bolton,MAPC
114,B15002,1V4,True,0.8864,ST117 MAIN ST,I 495 NB,NBI,DOT,42,25,50.8074,71,35,32.9748,11,4,46180,2002,15.8,13,36.6,17.7,6,True,0,0,0,False,Bolton,MAPC
115,B15002,1V5,True,0.8976,ST117 MAIN ST,I 495 SB,NBI,DOT,42,25,51.1896,71,35,35.2068,1,4,42782,2013,15.8,13,36.6,17.7,6,True,0,0,0,False,Bolton,MAPC
116,F08021,1V8,True,0.9926,RR    CSX,I 495 SB,NBI,DOT,42,4,20.8344,71,24,44.9315,11,3,37258,2013,14.9,5,34.1,16.7,6,True,0,0,0,False,Franklin,MAPC
117,F08021,1V9,True,0.9644,RR    CSX,I 495 NB,NBI,DOT,42,4,21.7086,71,24,43.6746,12,3,39745,2013,14.9,5,34.1,16.7,5,True,0,0,0,True,Franklin,MAPC
118,F08023,1VA,True,0.9954,HWY   KING ST,I 495 NB,NBI,DOT,42,3,54.201,71,24,3.2574,11,4,40000,2013,15.2,2,27.1,16.7,7,True,0,0,0,False,Franklin,MAPC
119,F08023,1VB,True,0.9955,HWY   KING ST,I 495 SB,NBI,DOT,42,3,52.743,71,24,4.6224,11,3,45000,2013,15.2,1,27.1,16.7,7,True,0,0,0,False,Franklin,MAPC
120,F08024,1VC,True,0.7277,HWY   SUMMER ST,I 495 NB,NBI,DOT,42,3,30.2544,71,23,1.8492,11,4,38000,2013,15.2,30,28.3,16.6,7,True,0,0,0,False,Franklin,MAPC
