OBJECTID,AllBridges_2009April_BDEPT,AllBridges_2009April_BIN,AllBridges_2009April_FHWA_Record,AllBridges_2009April_Health_Index,AllBridges_2009April_Item___6A,AllBridges_2009April_Item___7,AllBridges_2009April_Item___8_Bridge_Cat,AllBridges_2009April_Item___8_Owner,AllBridges_2009April_Item__16A,AllBridges_2009April_Item__16B,AllBridges_2009April_Item__16C,AllBridges_2009April_Item__17A,AllBridges_2009April_Item__17B,AllBridges_2009April_Item__17C,AllBridges_2009April_Item__26,AllBridges_2009April_Item__28A,AllBridges_2009April_Item__29,AllBridges_2009April_Item__30,AllBridges_2009April_Item__32,AllBridges_2009April_Item__34,AllBridges_2009April_Item__49,AllBridges_2009April_Item__52,AllBridges_2009April_Item__58,AllBridges_2009April_Item_104,AllBridges_2009April_Posting_2_Axle,AllBridges_2009April_Posting_3_Axle,AllBridges_2009April_Posting_5_Axle,AllBridges_2009April_Struct_Def,AllBridges_2009April_Town_Name,AllBridges_2009April_RPA
39,H23010,1UT,True,0.9846,ST135 WOOD ST,I 495 NB,NBI,MHD,42,13,46.6104,71,32,59.5968,11,3,40000,2007,15.2,27,18.6,16.9,7,True,0,0,0,False,Hopkinton,MAPC
40,H23010,1UU,True,0.9703,ST135 WOOD ST,I 495 SB,NBI,MHD,42,13,47.1828,71,33,4.4676,11,3,40000,2007,15.2,27,18.6,16.9,7,True,0,0,0,False,Hopkinton,MAPC
41,H23008,1UV,True,0.702,I  90,I 495 NB,NBI,MHD,42,15,59.6412,71,33,53.7552,11,3,80000,2008,15.8,21,65.5,17.7,6,True,0,0,0,False,Hopkinton,MAPC
42,L13025,1UW,True,0.6704,WATER MILL POND,I 495,NBI,MHD,42,32,5.1612,71,29,51.8676,11,6,100000,2008,29.3,6,10.7,0,N,True,0,0,0,False,Littleton,MAPC
43,B15004,1V2,True,0.8639,HWY   S BOLTON RD,I 495 NB,NBI,MHD,42,24,57.1824,71,36,21.0672,01,4,47000,2009,15.2,19,36.6,17.4,6,True,0,0,0,False,Bolton,MAPC
44,B15004,1V3,True,0.7883,HWY   S BOLTON RD,I 495 SB,NBI,MHD,42,24,57.7836,71,36,21.7152,01,4,51800,2009,15.2,38,45.1,17.4,6,True,0,0,0,False,Bolton,MAPC
45,B15002,1V4,True,0.8925,ST117 MAIN ST,I 495 NB,NBI,MHD,42,25,51.168,71,35,36.2184,11,4,98000,2009,15.8,13,36.6,17.7,6,True,0,0,0,False,Bolton,MAPC
46,B15002,1V5,True,0.9036,ST117 MAIN ST,I 495 SB,NBI,MHD,42,25,51.1896,71,35,37.2696,01,4,98000,2009,15.8,13,36.6,17.7,6,True,0,0,0,False,Bolton,MAPC
47,F08021,1V8,True,0.9929,RR    CSX,I 495 SB,NBI,MHD,42,5,14.118,71,25,32.538,11,3,69400,2009,14.9,5,34.1,16.7,6,True,0,0,0,False,Franklin,MAPC
48,F08021,1V9,True,0.9616,RR    CSX,I 495 NB,NBI,MHD,42,5,14.0784,71,25,31.5372,12,3,69400,2009,14.9,5,34.1,16.7,7,True,0,0,0,False,Franklin,MAPC
49,F08023,1VA,True,0.9737,HWY   KING ST,I 495 NB,NBI,MHD,42,3,53.9064,71,24,4.9896,11,4,75000,2007,15.2,2,27.1,16.7,7,True,0,0,0,False,Franklin,MAPC
50,F08023,1VB,True,0.779,HWY   KING ST,I 495 SB,NBI,MHD,42,3,53.3196,71,24,5.4828,11,4,75000,2007,15.2,1,27.1,16.7,7,True,0,0,0,False,Franklin,MAPC
51,F08024,1VC,True,0.9793,HWY   SUMMER ST,I 495 NB,NBI,MHD,42,3,30.0312,71,23,2.0472,11,4,72800,2007,15.2,30,28.3,16.6,7,True,0,0,0,False,Franklin,MAPC
52,F08024,1VD,True,0.8865,HWY   SUMMER ST,I 495 SB,NBI,MHD,42,3,27.3816,71,23,1.608,11,4,72800,2007,15.2,33,29,16.6,7,True,0,0,0,False,Franklin,MAPC
53,F08027,1VE,True,0.879,RR    MBTA/CSX,I 495 NB,NBI,MHD,42,4,20.6832,71,24,44.3088,11,4,70000,2008,15.8,34,12.8,16.8,5,True,0,0,0,False,Franklin,MAPC
54,F08027,1VF,True,0.8447,RR    MBTA/CSX,I 495 SB,NBI,MHD,42,4,20.2296,71,24,45.0108,11,4,70000,2008,15.8,34,12.8,16.8,6,True,0,0,0,False,Franklin,MAPC
55,F08029,1VG,True,0.7762,HWY   BEAVER ST,I 495 NB,NBI,MHD,42,4,51.2364,71,25,18.4332,11,4,70000,2007,15.2,15,23.8,16.7,7,True,0,0,0,False,Franklin,MAPC
56,F08029,1VH,True,0.7749,HWY   BEAVER ST,I 495 SB,NBI,MHD,42,4,50.7756,71,25,19.1532,11,4,70000,2007,15.2,17,23.8,16.7,7,True,0,0,0,False,Franklin,MAPC
57,S20020,1YT,True,0.9998,WATER WACH AQUEDUCT,ST 30 MAIN ST,NBI,MHD,42,18,26.7408,71,33,33.3324,16,2,9000,2005,12.2,9,7.6,14,7,False,0,0,0,False,Southborough,MAPC
58,B15001,206,True,0.9799,WATER STILL RIVER,ST117  MAIN ST,NBI,MHD,42,27,21.0096,71,38,45.8592,06,2,11700,2007,9.1,0,30.5,10.4,7,False,0,0,0,False,Bolton,MAPC
59,S20015,207,True,0.8851,ST  9 TURNPIKE RD,ST 85 CRDVILLE RD,NBI,MHD,42,17,29.6052,71,31,38.2908,16,2,11800,2007,9.1,8,40.8,12,6,False,0,0,0,False,Southborough,MAPC
60,H23004,208,True,0.691,WATER SUDBURY RIVER,ST 85 RIVER ST,NBI,MHD,42,15,3,71,31,19,16,2,12300,2008,9.4,27,9.4,10.4,6,False,0,0,0,True,Hopkinton,MAPC
61,H23012,20Q,True,0.775,I 495,I  90 RAMP ON&OFF,NBI,MHD,42,15,45.828,71,33,50.9868,11,2,35000,2008,14,11,76.2,18.3,6,True,0,0,0,True,Hopkinton,MAPC
62,F07067,A4L,True,0.9629,COMB  ST 9 & CSX,HWY   CROSSNG BLVD,NBI,MHD,42,17,12,71,35,48,19,4,6700,2007,17.1,0,64.9,19.7,7,True,0,0,0,False,Framingham,MAPC
63,M06008,217,True,0.8825,I 495,HWY   FOREST ST,NBI,MHD,42,19,58.0908,71,34,33.7008,17,2,3000,2007,12.2,6,76.2,15.2,7,False,0,0,0,True,Marlborough,MAPC
64,B15003,21A,True,0.8112,I 495,HWY   SUGAR RD,NBI,MHD,42,27,0.972,71,34,56.6904,19,2,400,2009,9.8,0,95.7,12.5,6,False,0,0,0,False,Bolton,MAPC
65,H23009,21B,True,0.7816,I 495,HWY   FRUIT ST,NBI,MHD,42,15,40.0788,71,33,48.6612,19,2,3250,2008,8.5,27,83.8,10.4,7,False,20,25,36,False,Hopkinton,MAPC
66,S12003,22E,True,0.2399,RR    CSX,HWY   WHITNEY ST,634,MHD,42,14,23,71,24,56,17,2,4420,2008,6.7,9,8.2,7,4,False,0,0,0,True,Sherborn,MAPC
67,H23006,22W,True,0.7586,COMB  CSX & SUDBURY RIV,HWY   FRUIT ST,634,MHD,42,16,2.4924,71,33,9,19,2,2000,2008,9.1,11,56.7,12.2,6,False,9,16,26,False,Hopkinton,MAPC
68,S20004,23H,True,0.8333,RR    CSX,HWY   WHITE BGLY,634,MHD,42,18,7.0056,71,31,2.3556,17,2,1300,2007,7.3,0,12.2,9.8,7,False,0,0,0,False,Southborough,MAPC
69,S20005,23J,True,1,RR    CSX,ST 85 MARLBORO RD,634,MHD,42,19,8.3352,71,31,49,16,2,7500,2008,12.2,54,26.2,14.6,8,False,0,0,0,False,Southborough,MAPC
70,S20006,23K,True,0.5922,RR    CSX,HWY   NORTHBORO RD,634,MHD,42,18,51.7752,71,33,51.0228,16,2,6000,2007,10.4,0,11.6,11.9,5,False,14,21,31,False,Southborough,MAPC
71,S20014,23L,True,0.8118,RR    CSX,HWY   BRIDGE ST,634,MHD,42,15,57.8808,71,32,11.3028,19,2,700,2007,6.7,0,18.9,8.5,7,False,0,0,0,False,Southborough,MAPC
72,A02007,23X,True,0.8986,WATER FORT POND BROOK,HWY   LAWSBROOK RD,NBI,MUN,42,27,49.5,71,25,22.8072,17,2,3300,2008,7.3,0,7.9,8.7,6,False,0,0,0,False,Acton,MAPC
73,A02009,23Y,True,0.3633,WATER NASHOBA BROOK,HWY   BROOK ST,NBI,MUN,42,29,38.346,71,25,15.2508,17,2,8060,2007,7.9,0,7.9,10.9,N,False,0,0,0,False,Acton,MAPC
74,A02018,240,True,1,WATER NASHOBA BROOK,HWY   CONCORD RD,NBI,MUN,42,28,40.404,71,24,54.8424,16,2,7700,2009,7.3,6,6.1,10.8,N,False,0,0,0,False,Acton,MAPC
75,A14003,241,True,0.8755,WATER SUDBURY RIVER,HWY   FRONT ST,NBI,MUN,42,15,36.3996,71,27,25.1244,17,2,7300,2007,7,0,12.5,9.8,6,False,0,0,0,False,Ashland,MAPC
76,A14005,242,True,0.8977,WATER SUDBURY RIVER,HWY   MYRTLE ST,NBI,MUN,42,15,48.8196,71,28,3.6876,17,2,12000,2007,7.6,0,8.8,9.3,6,False,0,0,0,False,Ashland,MAPC
77,A14006,243,True,0.6815,WATER SUDBURY RIVER,HWY   CORDAVLLE RD,NBI,MUN,42,15,44.2224,71,28,52.2372,16,2,13000,2007,6.7,8,8.2,9.3,5,False,0,0,0,True,Ashland,MAPC
78,F07002,244,True,0.8363,WATER STEARNS RESERVOIR,HWY   SALEM END RD,NBI,MUN,42,17,36.7944,71,26,58.3296,17,2,15600,2008,8.8,0,10.1,12.9,5,False,0,0,0,False,Framingham,MAPC
79,F07003,245,True,0.8098,WATER SUDBURY RIVER,HWY   WINTER ST,NBI,MUN,42,17,49,71,26,52,16,2,17500,2008,7,0,7.6,7.8,6,False,5,9,14,False,Framingham,MAPC
80,F07004,246,True,0.9684,WATER SUDBURY RIVER,HWY   UNION AVE,NBI,MUN,42,17,33.6624,71,25,41.6388,16,2,34200,2007,9.8,0,18,13.7,7,False,0,0,0,False,Framingham,MAPC
81,F07005,247,True,0.3401,WATER SUDBURY RIVER,HWY   MAIN ST,NBI,MUN,42,17,49.2324,71,25,40.0764,16,2,7950,2009,5.8,0,21.6,10.2,3,False,0,0,0,True,Framingham,MAPC
82,F07010,248,True,0.9686,WATER SUDBURY RIVER,HWY   CONCORD ST,NBI,MUN,42,19,18.9948,71,23,56.472,16,2,18000,2007,11,25,18.9,15.2,8,False,0,0,0,False,Framingham,MAPC
83,F07007,249,True,0.9636,WATER SUDBURY RIVER,HWY   CENTRAL ST,NBI,MUN,42,19,27.984,71,24,7.2972,16,2,10500,2008,11,0,26.2,15.5,5,False,0,0,0,False,Framingham,MAPC
84,F07009,24A,True,0.8816,WATER SUDBURY RIVER,HWY   CENTRAL ST,NBI,MUN,42,19,29,71,24,5,16,2,8000,2008,11,0,28.3,15.5,3,False,0,0,0,True,Framingham,MAPC
85,F07030,24B,True,0.9683,WATER SUDBURY RIVER,HWY   FRANKLIN ST,NBI,MUN,42,17,29.2128,71,25,50.0808,17,2,21400,2009,12.8,0,18.3,17.9,N,False,0,0,0,False,Framingham,MAPC
86,F07039,24C,True,0.938,WATER SUDBURY RIVER,HWY   POTTER RD,NBI,MUN,42,20,20,71,23,42,17,2,2450,2007,9.1,12,29.3,11.8,5,False,0,0,0,False,Framingham,MAPC
87,F07014,24D,True,0.9655,WATER RESERVOIR 2,HWY   FOUNTAIN ST,NBI,MUN,42,16,22.2168,71,26,41.5032,17,2,11800,2008,8.5,0,17.7,11.1,8,False,0,0,0,False,Framingham,MAPC
88,F07038,24E,True,0.9902,WATER EAMES BROOK,HWY   MT WAYTE AVE,NBI,MUN,42,17,15.738,71,26,2.2596,17,2,18720,2008,12.2,28,6.4,29.9,N,False,0,0,0,False,Framingham,MAPC
89,F07063,24F,True,0.9645,WATER SUDBURY RIVER,HWY   DANFORTH ST,NBI,MUN,42,19,33,71,23,52,17,1,1000,2008,8.5,21,39.3,13,4,False,0,0,0,True,Framingham,MAPC
90,F07064,24G,True,0.5331,WATER SUDBURY RIVER,HWY   WICKFORD RD,NBI,MUN,42,19,1.2144,71,25,2.172,17,2,9500,2007,8.5,0,46.6,13.2,3,False,0,0,0,True,Framingham,MAPC
91,F07065,24H,True,0.9104,WATER SUDBURY RIVER,HWY   WINTER ST,NBI,MUN,42,17,28.8708,71,26,33.4572,16,2,13500,2008,7,0,12.8,7.5,N,False,5,9,14,True,Framingham,MAPC
92,H25006,24J,True,0.6626,WATER ASSABET RIVER,HWY   FOREST AVE,NBI,MUN,42,23,24,71,33,36.9072,17,2,2400,2008,6.7,0,20.1,9.1,N,False,20,20,20,False,Hudson,MAPC
93,H25004,24K,True,0.6027,WATER ASSABET RIVER,HWY   HOUGHTON ST,NBI,MUN,42,23,19.662,71,34,0.0588,17,2,5150,2008,7.3,31,29.9,9.5,2,False,15,20,29,True,Hudson,MAPC
94,H25008,24L,True,0.7496,WATER ASSABET RIVER,HWY   COX ST,NBI,MUN,42,23,59.01,71,32,46.8924,17,2,8300,2008,7,4,17.1,9.8,5,False,16,17,17,False,Hudson,MAPC
95,M10005,24N,True,0.9324,WATER ASSABET RIVER,HWY   WALNUT ST,NBI,MUN,42,25,51.0852,71,27,14.1372,17,2,7800,2008,6.7,45,22.3,11.8,N,False,7,8,12,False,Maynard,MAPC
96,M10010,24P,True,1,WATER MILL CANAL,HWY   SUDBURY ST,NBI,MUN,42,25,42.6972,71,27,36.7848,17,2,2600,2008,8.8,0,11.3,11,7,False,0,0,0,False,Maynard,MAPC
97,N03002,24Q,True,0.8864,WATER SEWER CANAL,HWY   PLEASANT ST,NBI,MUN,42,16,9.6708,71,18,50.9868,16,2,12400,2007,9.8,15,6.8,14.2,N,False,0,0,0,False,Natick,MAPC
98,N03016,24R,True,0.5827,WATER CHARLES RIVER,HWY   PLEASANT ST,NBI,MUN,42,16,17.1804,71,18,56.4228,16,2,9000,2008,7.3,0,34.4,10.5,N,False,0,0,0,True,Natick,MAPC
99,S31008,24U,True,0.9924,WATER HOP BROOK,HWY   UNION AVE,NBI,MUN,42,22,0.3468,71,25,14.5704,16,2,20700,2007,6.7,24,9.4,8.8,7,False,0,0,0,False,Sudbury,MAPC
100,S31009,24V,True,0.7086,WATER HOP BROOK,HWY   LANDHAM RD,NBI,MUN,42,21,25.7508,71,24,13.158,16,2,17720,2007,7.3,0,10.7,0,N,False,0,0,0,False,Sudbury,MAPC
101,S31001,24W,True,0.9994,WATER SUDBURY RIVER,HWY   LINCOLN RD,NBI,MUN,42,23,46.878,71,21,54.5976,17,2,1800,2008,6.1,0,34.7,8.2,5,False,0,0,0,False,Sudbury,MAPC
102,W11007,24Y,True,0.6766,WATER SUDBURY RIVER,ST 27 OLD SUDBURY,NBI,MUN,42,22,27.192,71,22,57.2124,14,2,30000,2008,9.1,0,33.2,12,5,True,0,0,0,False,Wayland,MAPC
103,M06003,253,True,0.3458,WATER ASSABET RIVER,HWY   ROBIN HLL ST,NBI,MUN,42,20,48.2928,71,36,54.3312,17,2,2600,2008,7,0,16.8,8.5,4,False,18,21,33,True,Marlborough,MAPC
104,M06004,254,True,0.5089,WATER ASSABET RIVER,HWY   BOUNDARY ST,NBI,MUN,42,20,30.2532,71,36,59.2704,17,2,4400,2009,6.4,8,13.7,10.3,4,False,11,14,22,True,Marlborough,MAPC
105,A02008,255,True,0.6456,WATER FORT POND BROOK,HWY   RIVER ST,NBI,MUN,42,27,24.732,71,26,14.0172,19,2,2000,2007,5.8,30,15.8,7.6,N,False,0,0,0,False,Acton,MAPC
106,A02010,256,True,0.6064,WATER FORT POND BROOK,HWY   PARKER ST,NBI,MUN,42,27,28.6632,71,26,3.714,17,2,1600,2008,7.3,30,9.8,7.9,N,False,0,0,0,False,Acton,MAPC
107,A02011,257,True,0.9983,WATER NASHOBA BROOK,HWY   WETHERBEE ST,NBI,MUN,42,28,30.054,71,24,41.3136,19,2,780,2008,7.5,45,14.6,9.8,N,False,0,0,0,False,Acton,MAPC
108,A02020,258,True,0.9801,WATER FORT POND BROOK,HWY   RIVER ST,NBI,MUN,42,27,30.1212,71,26,27.006,19,2,500,2008,8.2,0,7.6,15.2,N,False,0,0,0,False,Acton,MAPC
109,A02021,259,True,0.6728,WATER FORT POND BROOK,HWY   RIVER ST,NBI,MUN,42,27,33.5844,71,26,34.5768,19,2,600,2008,5.2,41,8.8,11,N,False,0,0,0,False,Acton,MAPC
110,A02022,25A,True,0.6158,WATER FORT POND BROOK,HWY   STOW ST,NBI,MUN,42,27,29.5524,71,27,36.972,17,2,860,2008,7.3,20,9.1,8.3,6,False,0,0,0,False,Acton,MAPC
111,A02023,25B,True,0.6856,WATER FORT POND BROOK,HWY   MARTIN ST,NBI,MUN,42,27,31.698,71,27,45.0036,19,2,3300,2008,7.9,12,6.4,0,N,False,0,0,0,False,Acton,MAPC
112,A14004,25H,True,0.6257,WATER SUDBURY RIVER,HWY   CONCORD ST,NBI,MUN,42,15,43.1208,71,27,50.7564,19,2,1030,2007,7.9,11,9.4,12.8,N,False,20,25,36,False,Ashland,MAPC
113,A14008,25K,True,0.9027,WATER SUDBURY RIVER,HWY   HOWE ST,NBI,MUN,42,15,55.6128,71,29,51.0756,19,2,1300,2008,10.4,29,32,13,7,False,0,0,0,False,Ashland,MAPC
114,F07029,25N,True,0.9437,WATER BEAVER DAM BROOK,HWY   HERBERT  ST,NBI,MUN,42,16,11.73,71,24,49.8384,19,2,8300,2007,11.3,54,8.5,15.2,5,False,14,18,28,False,Framingham,MAPC
115,M10006,25T,True,0.6456,WATER ASSABET RIVER,HWY   FLORIDA RD,NBI,MUN,42,25,56.3196,71,27,26.3988,19,2,2850,2009,5.5,24,21.3,9.1,N,False,17,22,34,True,Maynard,MAPC
116,M10003,25U,True,0.848,WATER ASSABET RIVER,HWY   MILL ST,NBI,MUN,42,25,50.718,71,28,2.1108,19,2,1040,2008,6.7,15,21.3,10.5,N,False,0,0,0,False,Maynard,MAPC
117,S29004,262,True,0.9952,WATER ASSABET RIVER,HWY   SUDBURY RD,NBI,MUN,42,24,41.688,71,30,33.0336,17,2,3100,2008,6.4,9,15.2,7.3,7,False,14,20,32,False,Stow,MAPC
118,S29010,263,True,0.2838,WATER ELIZABETH BROOK,HWY   HILEY BRK RD,NBI,MUN,42,26,16.8684,71,32,29.85,09,2,520,2008,5.6,0,8.5,7.1,N,False,0,0,0,True,Stow,MAPC
119,S29003,264,True,0.9933,WATER ASSABET RIVER,HWY   SUDBURY RD,NBI,MUN,42,24,41.8176,71,30,31.0608,17,2,3100,2008,6.4,0,7.9,7.5,7,False,14,20,32,False,Stow,MAPC
