MPO_Municipality,Population,Employment,Median_Household_Income,SUBREGION,COMMUNITY_TYPE,MINORITY_2010,MILES_2010,CHAPTER_90,TIP_PARTICIPATION,TIP_SUCCESS,FFY_2008_TIP ,FFY_2009_TIP,FFY_2010_TIP,FFY_2011_TIP,FFY_2012_TIP,FFY_2013_TIP,FFY_2014_TIP,FFY_2015_TIP,FFY_2016_TIP,FFY_2017_TIP,FFY_2018_TIP,FFY_2019_TIP,FFY_2020_TIP,FFY_2021_TIP,Total_FFY_2008_2013_TIPs,Tota_FFY_2014_2021_TIPs,Total_FFY_2008-2021_TIPs,Additional Information
Braintree,35744,26058,81146,SSC,Maturing Suburb,5273,104,2377341,Medium to High,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookline,58732,15186,95448,Inner Core,Inner Core,15692,92,2270135,High,High,0,0,0,117970,0,95732,0,0,0,0,5273202,0,0,0,213702,5273202,5486904,0
Burlington,24498,39075,90341,NSPC,Maturing Suburb,5106,94,2398300,Medium to High,High,0,6507462,0,0,0,0,0,0,10845721,3302453,0,0,0,0,6507462,14148174,20655636,"$13,014,923 split with Bedford (29491); $28,296,348 split with Bedford (29492)"
Cambridge,105162,105864,64865,Inner Core,Inner Core,39903,120,5346839,High,Medium,67680,1733333,440960,274061,150986,2099634,0,0,0,0,0,0,0,0,4766654,0,4766654,"$5,200,000 split with Somerville and Belmont (600811)"
Canton,21561,20586,89705,TRIC,Maturing Suburb,3610,92,1910897,Medium,High,2368809,3986463,2333333,2000000,0,0,0,17671520,0,0,0,0,0,0,10688605,17671520,28360125,"$26,959,389 split with Dedham, Randolph, and Westwood (87800); $53,014,560 split with Norwood and Westwood (606146)"
Carlisle,4852,719,155000,MAGIC,Developing Suburb,595,55,770129,Low,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea,35177,13476,40487,Inner Core,Inner Core,26295,44,1326566,High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cohasset,7542,2448,114214,SSC,Developing Suburb,288,32,558042,Medium,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concord,17668,11882,119858,MAGIC,Maturing Suburb,2266,104,1810061,High,High,3601130,0,0,3158099,8098419,8535920,2699874,0,8173453,0,2995200,0,0,0,23393567,13868527,37262094,"$39,584,874 split with Lincoln (602984); $6,230,016 split with Acton (606223)"
Danvers,26493,24392,75310,NSTF,Maturing Suburb,1654,104,2211502,Medium,High,0,10382816,13496710,0,0,8836648,0,0,0,0,0,0,0,0,32716174,0,32716174,0
Dedham,24729,15719,80865,TRIC,Maturing Suburb,3682,82,1712838,High,High,7020530,1000000,3333333,4000000,5775417,0,0,0,0,0,0,0,0,2581113,21129280,2581113,23710393,"$46,956,250 split with Needham (603206); $26,959,389 split with Canton, Randolph, and Westwood (87800)"
Dover,5589,833,164583,TRIC/SWAP,Developing Suburb,490,59,830880,Medium,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duxbury,15059,2752,114565,SSC,Maturing Suburb,560,103,1541931,High,Low,85095,79481,82500,0,0,0,0,0,0,0,0,0,0,0,247076,0,247076,GATRA funding split with Marshfield
Essex,3504,1303,76989,NSTF,Developing Suburb,135,24,372062,Low,Medium,6166644,0,0,0,0,0,0,0,0,0,0,0,0,0,6166644,0,6166644,0
Everett,41667,11943,49737,Inner Core,Inner Core,19351,57,1532355,High,High,0,0,2421270,0,0,0,0,0,0,0,0,7244124,0,0,2421270,7244124,9665394,"$4,842,540 split with Boston (602382)"
Foxborough,16865,11756,93397,TRIC,Developing Suburb,1400,82,1520140,Medium,Medium,0,2711153,0,0,0,0,0,0,0,0,0,0,0,0,2711153,0,2711153,"$8,133,460 split with Norfolk and Wrentham (602496)"
Framingham,68318,44732,64061,MetroWest,Regional Urban Center,23693,219,4668794,High,Low,247186,123169,157629,22830,0,0,0,0,0,0,0,0,0,10063912,550814,10063912,10614726,"MWRTA Route 7 service funding;  
MWRTA Route 1 service funding"
Franklin,31635,14557,89330,SWAP,Developing Suburb,2709,132,2395835,Medium,Medium,130348,4860768,0,0,0,0,0,0,0,0,0,0,0,0,4991116,0,4991116,0
Gloucester,28789,10394,60506,NSTF,Regional Urban Center,1689,88,1711281,Medium,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,7764,1351,99732,NSTF,Developing Suburb,676,45,692257,Low,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hanover,13879,6527,100233,SSC,Developing Suburb,579,85,1389012,High,Medium,0,0,0,0,0,0,1993926,0,0,0,0,0,0,0,0,1993926,1993926,0
Hingham,22157,12838,98890,SSC,Maturing Suburb,1022,110,1961666,High,High,0,0,0,0,0,0,0,0,0,4927769,3057735,0,0,0,0,7985504,7985504,0
Holbrook,10791,2393,62623,SSC,Maturing Suburb,2070,34,615843,High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,1363630,0,1363630,1363630,0
Holliston,13547,5272,103600,MetroWest,Developing Suburb,902,86,1370020,Medium,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hopkinton,14925,9060,120240,SWAP,Developing Suburb,1238,106,1724704,High,High,0,0,0,0,0,0,0,0,0,0,0,8501376,0,0,0,8501376,8501376,0
Hudson,19063,9483,74983,MAGIC,Developing Suburb,2118,83,1508331,High,High,0,0,0,11114480,0,0,0,0,0,0,0,0,0,0,11114480,0,11114480,"$300,000 split with Route 128 Business Council"
Hull,10293,1306,72166,SSC,Maturing Suburb,591,50,789825,High,Low,1828300,57676,0,0,0,0,0,0,0,0,0,0,0,0,1885976,0,1885976,0
Ipswich,13175,4958,80816,NSTF,Developing Suburb,704,73,1197378,Low,Medium,2082270,91800,0,1076235,0,0,0,0,0,0,0,0,0,0,3250305,0,3250305,0
Lexington,31394,19434,130637,MAGIC,Maturing Suburb,8256,117,2329161,High,High,0,0,2238080,0,0,0,0,0,5200000,0,0,0,0,0,2238080,5200000,7438080,0
Lincoln,6362,1975,121104,MAGIC,Maturing Suburb,1096,51,768786,Medium,High,0,0,0,3158099,8098419,8535920,2699874,0,0,0,0,0,0,0,19792437,2699874,22492311,"$39,584,874 split with Concord (602984)"
Littleton,8924,4817,103616,MAGIC,Developing Suburb,685,62,998255,Medium,Medium,4200000,0,0,0,0,0,0,0,0,0,0,0,0,0,4200000,0,4200000,0
Lynn,90329,22521,43200,Inner Core,Regional Urban Center,47360,153,3622780,High,High,0,0,0,0,0,5531280,0,0,0,0,0,0,4953270,0,5531280,4953270,10484550,0
Lynnfield,11596,5622,87590,NSPC,Maturing Suburb,758,66,1107276,Medium,Medium,0,0,0,0,0,0,0,0,0,0,0,0,3542000,0,0,3542000,3542000,"$7,662,854 split with Wakefield (607329)"
Malden,59450,14022,56347,Inner Core,Inner Core,28239,93,2263475,Medium,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester,5136,1683,105000,NSTF,Developing Suburb,184,24,400753,Low,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marblehead,19808,4891,97097,NSTF,Maturing Suburb,990,66,1194092,Medium,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlborough,38499,28739,71617,MetroWest,Regional Urban Center,9546,129,2780176,High,High,0,0,0,0,0,0,0,0,0,5613636,0,0,0,0,0,5613636,5613636,0
Marshfield,25132,5412,86486,SSC,Maturing Suburb,1005,131,2088332,Medium,High,85095,79481,82500,5682660,0,0,0,0,0,0,0,0,0,0,5929736,0,5929736,GATRA funding split with Duxbury
Maynard,10106,4073,75597,MAGIC,Maturing Suburb,996,35,668545,Medium,Medium,0,0,0,0,0,0,0,3924824,0,0,0,0,0,0,0,3924824,3924824,"$7,849,648 split with Acton (604531)"
Medfield,12024,2793,126048,TRIC,Maturing Suburb,731,72,1121718,Medium,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medford,56173,17264,70102,Inner Core,Inner Core,13384,92,2286467,High,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medway,12752,3886,102002,SWAP,Developing Suburb,828,70,1129080,High,High,0,0,0,0,0,0,0,12062567,0,0,0,0,0,0,0,12062567,12062567,0
Melrose,26983,5809,82482,Inner Core,Inner Core,2822,71,1381126,High,Medium,0,0,0,0,0,0,4405030,0,0,0,0,0,0,0,0,4405030,4405030,0
Middleton,8987,4481,87728,NSTF,Developing Suburb,1142,46,794373,Low,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milford,27999,14814,66636,SWAP,Regional Urban Center,4895,109,2066687,High,High,0,4100000,0,3500000,0,0,0,0,0,0,0,3149619,0,0,7600000,3149619,10749619,0
Millis,7891,1734,85472,SWAP,Developing Suburb,576,52,790267,Medium,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milton,27003,5399,97421,TRIC/Inner Core,Maturing Suburb,6514,94,1656697,Medium,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nahant,3410,440,81831,Inner Core,Maturing Suburb,153,17,260602,Low,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natick,33006,23719,87568,MetroWest,Maturing Suburb,4817,123,2522514,High,High,223400,0,0,0,4227587,0,0,0,0,0,0,15459553,8942631,0,4450987,24402184,28853171,0
Needham,28886,18353,114365,TRIC,Maturing Suburb,3156,119,2287509,High,High,0,1000000,3333333,4000000,5775417,14306580,15851946,17744685,12098512,12269908,8726330,0,0,0,28415330,66691380,95106710,"$46,956,250 split with Dedham (603206); $28,613,160 split with Wellesley (603711); $15,464,292 split with Newton (606635)"
Newton,85146,52266,107696,Inner Core,Inner Core,17345,276,5781903,High,High,10702152,101450,184601,0,0,0,0,0,0,0,7732146,0,0,0,10988203,7732146,18720349,"$7,197,384 split with Watertown (601686); $15,464,292 split with Needham (606635)"
Norfolk,11227,2967,113266,SWAP,Developing Suburb,1734,70,1092783,Low,Medium,0,2711153,0,0,0,0,0,0,0,0,0,0,0,0,2711153,0,2711153,"$8,133,460 split with Foxborough and Wrentham (602496)"
North Reading,14892,6736,96016,NSPC,Maturing Suburb,901,76,1296757,Medium,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwell,10506,7934,108944,SSC,Developing Suburb,495,69,1186866,Low to medium,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwood,28602,23357,72472,TRIC,Regional Urban Center,4960,93,2081969,High,High,0,0,0,0,0,0,0,17671520,0,0,0,0,0,6317236,0,23988756,23988756,"$53,014,560 split with Canton and Westwood (606146)"
Peabody,51251,23614,65515,NSTF,Regional Urban Center,6317,159,3210742,Medium,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pembroke,17837,5572,80694,SSC,Maturing Suburb,699,91,1493140,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Submits TIP funding requests through OCPC
Quincy,92271,45764,59803,Inner Core,Regional Urban Center,31823,185,4583568,Medium to High,High,0,0,0,0,0,0,3575278,0,0,0,0,0,0,0,0,3575278,3575278,0
Randolph,32112,8100,64607,TRIC,Maturing Suburb,19559,93,1775727,Low,0,2210000,3986463,2333333,2000000,0,0,0,0,0,0,0,0,0,0,10529796,0,10529796,"$26,959,389 split with Canton, Dedham, and Westwood (87800)"
Reading,24747,6328,99130,NSPC,Maturing Suburb,1870,89,1579562,High,High,139903,0,0,0,0,0,7932331,0,0,0,0,0,0,0,139903,7932331,8072234,0
Revere,51755,9058,49759,Inner Core,Inner Core,19456,85,1957260,Medium to High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockland,17489,7095,64512,SSC,Developing Suburb,1610,48,994145,Low,Low,0,0,7500000,0,0,0,0,0,0,0,0,0,0,0,7500000,0,7500000,"$15,000,000 split with Weymouth (604510)"
Rockport,6952,1267,70625,NSTF,Developing Suburb,286,33,535661,Low,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salem,41340,18909,56979,NSTF,Regional Urban Center,9963,88,2086988,High,High,0,2236929,66450,0,0,0,0,7822884,0,0,0,2595840,0,0,2303379,10418724,12722103,0
Saugus,26628,10245,71023,Inner Core,Maturing Suburb,2768,77,1542968,Medium to High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scituate,18133,3220,86723,SSC,Maturing Suburb,856,101,1568620,Medium,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharon,17612,3492,115172,TRIC,Maturing Suburb,3341,106,1627970,Low,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherborn,4119,614,145250,SWAP,Developing Suburb,274,56,759781,Low,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somerville,75754,21122,61731,Inner Core,Inner Core,23395,88,2592264,High,High,0,1733333,0,12500000,1087612,0,0,0,8100000,29900000,40000000,40000000,40000000,32000000,15320945,190000000,205320945,"$5,200,000 split with Belmont and Cambridge (600811)"
Southborough,9767,7151,140184,MetroWest,Maturing Suburb,1362,69,1151760,Medium to High,High,0,21719,26972,22830,0,0,0,0,0,0,7281248,0,0,0,71521,7281248,7352769,0
Stoneham,21437,7145,76574,NSPC,Maturing Suburb,2033,65,1260227,Medium,Medium,0,0,0,0,0,0,0,0,1809703,0,0,0,0,0,0,1809703,1809703,"$5,429,110 split with Winchester and Woburn (604652)"
Stoughton,26962,12622,67175,TRIC,Maturing Suburb,5822,108,1999594,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Submits TIP funding requests through OCPC
Stow,6590,1873,117440,MAGIC,Developing Suburb,511,52,772397,Low,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudbury,17659,8104,153295,MAGIC,Maturing Suburb,1880,138,2145050,Medium to High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swampscott,13787,3352,90763,NSTF,Maturing Suburb,963,43,789679,Medium,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Topsfield,6085,2400,115015,NSTF,Developing Suburb,283,50,760237,Low,Medium,3936780,0,0,0,0,0,0,0,0,0,0,0,0,0,3936780,0,3936780,0
Wakefield,24932,13534,89246,NSPC,Maturing Suburb,1751,85,1706201,Medium,Medium,2254636,0,0,0,0,0,0,0,0,0,0,0,3542000,0,2254636,3542000,5796636,"$7,662,854 split with Lynnfield (607329)"
Walpole,24070,10387,89697,TRIC,Developing Suburb,2222,117,2016960,High,High,0,0,0,0,0,0,0,0,0,0,0,0,18584373,0,0,18584373,18584373,0
Waltham,60632,53433,66346,Inner Core,Inner Core,18954,115,3472058,Medium,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Watertown,31915,18767,74081,Inner Core,Inner Core,5850,72,1752115,Medium to High,Medium,3598692,1789120,0,0,0,0,0,0,0,0,0,0,0,0,5387812,0,5387812,"$7,197,384 split with Newton (601686)"
Wayland,12994,3195,129805,MetroWest,Maturing Suburb,1912,87,1334786,High,Medium,0,0,0,0,0,0,0,0,2425710,0,0,0,0,0,0,2425710,2425710,0
Wellesley,27982,16451,139784,MetroWest,Maturing Suburb,4921,109,2112952,Medium to High,High,0,0,0,0,0,14306580,15851946,17744685,12098512,12269908,994184,0,0,0,14306580,58959234,73265814,"$28,613,160 split with Needham (603711)"
Wenham,4875,1025,132697,NSTF,Developing Suburb,268,27,429054,Low,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weston,11261,3991,148512,MetroWest,Maturing Suburb,1868,88,1334104,Medium,Medium,0,0,0,0,0,0,0,2609514,0,0,0,0,0,0,0,2609514,2609514,0
Westwood,14618,8891,114250,TRIC,Maturing Suburb,1237,80,1397411,Medium,High,2210000,4986463,5666666,6000000,5775417,0,0,17671520,0,0,0,0,0,0,24638546,17671520,42310066,"$26,959,389 split with Canton, Dedham, and Randolph (87800); $53,014,560 split with Canton and Norwood (606146)"
Weymouth,53743,17692,65849,SSC,Maturing Suburb,6379,141,2872077,High,High,0,0,10083300,0,0,0,0,0,4800000,12850000,19591490,8040268,0,0,10083300,45281758,55365058,"$15,000,000 split with Rockland (604510)"
Wilmington,22325,18377,94900,NSPC,Maturing Suburb,1725,95,1900809,High,Medium,0,0,0,0,0,0,1300000,0,0,0,0,0,0,0,0,1300000,1300000,0
Winchester,21374,8418,121572,NSPC,Maturing Suburb,3065,73,1382613,High,Medium,0,0,0,0,0,0,0,0,1809703,0,0,0,0,0,0,1809703,1809703,"$5,429,110 split with Stoneham and Woburn (604652)"
Winthrop,17497,1787,67535,Inner Core,Inner Core,2011,36,724711,Medium,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woburn,38120,38691,71060,NSPC,Regional Urban Center,6990,121,2916780,High,High,0,0,0,0,0,0,0,0,1809703,4752838,0,0,0,17784392,0,24346933,24346933,"$5,429,110 split with Stoneham and Winchester (604652)"
Wrentham,10955,6075,94406,SWAP,Developing Suburb,414,67,1126002,High,Medium,0,2711153,0,0,0,0,0,0,0,0,0,0,0,0,2711153,0,2711153,"$8,133,460 split with Foxborough and Norfolk (602496)"
