bridgeId,healthIndex,overFeature,underFeature,year,structDef,deckArea,nhs,town
242,0.8977,HWY  MYRTLE ST,WATER SUDBURY RIVER,2007,FALSE,81.84,FALSE,Ashland
243,0.6815,HWY  CORDAVLLE RD,WATER SUDBURY RIVER,2007,TRUE,76.26,FALSE,Ashland
25K,0.9032,HWY  HOWE ST,WATER SUDBURY RIVER,2007,FALSE,416,FALSE,Ashland
AE1,0.9996,HWY  FOUNTAIN ST,RR  CSX,2007,FALSE,423.72,FALSE,Ashland
29C,0.9975,HWY  HOWE ST,RR  CSX,2007,FALSE,360.1,FALSE,Ashland
4NY,0.777777778,HWY  OAK ST,I  90,2007,FALSE,665.7,TRUE,Ashland
AGP,0.9985,HWY  HIGH ST,RR  CSX,2007,FALSE,936.32,FALSE,Ashland
2K5,0.4054,ST 4  GREAT RD,WATER SHAWSHEEN RIVER,2007,FALSE,148.72,FALSE,Bedford
2K4,0.5827,ST225 BEDFORD RD,WATER CONCORD RIVER,2007,FALSE,683.22,FALSE,Bedford
2B4,0.6226,ST 62 BURLINGTN RD,WATER SHAWSHEEN RIVER,2007,FALSE,117.7,FALSE,Bedford
2B5,0.3056,HWY  MDDLSEX TPK,WATER SHAWSHEEN RIVER,2007,FALSE,141.52,FALSE,Bedford
2B6,0.2697,HWY  PAGE RD,WATER SHAWSHEEN RIVER,2007,TRUE,116,FALSE,Bedford
2B7,0.673,HWY  SOUTH RD,WATER ELM BROOK,2007,FALSE,105.19,FALSE,Bedford
AY9,1,US  3 SB,ST 62 BURLINGTON RD,2007,FALSE,986.5275,TRUE,Bedford
AYA,1,US  3 NB,ST 62 BURLINGTON RD,2007,FALSE,1008.665,TRUE,Bedford
734,1,US  3 NB,WATER SHAWSHEEN RIVER,2007,FALSE,726.56,TRUE,Bedford
737,1,US  3 SB,WATER SHAWSHEEN RIVER,2007,FALSE,726.4384,TRUE,Bedford
761,0.9972,HWY  OLD BILLERIC,US  3,2007,FALSE,1223.68,FALSE,Bedford
2B8,0.4595,HWY  SUMMER ST,WATER SHAWSHEEN RIVER,2007,TRUE,113.9,FALSE,Bedford
2A9,0.5595,HWY  PEARL ST,WATER CHARLES RIVER,2007,TRUE,71.44,FALSE,Bellingham
2A7,0.9959,HWY  MAPLE ST,WATER CHARLES RIVER,2007,FALSE,134.2,FALSE,Bellingham
AVR,1,HWY  HIGH ST,WATER CHARLES RIVER,2007,FALSE,65.27,FALSE,Bellingham
2AH,0.8417,ST126 N MAIN ST,WATER CHARLES RIVER,2007,FALSE,170.14,FALSE,Bellingham
2A1,0.9699,HWY  WRENTHAM ST,WATER PETERS RIVER,2007,FALSE,185.44,FALSE,Bellingham
1EV,0.6865,HWY  PAINE ST,WATER PETERS RIVER,2007,FALSE,69.16,FALSE,Bellingham
2AX,0.9812,HWY  MAPLE ST,RR  MBTA/CSX,2007,FALSE,189.8,FALSE,Bellingham
2AV,0.8067,ST126 N MAIN ST,RR  MBTA/CSX,2007,FALSE,396.39,FALSE,Bellingham
2AW,0.7655,ST126 S MAIN ST,RR  CSX (ABANDONED),2007,FALSE,632.06,FALSE,Bellingham
2AT,0.7803,HWY  FARM ST,I 495 NB,2007,FALSE,580.88,FALSE,Bellingham
2AU,0.79550067,HWY  FARM ST,I 495 SB,2007,FALSE,568.55,FALSE,Bellingham
2AF,0.6884,ST126 HARTFORD AVE,I 495 NB,2007,FALSE,581.94,TRUE,Bellingham
2AG,0.6803,ST126 HARTFORD AVE,I 495 SB,2007,FALSE,597.78,TRUE,Bellingham
2AL,0.9987,I 495,WATER CHARLES RIVER,2007,FALSE,148.2889329,TRUE,Bellingham
2AR,0.561,HWY  MAPLE ST,I 495,2007,FALSE,942.54,FALSE,Bellingham
2A8,0.9997,HWY  PLYMOUTH RD,WATER CHARLES RIVER,2007,FALSE,128.75,FALSE,Bellingham
7K4,0.9986,HWY  DEPOT ST,WATER CHARLES RIVER,2007,FALSE,194.7,FALSE,Bellingham
2MP,0.648,HWY  TRAPELO RD,RR  MBTA/BMRR,2007,FALSE,487.2,FALSE,Belmont
2MN,0.6467,HWY  LEXINGTON ST,RR  MBTA/BMRR,2007,FALSE,408.9,FALSE,Belmont
306,0.422,HWY  BRIDGE ST,WATER BASS RIVER,2007,TRUE,1353,FALSE,Beverly
324,0.9023,HWY  SCHOOL ST,RR  MBTA,2007,FALSE,237.9,FALSE,Beverly
2TN,0.9866,ST  1 A/CABOT ST,WATER DANVERS RIVER,2007,FALSE,18376.2,TRUE,Beverly
307,0.5674,HWY  KERNWOOD AVE,WATER DANVERS RIVER,2007,TRUE,674.73,FALSE,Beverly
308,0.903,HWY  KERNWOOD AVE,WATER DANVERS RIVER,2007,TRUE,2761.2,FALSE,Beverly
2TW,1,ST128,ST 97 CABOT ST,2007,FALSE,497.07,TRUE,Beverly
2TX,0.9963,ST128,ST  1 A/DODGE ST,2007,FALSE,678.04,TRUE,Beverly
2TY,0.9878,ST128,COMB  MBTA & TOZER RD,2007,FALSE,1128.93,TRUE,Beverly
31X,0.9859,HWY  BRIMBAL AVE,ST128,2007,FALSE,597.6,FALSE,Beverly
309,0.7666,ST 22 ESSEX ST,ST128,2007,FALSE,912.6,FALSE,Beverly
30A,0.8094,HWY  STANDLEY ST,ST128,2007,FALSE,712.17,FALSE,Beverly
206,0.9799,ST117  MAIN ST,WATER STILL RIVER,2007,FALSE,317.2,FALSE,Bolton
1V4,0.8925,I 495 NB,ST117 MAIN ST,2007,FALSE,647.82,TRUE,Bolton
1V5,0.9036,I 495 SB,ST117 MAIN ST,2007,FALSE,647.82,TRUE,Bolton
21A,0.8112,HWY  SUGAR RD,I 495,2007,FALSE,1196.25,FALSE,Bolton
1V2,0.8639,I 495 NB,HWY  S BOLTON RD,2007,FALSE,636.84,TRUE,Bolton
1V3,0.7883,I 495 SB,HWY  S BOLTON RD,2007,FALSE,784.74,TRUE,Bolton
381,0.943,HWY  ADAMS ST,WATER NEPONSET RIVER,2007,FALSE,660.66,TRUE,Boston
382,0.6094,ST145 SARATOGA ST,WATER BELLE ISLE INLET,2007,FALSE,1122.4,FALSE,Boston
4F3,0.3979,HWY  CAMBRIDGE ST,WATER CHARLES RIVER,2007,FALSE,1196.8,FALSE,Boston
4EG,0.6814,ST  2 BROOKLINE ST,COMB  SOL FLD RD & RIV,2007,TRUE,4237.44,TRUE,Boston
4F0,0.5148,ST  3 CAMBRIDGE ST,COMB  ST3 & CHARLES RIV,2007,TRUE,21147.75,TRUE,Boston
4EP,0.4928,HWY  WESTERN AVE,WATER CHARLES RIVER,2007,FALSE,1560.99,FALSE,Boston
4F2,0.401,HWY  N HARVARD ST,WATER CHARLES RIVER,2007,FALSE,1364.51,TRUE,Boston
4EY,0.9699,ST  2 A/MASS AVE,COMB  STRW DR & CHAS RIV,2007,FALSE,14913.74,TRUE,Boston
4EM,0.3412,ST 28 CHAS R DM RD,WATER CHARLES RIVER,2007,TRUE,640,TRUE,Boston
4ET,0.3728,ST 28 CHAS R DM RD,WATER CHARLES RIVER,2007,TRUE,927.48,TRUE,Boston
4F8,0.54,US 20 N BEACON ST,WATER CHARLES RIVER,2007,FALSE,1506.25,FALSE,Boston
4EF,0.7151,HWY  ARSENAL ST,WATER CHARLES RIVER,2007,FALSE,1207.05,FALSE,Boston
37H,0.4274,HWY  N WSHNGTN ST,WATER CHARLES RIVER,2007,TRUE,3979.36,TRUE,Boston
37K,0.5328,HWY  N WSHNGTN ST,WATER CHARLES RIVER,2007,TRUE,2263.8,TRUE,Boston
37M,0.4084,HWY  N WSHNGTN ST,WATER CHARLES RIVER,2007,TRUE,3979.36,TRUE,Boston
37P,0.9992,HWY  N WSHNGTN ST,OTHER WAREHOUSE,2007,FALSE,2586.48,TRUE,Boston
37R,0.9998,HWY  N WSHNGTN ST,HWY  WATER ST,2007,FALSE,770.43,TRUE,Boston
4WU,-1,US  1 SB/BS U11-32,US  1 NB/BOS LOWR B11-32,2007,FALSE,7974.33,TRUE,Boston
4WV,0.740740741,US  1 NB/BOST LOWR,HWY  C'TOWN LOCAL STS,2007,FALSE,7324.09,TRUE,Boston
4WW,-1,US  1 NB/L MYSTC L,HWY  WATER ST/L MYSTIC,2007,FALSE,1699.26,TRUE,Boston
4WX,-1,US  1 SB/L MYSTC U,US  1 NB/LIT MYSTIC LOWR,2007,FALSE,1699.26,TRUE,Boston
4WY,-1,US  1 NB/CHLSEA LW,HWY  CHELSEA LOCAL STS,2007,FALSE,10951.21,TRUE,Boston
4X0,-1,US  1 SB/CHLSEA UP,US  1 NB/CHELSEA LOWER,2007,FALSE,12964.16,TRUE,Boston
4X1,-1,US  1 NB/TOLL LOWR,OTHER RELIEF,2007,TRUE,4149.09,TRUE,Boston
4X2,-1,US  1 SB/TOLL UPPR,US  1 NB/TOLL PLAZA LOWR,2007,TRUE,4149.09,TRUE,Boston
4X3,-1,US  1 NB/B MYSTC L,WATER MYSTIC RIVER,2007,FALSE,5899.15,TRUE,Boston
4X4,-1,US  1 SB/B MYSTC U,US  1 NB/BIG MYSTIC LOWR,2007,FALSE,5899.15,TRUE,Boston
397,0.9983,HWY  BEACON ST,WATER MUDDY RIVER,2007,FALSE,356.4,FALSE,Boston
383,0.8784,HWY  MERIDIAN ST,WATER CHELSEA RIVER,2007,FALSE,4391.18,FALSE,Boston
384,0.8978,HWY  CHELSEA ST,WATER CHELSEA RIVER,2007,TRUE,2171.94,FALSE,Boston
4F4,0.7453,ST 28 BLUE HILL AV,WATER NEPONSET RIVER,2007,FALSE,1206,TRUE,Boston
3A3,0.5108,HWY  GRANITE AVE,WATER NEPONSET RIVER,2007,FALSE,883.5,TRUE,Boston
385,0.7792,HWY  CENTRAL AVE,WATER NEPONSET RIVER,2007,FALSE,552.66,FALSE,Boston
386,0.8003,HWY  FAIRMOUNT AV,WATER NEPONSET RIVER,2007,FALSE,328.32,FALSE,Boston
387,0.4021,HWY  DANA AVE,WATER NEPONSET RIVER,2007,FALSE,474.66,FALSE,Boston
4F9,0.7331,HWY  NEPNST V PKY,WATER NEPONSET RIVER,2007,FALSE,395.28,FALSE,Boston
388,0.3949,ST 99 ALFORD ST,WATER MYSTIC RIVER,2007,TRUE,7191.756,TRUE,Boston
389,0.9856,HWY  SUMMER ST,WATER FORT POINT CHANNEL,2007,FALSE,4666.5,TRUE,Boston
38A,0.2798,HWY  CONGRESS ST,WATER FORT POINT CHANNEL,2007,TRUE,2317.13,FALSE,Boston
4EU,-1,HWY  MORRSSEY BLV,WATER DORCHESTER BAY,2007,FALSE,3841.48,TRUE,Boston
38B,0.9848,HWY  SUMMER ST,WATER RESERVE CHANNEL,2007,FALSE,6136.56,TRUE,Boston
38C,0.9879,HWY  HYDE PARK AV,WATER MOTHER BROOK,2007,FALSE,273.6,FALSE,Boston
4TF,-1,HWY  TREMONT ST,COMB  I 90 & MBTA/CSX,2007,FALSE,1307.71,TRUE,Boston
4TE,-1,HWY  ARLINGTON ST,COMB  I 90 & MBTA/CSX,2007,FALSE,995.6,TRUE,Boston
4TD,-1,HWY  BERKELEY ST,COMB  I 90 & MBTA/CSX,2007,FALSE,1721.86,TRUE,Boston
4RF,-1,ST 28 NB/COLUMBUS,COMB  I 90 & MBTA/CSX,2007,FALSE,1466.64,TRUE,Boston
4TC,-1,ST 28 SB/CLARENDON,COMB  I 90 & MBTA/CSX,2007,FALSE,851.2,TRUE,Boston
4TB,-1,HWY  DARTMOUTH ST,COMB  I 90 & MBTA/CSX,2007,FALSE,2768.53,TRUE,Boston
4T7,-1,ST  9 HUNTINGTN AV,I  90 EB RAMP OFF B,2007,FALSE,64.64,TRUE,Boston
4T8,-1,ST  9 HUNTINGTN AV,COMB  I 90 & MBTA/CSX,2007,FALSE,3519.36,TRUE,Boston
4T9,-1,HWY  EXETER ST,I  90 WB RAMP ON A,2007,FALSE,73.73,TRUE,Boston
4TA,-1,I  90 EB RAMPS OFF,RR  MBTA/CSX,2007,FALSE,796.16,TRUE,Boston
4T6,-1,HWY  BOYLSTON ST,COMB  I 90 & MBTA/CSX,2007,FALSE,3443.72,TRUE,Boston
4T5,-1,HWY  MASS AVE,COMB  I 90 & MBTA/CSX,2007,FALSE,1432.6,TRUE,Boston
4FE,0.5864,HWY  BOWKER INT,COMB  I 90 & MBTA/CSX,2007,FALSE,1509.72,TRUE,Boston
4T3,-1,HWY  BROOKLINE AV,COMB  I 90 & MBTA/CSX,2007,FALSE,1153.3,TRUE,Boston
4T2,-1,HWY  BEACON ST,COMB  I 90 & MBTA/CSX,2007,FALSE,3375.84,TRUE,Boston
4T0,-1,US 20 COMM AVE,COMB  I 90 & MBTA/CSX,2007,FALSE,2559.18,TRUE,Boston
4RE,-1,HWY  CAMBRIDGE ST,COMB  I 90 & MBTA/CSX,2007,TRUE,3588.45,TRUE,Boston
4RD,0.740740741,HWY  EVERETT ST,COMB  I90&CSX/MBTA&LNCLN,2007,FALSE,281.84,TRUE,Boston
4TT,-1,HWY  MARKET ST,COMB  I 90 & MBTA/CSX,2007,FALSE,670.72,TRUE,Boston
4RJ,-1,I  90 EB,US 20 N BEACON ST,2007,FALSE,611,TRUE,Boston
4RK,-1,I  90 WB,US 20 N BEACON ST,2007,TRUE,238,TRUE,Boston
4RL,-1,I  90 EB,HWY  PARSONS ST,2007,FALSE,556.26,TRUE,Boston
4RM,-1,I  90 WB,HWY  PARSONS ST,2007,FALSE,679.4,TRUE,Boston
4TQ,-1,I  90 EB,HWY  BROOKS ST,2007,TRUE,679.4,TRUE,Boston
4TR,-1,I  90 WB,HWY  BROOKS ST,2007,TRUE,532.56,TRUE,Boston
4V3,0.740740741,HWY  PARK DR,TR  GREEN LINE D,2007,FALSE,896.7,TRUE,Boston
38D,0.9708,HWY  CAMBRIDGE ST,COMB  ORANGE & MBTA/BMRR,2007,FALSE,896.7,FALSE,Boston
3GV,0.3741,HWY  MAIN ST,COMB  ORANGE & MBTA/BMRR,2007,FALSE,1492.75,TRUE,Boston
3GW,0.3638,HWY  MYSTIC AVE,COMB  ORANGE & MBTA/BMRR,2007,TRUE,806.4,FALSE,Boston
3HU,0.9706,HWY  CURTIS ST,RR  CSX,2007,FALSE,928.2,FALSE,Boston
3GX,0.7102,HWY  SARATOGA ST,RR  CSX,2007,FALSE,1303.04,FALSE,Boston
3GY,0.8075,HWY  BENNINGTN ST,RR  CSX,2007,FALSE,975.36,FALSE,Boston
3HT,0.8841,HWY  PORTER ST,OTHER PEDESTRIAN WLKWY,2007,FALSE,182.97,FALSE,Boston
3HR,0.7446,HWY  MAVERICK ST,OTHER PEDESTRIAN WLKWY,2007,FALSE,265.05,FALSE,Boston
3HQ,0.9659,HWY  SUMNER ST,OTHER PEDESTRIAN WLKWY,2007,FALSE,156.87,FALSE,Boston
4RN,-1,HWY  HARRISON AVE,COMB  I 90 & AMTRAK/MBTA,2007,FALSE,193.83,TRUE,Boston
4TG,-1,HWY  WASHINGTN ST,COMB  I 90 & AMTRAK/MBTA,2007,FALSE,510.51,TRUE,Boston
4RQ,-1,HWY  SHAWMUT AVE,COMB  I 90 & MBTA/CSX,2007,TRUE,249.47,TRUE,Boston
4V5,-1,HWY  SHAWMUT AVE,COMB  AMTRAK/MBTA & ORNG,2007,FALSE,75.6,FALSE,Boston
3HP,0.7589,HWY  TRMNT-ARLNGT,RR  AMTRAK/MBTA,2007,TRUE,225.94,FALSE,Boston
4V6,0.777777778,HWY  BERKELEY ST,COMB  AMTRAK/MBTA & ORNG,2007,FALSE,439.24,FALSE,Boston
3HN,0.9951,HWY  DARTMOUTH ST,RR  AMTRAK/MBTA,2007,FALSE,192.21,FALSE,Boston
4V7,0.777777778,HWY  DARTMOUTH ST,TR  ORANGE LINE,2007,FALSE,259.84,FALSE,Boston
86W,0.777777778,HWY  MASS AVE,COMB  AMTRAK/MBTA & ORNG,2007,FALSE,775.42,FALSE,Boston
4V8,0.777777778,HWY  RUGGLES ST,COMB  AMTRAK/MBTA & ORNG,2007,FALSE,618.8,FALSE,Boston
4V9,0.777777778,HWY  PRENTISS ST,COMB  AMTRAK/MBTA & ORNG,2007,FALSE,516.24,FALSE,Boston
4VE,0.851851852,HWY  BOYLSTON ST,COMB  AMTRAK/MBTA & ORNG,2007,FALSE,948.3,FALSE,Boston
4VF,0.777777778,HWY  GREEN ST,COMB  AMTRAK/MBTA & ORNG,2007,FALSE,1602,FALSE,Boston
4VG,0.777777778,HWY  WILLIAMS ST,COMB  AMTRAK/MBTA & ORNG,2007,FALSE,1773,FALSE,Boston
4VH,0.777777778,HWY  MCBRIDE ST,COMB  AMTRAK/MBTA & ORNG,2007,FALSE,939.28,FALSE,Boston
4VJ,0.777777778,HWY  MOR-WASH ST,COMB  AMTRAK/MBTA & ORNG,2007,FALSE,945.25,FALSE,Boston
4VP,0.777777778,HWY  ADAMS ST,TR  RED HSL,2007,FALSE,1116.22,FALSE,Boston
4VQ,0.777777778,HWY  MEDWAY ST,TR  RED HSL,2007,FALSE,535.8,FALSE,Boston
4VA,0.814814815,HWY  TREMONT ST,COMB  AMTRAK/MBTA & ORNG,2007,FALSE,461.68,FALSE,Boston
4VB,0.777777778,HWY  HEATH ST,COMB  AMTRAK/MBTA & ORNG,2007,FALSE,485.56,FALSE,Boston
4VC,0.814814815,HWY  CENTRE ST,COMB  AMTRAK/MBTA & ORNG,2007,FALSE,642.6,FALSE,Boston
4VD,0.777777778,HWY  ATHERTON ST,COMB  AMTRAK/MBTA & ORNG,2007,FALSE,1195.2,FALSE,Boston
390,0.8411,HWY  BLAKEMORE ST,RR  AMTRAK/MBTA,2007,FALSE,1195.2,FALSE,Boston
38E,0.9541,HWY  CUMMINS HWY,RR  AMTRAK/MBTA,2007,FALSE,723.6,FALSE,Boston
3HA,0.8136,HWY  CANTERBRY ST,RR  AMTRAK/MBTA,2007,FALSE,380.65,FALSE,Boston
3HL,0.9943,HWY  WEST ST,RR  AMTRAK/MBTA,2007,FALSE,424.6,FALSE,Boston
3H8,0.8364,HWY  RIVER ST,RR  AMTRAK/MBTA,2007,TRUE,136.62,FALSE,Boston
3H7,0.8701,HWY  RESRVATN RD,RR  AMTRAK/MBTA,2007,FALSE,204,FALSE,Boston
3H0,0.7639,HWY  MILTON ST,RR  AMTRAK/MBTA,2007,FALSE,381.94,FALSE,Boston
38F,0.8033,HWY  WALWORTH ST,RR  MBTA,2007,TRUE,221.4,FALSE,Boston
38G,0.7779,HWY  BELGRADE AVE,RR  MBTA,2007,FALSE,119.4113741,FALSE,Boston
3HG,0.665501,HWY  PARK ST,RR  MBTA,2007,FALSE,58.91,FALSE,Boston
3HF,0.8027,HWY  BELLEVUE ST,RR  MBTA,2007,FALSE,5648.16,FALSE,Boston
3HH,0.6564,HWY  CENTRE ST,RR  MBTA,2007,FALSE,825.84,FALSE,Boston
38H,0.9903,HWY  SUMMER ST,HWY  A ST,2007,FALSE,998.52,TRUE,Boston
3FH,0.9796,HWY  W FOURTH ST,COMB  FNDRY ST&MBTA&AMTK,2007,FALSE,1092.44,FALSE,Boston
4VK,-1,HWY  SOHAMPTN ST,COMB  AMTRAK & RED CON,2007,FALSE,1175.61,FALSE,Boston
4VL,-1,HWY  BOSTON ST,TR  AMTRAK & RED CON,2007,FALSE,452.25,FALSE,Boston
8MQ,-1,HWY  DORCHSTR AVE,TR  RED LINE (TUNNEL),2007,FALSE,452.25,FALSE,Boston
8RR,-1,HWY  DORCHSTR AVE,RR  MBTA SPUR,2007,FALSE,967.2,FALSE,Boston
4VM,-1,HWY  DORCHSTR AVE,COMB  MBTA & RED LN,2007,FALSE,956.25,FALSE,Boston
4ER,0.7833,HWY  COLUMBIA RD,COMB  OLD COLNY&MBTA&RED,2007,FALSE,305.51,FALSE,Boston
4VN,-1,HWY  REDFIELD ST,COMB  MBTA&REDS&FRKLN ST,2007,TRUE,609.15,FALSE,Boston
38J,0.7963,HWY  WASHNGTON ST,RR  MBTA,2007,FALSE,842.14,FALSE,Boston
3HC,1,HWY  HARVARD ST,RR  MBTA,2007,FALSE,154.58,FALSE,Boston
3HB,0.9243,HWY  NORFOLK ST,RR  AMTRAK/MBTA,2007,FALSE,2560.95,FALSE,Boston
3H2,0.8162,HWY  MORTON ST,RR  MBTA,2007,TRUE,1781.64,TRUE,Boston
3H9,0.9941,HWY  BABSON ST,RR  MBTA,2007,FALSE,523.9,FALSE,Boston
3H3,0.509,HWY  BLUE HILL AV,RR  MBTA,2007,FALSE,667.87,TRUE,Boston
3H4,0.9972,HWY  CUMMINS HWY,RR  MBTA,2007,FALSE,724.68,FALSE,Boston
3GL,0.4503,HWY  RIVER ST,RR  MBTA,2007,TRUE,810.67,FALSE,Boston
38U,0.6869,HWY  FRKLN PK ENT,HWY  CEMETERY RD,2007,FALSE,1559.3,FALSE,Boston
3HM,0.9649,HWY  FAIRMONT AVE,COMB  WALNUT ST & MBTA,2007,FALSE,938.79,FALSE,Boston
3HK,1,HWY  DANA AVE,RR  MBTA,2007,FALSE,990.09,FALSE,Boston
3HJ,0.5334,HWY  SPRAGUE ST,COMB  MBTA & ACCESS RD,2007,TRUE,603.57,FALSE,Boston
3HE,0.9771,HWY  BAKER ST,RR  MBTA/CSX,2007,FALSE,603.57,FALSE,Boston
3HD,0.914,HWY  GARDNER ST,RR  MBTA,2007,FALSE,719.91,FALSE,Boston
3EV,0.965,HWY  COMM AVE,WATER MUDDY RIVER,2007,FALSE,719.91,TRUE,Boston
3EW,0.8135,HWY  COMM AVE,WATER MUDDY RIVER,2007,FALSE,215.74,TRUE,Boston
2KY,1,ST109 SPRING ST,WATER CHARLES RIVER,2007,FALSE,217.08,TRUE,Boston
4F6,0.8045,HWY  AUSTIN ST,COMB  I 93 RMP&MBTA&ORNG,2007,FALSE,839.61,FALSE,Boston
4EN,0.5547,HWY  W ROXBRY PKY,RR  MBTA,2007,FALSE,888.71,FALSE,Boston
38L,1,HWY  RESERVATN RD,WATER MOTHER BROOK,2007,FALSE,1010.61,FALSE,Boston
4EJ,0.7197,HWY  RIVER ST,WATER MOTHER BROOK,2007,TRUE,1010.61,FALSE,Boston
4FC,0.438,HWY  BOYLSTON ST,WATER MUDDY RIVER,2007,FALSE,468.72,TRUE,Boston
391,0.678,HWY  AGASSIZ RD,WATER MUDDY RIVER,2007,FALSE,468.72,TRUE,Boston
3F2,0.7339,HWY  LONGWOOD AVE,WATER MUDDY RIVER,2007,FALSE,557.28,FALSE,Boston
392,0.6662,HWY  NTHRLNDS RD,WATER MUDDY RIVER,2007,FALSE,552.42,FALSE,Boston
4F5,0.8892,HWY  MORRSSEY BLV,HWY  MT VERNON ST,2007,TRUE,1530.9,TRUE,Boston
4X5,-1,HWY  VIADUCT ST,HWY  NORTHERN AVE,2007,FALSE,614.19,FALSE,Boston
3H6,0.5891,HWY  DORCHSTR AVE,COMB  HAUL RD & CSX,2007,FALSE,614.19,FALSE,Boston
3GN,0.8907,HWY  W FIFTH ST,COMB  HAUL RD & CSX,2007,FALSE,867.18,FALSE,Boston
3GP,0.4705,HWY  W FOURTH ST,COMB  HAUL RD & CSX,2007,FALSE,744,FALSE,Boston
3GR,0.5445,HWY  W BROADWAY,COMB  HAUL RD & CSX,2007,FALSE,452.1,FALSE,Boston
3GT,0.5607,HWY  W THIRD ST,COMB  HAUL RD & CSX,2007,FALSE,130.29,FALSE,Boston
3GU,0.5763,HWY  W SECOND ST,COMB  HAUL RD & CSX,2007,TRUE,59.28,FALSE,Boston
4VR,-1,HWY  BYRON ST,TR  BLUE LINE,2007,FALSE,246.6,FALSE,Boston
4VT,0.888888889,HWY  SARATOGA ST,TR  BLUE LINE,2007,FALSE,220.32,FALSE,Boston
4VU,-1,HWY  BNNINGTN ST,TR  BLUE LINE,2007,FALSE,613.25,FALSE,Boston
4T1,-1,HWY  ST MARYS ST,COMB  I 90 & MBTA/CSX,2007,TRUE,406.1,TRUE,Boston
393,0.6678,HWY  AMER LEG HWY,ST203 MORTON ST,2007,TRUE,438.65,FALSE,Boston
