TOWN_ID,TOWN,existing_miles,constructing_miles,projected_miles,existing_percent,constructing_percent,projected_percent,total
208,NORFOLK,0,0,0.431256404,0,0,1,0.431256404
213,NORTH READING,0.845399561,0,0,1,0,0,0.845399561
219,NORWELL,0.198455101,0,0.881488076,0.183764392,0,0.816235608,1.079943177
220,NORWOOD,0,0,0.05429068,0,0,1,0.05429068
229,PEABODY,5.631176194,0,4.707384435,0.544677001,0,0.455322999,10.33856063
231,PEMBROKE,0,0,0,0,0,#DIV/0!,0
243,QUINCY,5.762450498,0,1.503677875,0.793056522,0,0.206943478,7.266128373
244,RANDOLPH,2.170012095,0,0.784374746,0.734505064,0,0.265494936,2.954386841
246,READING,0.444380032,0,0,1,0,0,0.444380032
248,REVERE,2.641481397,0,0,1,0,0,2.641481397
251,ROCKLAND,1.620715999,0,0,1,0,0,1.620715999
252,ROCKPORT,0.064956131,0,0,1,0,0,0.064956131
258,SALEM,4.511260377,0,1.057992183,0.810029771,0,0.189970229,5.56925256
262,SAUGUS,6.71066744,0,0,1,0,0,6.71066744
264,SCITUATE,1.486055832,0,0,1,0,0,1.486055832
266,SHARON,0.164363283,0,0,1,0,0,0.164363283
269,SHERBORN,0,0,0,0,0,#DIV/0!,0
274,SOMERVILLE,3.382320938,0,1.903210212,0.639920727,0,0.360079273,5.28553115
277,SOUTHBOROUGH,3.244015288,0,5.637639359,0.365248979,0,0.634751021,8.881654647
284,STONEHAM,1.413960193,0,1.495507467,0.485985877,0,0.514014123,2.90946766
285,STOUGHTON,0,0,2.019479026,0,0,1,2.019479026
286,STOW,9.010109527,0,1.211427509,0.881482843,0,0.118517157,10.22153704
288,SUDBURY,5.612433385,0,0.021547024,0.996175524,0,0.003824476,5.633980409
291,SWAMPSCOTT,0.544697574,0,1.567634949,0.257865449,0,0.742134551,2.112332523
298,TOPSFIELD,2.507093481,0,0,1,0,0,2.507093481
305,WAKEFIELD,1.348558094,0,6.31007771,0.17608333,0,0.82391667,7.658635804
307,WALPOLE,0,0,3.232565513,0,0,1,3.232565513
308,WALTHAM,9.08178028,0,2.768762898,0.766359832,0,0.233640168,11.85054318
314,WATERTOWN,6.093547975,0,0.425530715,0.934725329,0,0.065274671,6.51907869
315,WAYLAND,1.951498056,0,2.754210875,0.41470862,0,0.58529138,4.705708931
317,WELLESLEY,6.332880675,0,0.305833216,0.953931858,0,0.046068142,6.638713891
320,WENHAM,2.157554755,0,0,1,0,0,2.157554755
333,WESTON,9.801991891,0,0,1,0,0,9.801991891
335,WESTWOOD,0.347209213,0,0.640452131,0.351546828,0,0.648453172,0.987661344
336,WEYMOUTH,2.653383332,0,0.744953327,0.780788838,0,0.219211162,3.398336659
342,WILMINGTON,0,0,2.811999979,0,0,1,2.811999979
344,WINCHESTER,2.523571706,0,1.967891721,0.561859569,0,0.438140431,4.491463427
346,WINTHROP,0.34277496,0,0.292458989,0.539604284,0,0.460395716,0.635233949
347,WOBURN,1.925410801,0,1.50640385,0.561047433,0,0.438952567,3.431814651
350,WRENTHAM,1.690675245,0,3.338452167,0.336176658,0,0.663823342,5.029127412
